S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-PALLADAM 230kv SS,T,GANTRY,15,NIL,NIL,NIL,376,"00°00'00""",77.31136111111111,11.004194444444444,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF PALLADAM 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31136111111111 11.004194444444444, 77.31091666666666 11.003777777777778)"
2,T.NO 1,T,DD,28,GT-1,65.11528238439882,2.9,370,"68°21'45""",77.31091666666666,11.003777777777778,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31091666666666 11.003777777777778, 77.31177777777778 11.001472222222223)"
3,T.NO 2,T,DB,24,1-2,275.0509043795348,3.77,368,"13°28'13""",77.31177777777778,11.001472222222223,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,PETHAMPALAYAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31177777777778 11.001472222222223, 77.31313888888889 10.999444444444444)"
4,T.NO 3,T,DC,26,2-3,267.6602323842674,2.5,369,"21°20'55""",77.31313888888889,10.999444444444444,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31313888888889 10.999444444444444, 77.31366666666666 10.997222222222222)"
5,T.NO 4,T,DB,24,3-4,253.49161721840034,4.1,373,"8°29'27""",77.31366666666666,10.997222222222222,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31366666666666 10.997222222222222, 77.31463888888888 10.994666666666665)"
6,T.NO 5,T,DB,24,4-5,303.0594001181947,5.35,376,"0°3'20""",77.31463888888888,10.994666666666665,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31463888888888 10.994666666666665, 77.31558333333334 10.992249999999999)"
7,T.NO 6,T,DB,24,5-6,285.97377502141694,5.95,382,"12°39'11""",77.31558333333334,10.992249999999999,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31558333333334 10.992249999999999, 77.31591666666667 10.990055555555555)"
8,T.NO 7,T,DB,24,6-7,245.9532475898621,4.85,381,"1°34'6""",77.31591666666667,10.990055555555555,GOOD,GOOD,LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31591666666667 10.990055555555555, 77.31630555555556 10.987944444444443)"
9,T.NO 8,T,DB,24,7-8,236.93459012984997,6.25,381,"14°47'35""",77.31630555555556,10.987944444444443,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31630555555556 10.987944444444443, 77.31727777777778 10.98586111111111)"
10,T.NO 9,T,DD,28,8-9,253.1896522372113,5.78,379,"44°10'52""",77.31727777777778,10.98586111111111,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31727777777778 10.98586111111111, 77.31661111111111 10.984)"
