S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Karamadai Gantry,2W,Gantry,Gantry,15,,,-,331,,11.29547778,77.00874167,OK,-,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00874166666667 11.295477777777778, 77.00875 11.295341666666667)"
2,1,,Tension,DD+0,28,4-5,20,5,329," 77°25’15.55""LT",11.29534167,77.00875,OK,NO,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00875 11.295341666666667, 77.00904166666666 11.29528611111111)"
3,2,,Tension,MD+6,51,5-6,37,1.5,324, 98°40’14.17”LT,11.29528611,77.00904167,OK,OK,110kv KGDNIM,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00904166666666 11.29528611111111, 77.00907222222222 11.297038888888888)"
4,3,,Tension,MB+6,51,6-7,197,1.8,323, 10°32’4.18”LT,11.29703889,77.00907222,OK,OK,-,-,Plain,"Common for Irumbarai,BB-II & Sandinallah ,Thudiyalur-I Feeders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00907222222222 11.297038888888888, 77.00881111111111 11.29865)"
5,4,,Tension,DD+0,28,7-8,186,1,316, 51°22’26.03”LT,11.29865,77.00881111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00881111111111 11.29865, 77.007525 11.29936388888889)"
6,5,,Tension,DC+0,26,8-9,163,1.5,310, 26°50’0.26”LT,11.29936389,77.007525,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.007525 11.29936388888889, 77.005225 11.29946111111111)"
7,6,,Tension,DC+0,26,9-10,255,1.3,310," 23°44’6.35""LT",11.29946111,77.005225,OK,OK,"Two 33kv, 400kv PGCIL -KAY-MTPS",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.005225 11.29946111111111, 77.00380277777778 11.298883333333333)"
8,7,,Tension,DD+0,28,10-11,171,0.9,297, 75°25’51.73”LT,11.29888333,77.00380278,OK,OK,-,CC Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00380277777778 11.298883333333333, 77.0040361111111 11.296775)"
9,8,,Tension,DD+0,28,11-12,238,7,309," 79°23’40.76""RT",11.296775,77.00403611,OK,OK,LT,CC Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0040361111111 11.296775, 77.00168611111111 11.29605)"
10,9,,Tension,DD+0,28,12-13,273,1.5,320, 17°9’30.6”LT,11.29605,77.00168611,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00168611111111 11.29605, 77.00132777777777 11.2958)"
