Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 LILO SALAIPUDUR,,LILO,T,34,,,2.95,329,,77.25908333,10.7915,GOOD,GOOD,NO,,,PLAIN,"NEED 3WAY JUCNTION BOX2 EARTH WIRE 1E/W CONTINUE TO OUR T.NO-2, ANOTHER E/W CONNECT TO 110KV MALAYADIPAYAM T.NO-38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25908333333334 10.7915, 77.26061111111112 10.792527777777778)"
T.NO-2,,DB,T,30,LILO-1 - 2,199.1607391,3.12,325,"7°28'20""",77.26061111,10.79252778,GOOD,GOOD,NO,LT,MUD ROAD,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26061111111112 10.792527777777778, 77.26297222222222 10.793694444444444)"
T.NO-3,,DC,T,29,2--3,289.8068322,4.97,329,"17°17'11""",77.26297222,10.79369444,GOOD,GOOD,NO,,,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26297222222222 10.793694444444444, 77.26491666666666 10.794027777777778)"
T.NO-4,,DD,T,31,03-Apr,217.1750446,3.82,326,"31°21'59""",77.26491667,10.79402778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26491666666666 10.794027777777778, 77.2671388888889 10.793138888888889)"
T.NO-5,,DC,T,29,04-May,261.2757164,4.4,321,"20°53'27""",77.26713889,10.79313889,GOOD,GOOD,NO,22KV,MUD ROAD,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2671388888889 10.793138888888889, 77.26872222222222 10.793111111111111)"
T.NO-6,,DC,T,29,05-Jun,172.0116275,3.12,320,"14°3'12""",77.26872222,10.79311111,GOOD,GOOD,NO,,,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26872222222222 10.793111111111111, 77.26977777777778 10.792805555555555)"
T.NO-7,,DC,T,29,06-Jul,122.0040983,3.88,324,"18°2'3""",77.26977778,10.79280556,GOOD,GOOD,NO,2NOS 22KV,TAAR ROAD (SH),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26977777777778 10.792805555555555, 77.27216666666666 10.792944444444444)"
T.NO-8,,DC,T,29,07-Aug,259.4339993,1.96,323,"17°17'19""",77.27216667,10.79294444,GOOD,GOOD,NO,,,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27216666666666 10.792944444444444, 77.27338888888889 10.793388888888888)"
T.NO-9,,DD,T,31,08-Sep,142.0880009,1.36,324,"65°20'30""",77.27338889,10.79338889,GOOD,GOOD,NO,33KV,MUD ROAD,WATTER LOGGED,INSIDE RIVER AT PRESENT NO WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27338888888889 10.793388888888888, 77.2743888888889 10.792388888888889)"
T.NO-10,,DD,T,28,09-Oct,154.8579995,1.78,322,"70°49'18""",77.27438889,10.79238889,GOOD,GOOD,YES,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2743888888889 10.792388888888889, 77.27427777777778 10.792166666666667)"
GANTRY 110KV SALAIPUDUR,2W,GANTRY,GANTRY,20,10-GANTRY,25.49509757,,324,,77.27427778,10.79216667,GOOD,MISSING,,,TAAR ROAD,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
