Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),GROUND EARTH AVAILABLE,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY 230KV ALIYAR,GANTRY,GANTRY,20,,,,,,77.00666666666666,10.455833333333333,GOOD,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00666666666666 10.455833333333333, 77.00675 10.45611111111111)"
T.NO-1,T,MD,45,GANTRY-1,32.57299494980466,4.31,328,"46°55'59.88""",77.00675,10.45611111111111,GOOD,MISSING,,CANAL,,YES,2EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00675 10.45611111111111, 77.00666666666666 10.456277777777776)"
T.NO-2,T,DD,28,1-2,20.591260281974,4.82,333,"65°37'52.66""",77.00666666666666,10.456277777777776,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00666666666666 10.456277777777776, 77.00555555555556 10.456194444444444)"
T.NO-3,T,DD,28,2-3,122.40914998479485,3.23,329,"30°3'46.45""",77.00555555555556,10.456194444444444,GOOD,GOOD,LT,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00555555555556 10.456194444444444, 77.00452777777778 10.455499999999999)"
T.NO-4,T,DD,28,3-4,135.09256086106296,16.12,326,"55°45'57.97""",77.00452777777778,10.455499999999999,GOOD,GOOD,LT,"TAAR ROAD, CANAL",,NO,"2 EARTH WIRE ONE IS CONTNUE TO OUR T.NO-5,ANOTHER EARTH WIRE CONNECT WITH SARKARPATHI POWER TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00452777777778 10.455499999999999, 77.00280555555555 10.456166666666666)"
T.NO-5,T,DB,30,4-5,203.54115063052976,14.27,328,"8°49'20.10""",77.00280555555555,10.456166666666666,GOOD,GOOD,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00280555555555 10.456166666666666, 77.00030555555556 10.456722222222222)"
T.NO-6,T,DB,30,5-6,279.3027031734566,12.6,326,"5°33'31.46""",77.00030555555556,10.456722222222222,GOOD,GOOD,,RIVER CROSSING,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00030555555556 10.456722222222222, 76.99822222222222 10.457388888888888)"
T.NO-7,T,DB,24,6-7,239.40133667128927,13.47,328,"1°9'42.77""",76.99822222222222,10.457388888888888,GOOD,GOOD,,NALA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99822222222222 10.457388888888888, 76.996 10.458083333333333)"
T.NO-8,T,DB,24,7-8,255.64428411368795,17.02,329,"6°58'58.07""",76.996,10.458083333333333,GOOD,GOOD,,TAAR ROAD,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.996 10.458083333333333, 76.995 10.458499999999999)"
T.NO-9,T,DD,28,8-9,120.01666550941998,,342,"59°16'42.41""",76.995,10.458499999999999,GOOD,GOOD,,,"FOREST,ROCKS",NO,BUSHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.995 10.458499999999999, 76.99430555555556 10.46436111111111)"
T.NO-10,T,DC,26,9-10,651.058369119083,,415,"23°8'4.18""",76.99430555555556,10.46436111111111,GOOD,GOOD,,"TAAR ROAD,LAKE DAM","FOREST,ROCKS",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99430555555556 10.46436111111111, 76.99277777777777 10.466944444444444)"
T.NO-11,T,DD,28,10-11,331.1872582090078,,447,"46°58'50.11""",76.99277777777777,10.466944444444444,GOOD,GOOD,,,"FOREST,ROCKS",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99277777777777 10.466944444444444, 76.99375 10.470027777777778)"
T.NO-12,T,DB,24,11-12,354.9704213029587,,461,"7°3'4.32""",76.99375,10.470027777777778,GOOD,GOOD,,,"FOREST,ROCKS",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99375 10.470027777777778, 76.99455555555555 10.474527777777778)"
T.NO-13,T,DD,28,12-13,507.17354031928755,,417,"31°30'30.90""",76.99455555555555,10.474527777777778,GOOD,GOOD,,,FOREST,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99455555555555 10.474527777777778, 76.99333333333334 10.477555555555556)"
T.NO-14,S,DA,26,13-14,359.8777570231314,,431,,76.99333333333334,10.477555555555556,GOOD,GOOD,,,FOREST,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99333333333334 10.477555555555556, 76.99288888888888 10.478694444444445)"
T.NO-15,T,DB,24,14-15,135.00370365289984,,435,"2°41'31.03""",76.99288888888888,10.478694444444445,GOOD,GOOD,,,FOREST,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99288888888888 10.478694444444445, 76.99208333333334 10.480444444444444)"
T.NO-16,T,DB,24,15-16,213.85976713725282,,411,"0°26'28.43""",76.99208333333334,10.480444444444444,GOOD,GOOD,,,"FOREST,ROCKS",NO,BUSHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99208333333334 10.480444444444444, 76.99086111111112 10.483)"
T.NO-17,T,DB,24,16-17,310.8858311341963,,417,"0°23'30.18""",76.99086111111112,10.483,GOOD,GOOD,,,"FOREST,ROCKS",NO,BUSHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99086111111112 10.483, 76.98955555555555 10.485833333333332)"
T.NO-18,T,DA,26,17-18,346.2831211595506,10.46,318,,76.98955555555555,10.485833333333332,GOOD,GOOD,22KV,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98955555555555 10.485833333333332, 76.98858333333334 10.487972222222222)"
