Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 LILO M.N PALAYAM,DA,T,32,,,3.25,275,,77.00519444444444,10.56188888888889,GOOD,GOOD,,,NO,PLAINLAND,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-2 ANOTHER ONE CONNECT TO POLLACHI - ALYAR  TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00519444444444 10.56188888888889, 77.00397222222222 10.562194444444446)"
T.NO -2,DC,T,32,1-2,138.495,4.65,281,"27°51'16.57""",77.00397222222222,10.562194444444446,GOOD,GOOD,3nos LT,2nos TAAR ROAD (SH),NO,CULTIVATION,VAALPARAI -POLLACHI SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00397222222222 10.562194444444446, 77.00155555555556 10.561666666666667)"
T.NO -3,DB,T,30,2-3,271.183,6.12,272,"8°51'22.12""",77.00155555555556,10.561666666666667,GOOD,GOOD,"2nos LT,22KV",2nos TAAR ROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00155555555556 10.561666666666667, 76.99888888888889 10.560611111111111)"
T.NO -4,DA,S,32,3-4,314.014,4.12,273,,76.99888888888889,10.560611111111111,GOOD,GOOD,"LT,110KV SC LINE CROSSING BELOW OUR LINE","CEMENT ROAD ,RIVER",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99888888888889 10.560611111111111, 76.99683333333333 10.559805555555556)"
T.NO -5,DA,S,26,4-5,241.963,5.5,285,,76.99683333333333,10.559805555555556,GOOD,GOOD,LT,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99683333333333 10.559805555555556, 76.9948611111111 10.559000000000001)"
T.NO -6,DB,T,24,5-6,234.776,3.82,286,"3°4'1.44""",76.9948611111111,10.559000000000001,GOOD,GOOD,,"2nos MUD ROAD,NALA",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9948611111111 10.559000000000001, 76.9923888888889 10.557833333333335)"
T.NO -7,DA,S,26,6-7,299.641,4.56,287,,76.9923888888889,10.557833333333335,GOOD,GOOD,LT ,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9923888888889 10.557833333333335, 76.9901388888889 10.556666666666667)"
T.NO -8,DD,T,34,7-8,278.237,7.02,288,"53°34'24.32""",76.9901388888889,10.556666666666667,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9901388888889 10.556666666666667, 76.98838888888889 10.557500000000001)"
T.NO -9,DC,T,32,8-9,212.002,2.98,280,"22°42'39.80""",76.98838888888889,10.557500000000001,GOOD,GOOD,LT,RIVER,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98838888888889 10.557500000000001, 76.98702777777778 10.559027777777779)"
T.NO -10,DD,T,28,9-10,224.555,3.02,280,"42°54'33.46""",76.98702777777778,10.559027777777779,GOOD,GOOD,2nos LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98702777777778 10.559027777777779, 76.98458333333333 10.559277777777778)"
T.NO -11,DA,S,26,10-11,270.254,4.69,286,,76.98458333333333,10.559277777777778,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98458333333333 10.559277777777778, 76.98258333333334 10.559583333333334)"
T.NO -12,DC,T,26,11-12,220.336,4.82,291,"28°47'33.18""",76.98258333333334,10.559583333333334,GOOD,GOOD,"LT,11KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98258333333334 10.559583333333334, 76.98058333333333 10.558861111111112)"
T.NO -13,DA,S,26,12-13,234.785,3.46,289,,76.98058333333333,10.558861111111112,GOOD,GOOD,"11KV,LT",MUDROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98058333333333 10.558861111111112, 76.97858333333333 10.558083333333334)"
T.NO -14,DA,S,26,13-14,235.648,3.98,306,,76.97858333333333,10.558083333333334,GOOD,GOOD,,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97858333333333 10.558083333333334, 76.97661111111111 10.557250000000002)"
T.NO -15,DB,T,24,14-15,233.735,4.41,303,"11°35'33.29""",76.97661111111111,10.557250000000002,GOOD,GOOD,,"CANAL ,MUDROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97661111111111 10.557250000000002, 76.9738888888889 10.556694444444446)"
T.NO -16,DA,S,26,15-16,304.795,5.3,305,,76.9738888888889,10.556694444444446,GOOD,GOOD,"2nos 22KV,LT",TAAR ROAD SH,NO,CULTIVATION,SH-ANAMALAI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9738888888889 10.556694444444446, 76.97155555555555 10.55613888888889)"
T.NO -17,DD,T,28,16-17,261.457,4.48,307,"53°25'19.68""",76.97155555555555,10.55613888888889,GOOD,GOOD,,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.97155555555555 10.55613888888889, 76.96952777777778 10.557833333333335)"
T.NO -18,DA,S,26,17-18,291.156,2.56,290,,76.96952777777778,10.557833333333335,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96952777777778 10.557833333333335, 76.96744444444445 10.55952777777778)"
T.NO -19,DA,S,26,18-19,295.652,3.98,287,,76.96744444444445,10.55952777777778,GOOD,GOOD,22KV,"MUDROAD,TAAR TOAD",NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96744444444445 10.55952777777778, 76.96536111111111 10.561250000000001)"
T.NO -20,DA,S,26,19-20,297.558,3.12,292,,76.96536111111111,10.561250000000001,GOOD,GOOD,"LT,2nos 22KV",MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96536111111111 10.561250000000001, 76.96377777777778 10.56252777777778)"
T.NO -21,DC,T,26,20-21,223.486,4.07,262,"17°34'7.64""",76.96377777777778,10.56252777777778,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96377777777778 10.56252777777778, 76.96138888888889 10.563444444444444)"
T.NO -22,DA,S,26,21-22,280.435,9.95,287,,76.96138888888889,10.563444444444444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.96138888888889 10.563444444444444, 76.95880555555556 10.564472222222223)"
T.NO -23,DD,T,28,22-23,303.059,3.98,287,"40°22'53.09""",76.95880555555556,10.564472222222223,GOOD,GOOD,22KV,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95880555555556 10.564472222222223, 76.9576388888889 10.566694444444444)"
T.NO -24,DA,S,26,23-24,277.824,4.33,269,,76.9576388888889,10.566694444444444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9576388888889 10.566694444444444, 76.95652777777778 10.568694444444445)"
T.NO -25,DA,S,26,24-25,254.283,3.5,262,,76.95652777777778,10.568694444444445,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95652777777778 10.568694444444445, 76.95544444444445 10.570777777777778)"
T.NO -26,DA,S,29,25-26,257.187,3.12,263,,76.95544444444445,10.570777777777778,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95544444444445 10.570777777777778, 76.95425 10.572916666666666)"
T.NO -27,DA,S,29,26-27,270.407,3.76,257,,76.95425,10.572916666666666,GOOD,GOOD,,"NALA,CANAL,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95425 10.572916666666666, 76.95288888888889 10.575305555555556)"
T.NO -28,DA,S,26,27-28,303.266,2.8,266,,76.95288888888889,10.575305555555556,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95288888888889 10.575305555555556, 76.95158333333333 10.577583333333333)"
T.NO -29,DA,S,26,28-29,290.617,2.56,255,,76.95158333333333,10.577583333333333,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95158333333333 10.577583333333333, 76.9503888888889 10.579833333333333)"
T.NO -30,DA,S,26,29-30,281.413,3.1,245,,76.9503888888889,10.579833333333333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9503888888889 10.579833333333333, 76.94897222222222 10.582055555555556)"
T.NO -31,DB,T,24,30-31,290.147,2.1,249,"7°19'21.86""",76.94897222222222,10.582055555555556,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94897222222222 10.582055555555556, 76.94791666666667 10.584277777777778)"
T.NO -32,DB,T,30,31-32,272.406,3.16,252,"10°31'39.81""",76.94791666666667,10.584277777777778,GOOD,GOOD,,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94791666666667 10.584277777777778, 76.9465 10.58625)"
T.NO -33,DB,T,30,32-33,265.633,4.21,270,"7°53'29.23""",76.9465,10.58625,GOOD,GOOD,,"RIVER,CANAL, 2nosMUDROAD",NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9465 10.58625, 76.94505555555556 10.588972222222223)"
T.NO -34,DD,T,28,33-34,340,7.36,257,"34°41'55.80""",76.94505555555556,10.588972222222223,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94505555555556 10.588972222222223, 76.94411111111111 10.589444444444444)"
T.NO -35,DA,S,26,34-35,115.836,5.96,257,,76.94411111111111,10.589444444444444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94411111111111 10.589444444444444, 76.94222222222223 10.5905)"
T.NO -36,DD,T,28,35-36,239.426,4.64,265,"48°25'8.57""",76.94222222222223,10.5905,GOOD,GOOD,"LT,11KV",TAAR ROAD,NO, FACTORY INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94222222222223 10.5905, 76.94163888888889 10.593027777777777)"
T.NO -37,DD,T,28,36-37,287.221,3.1,263,"68°52'53.59""",76.94163888888889,10.593027777777777,GOOD,GOOD,11KV,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94163888888889 10.593027777777777, 76.93905555555556 10.593416666666668)"
T.NO -38,DA,S,26,37-38,285.955,3.8,263,,76.93905555555556,10.593416666666668,GOOD,GOOD,"LT,22KV","TAAR ROAD,MUDROAD",NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93905555555556 10.593416666666668, 76.93680555555557 10.593694444444445)"
T.NO -39,DC,T,26,38-39,248.697,3.52,265,"20°15'17.30""",76.93680555555557,10.593694444444445,GOOD,GOOD,"LT,22KV",MUD ROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93680555555557 10.593694444444445, 76.93394444444445 10.593027777777777)"
T.NO -40,DB,T,30,39-40,319.916,5.16,282,"10°45'15.64""",76.93394444444445,10.593027777777777,GOOD,GOOD,LT,"NALA ,TAAR ROAD SH",NO,PLAINLAND,POLLACHI - SETHUMADAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93394444444445 10.593027777777777, 76.93172222222222 10.592944444444445)"
T.NO -41,DC,T,32,40-41,245.294,7.54,280,"28°55'51.36""",76.93172222222222,10.592944444444445,GOOD,GOOD,22KV,MUD ROAD,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93172222222222 10.592944444444445, 76.92980555555556 10.59388888888889)"
T.NO -42,DA,S,26,41-42,233.9,6.98,276,,76.92980555555556,10.59388888888889,GOOD,GOOD,LT,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92980555555556 10.59388888888889, 76.92877777777778 10.594222222222223)"
T.NO -43 ANAMALAI LILO,DB,T,24,42-43,118.271,7.76,269,"8°53'24.95""",76.92877777777778,10.594222222222223,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,NEED 3WAY JUNCTION BOX.2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-44 ANOTHER ONE CONNECT TO ANAMALAI 110KV LILO  T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92877777777778 10.594222222222223, 76.92741666666667 10.594944444444446)"
T.NO -44,DD,T,28,43-44,168.181,7.68,271,"43°50'36.60""",76.92741666666667,10.594944444444446,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92741666666667 10.594944444444446, 76.92627777777778 10.598416666666667)"
