S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,34,,Tension,MD+0,45,-,-,9,474,,11.19463889,76.91272222,OK,OK,-,-,Plain,LILO POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91272222222223 11.194638888888889, 76.9128 11.1953)"
2,1,,Tension,DD+0,28,04-May,77,9.4,473," 6°9’22.44""RT",11.1953,76.9128,OK,OK,LT,Tar Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9128 11.1953, 76.9133138888889 11.19808888888889)"
3,2,,Tension,DB+0,24,05-Jun,327,4,471, 9°43’18.86”RT,11.19808889,76.91331389,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9133138888889 11.19808888888889, 76.91416111111111 11.200552777777776)"
4,3,,Tension,DC+0,26,06-Jul,289,2.1,476," 15°14’29.65""LT",11.20055278,76.91416111,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91416111111111 11.200552777777776, 76.91433055555557 11.202583333333333)"
5,4,,Tension,DB+0,24,07-Aug,230,6.9,482," 0°36’25.08""RT",11.20258333,76.91433056,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91433055555557 11.202583333333333, 76.91446944444445 11.204227777777778)"
6,5,,Tension,DD+0,28,08-Sep,191,0.3,492, 60°3’8.8”RT,11.20422778,76.91446944,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91446944444445 11.204227777777778, 76.91703333333334 11.205422222222222)"
7,6,,Suspension,DA+0,26,09-Oct,311,0.4,482,,11.20542222,76.91703333,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91703333333334 11.205422222222222, 76.92011944444445 11.206858333333333)"
8,7,,Suspension,DA+0,26,10-Nov,386,16,489,,11.20685833,76.92011944,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92011944444445 11.206858333333333, 76.92280833333334 11.208052777777777)"
9,8,,Tension,DB+0,24,11-Dec,318,12,490," 0°30’17.59""RT",11.20805278,76.92280833,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92280833333334 11.208052777777777, 76.92519722222222 11.209230555555555)"
10,9,,Tension,DB+0,24,Dec-13,300,21,491, 10°53’41.59”RT,11.20923056,76.92519722,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92519722222222 11.209230555555555, 76.92696666666667 11.20966111111111)"
11,10,,Tension,DB+0,24,13-14,203,1.8,497, 9°26’1.17”RT,11.20966111,76.92696667,OK,OK,LT,"Mud Road, Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92696666666667 11.20966111111111, 76.92932222222223 11.209880555555555)"
12,11,,Tension,DD+0,28,14-15,259,0.6,502, 48°0’50.68”RT,11.20988056,76.92932222,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92932222222223 11.209880555555555, 76.93063055555557 11.208688888888888)"
13,12,,Tension,DD+0,28,15-16,200,1,490," 38°44’56.22""LT",11.20868889,76.93063056,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93063055555557 11.208688888888888, 76.93236944444445 11.208561111111111)"
14,13,,Suspension,DA+0,26,16-17,195,3.9,488,,11.20856111,76.93236944,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93236944444445 11.208561111111111, 76.93423611111112 11.208422222222222)"
15,14,2W,Tension,DB+0,24,17-18,210,1.8,485," 12°37’19.43""LT",11.20842222,76.93423611,OK,OK,-,Mud Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93423611111112 11.208422222222222, 76.93654722222223 11.208758333333332)"
16,15,,Suspension,DA+0,26,18-19,259,1.6,471,,11.20875833,76.93654722,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93654722222223 11.208758333333332, 76.93842500000001 11.209044444444444)"
17,16,,Tension,DC+0,26,19-20,213,2.1,466," 17°29’45.26""LT",11.20904444,76.938425,OK,OK,-,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93842500000001 11.209044444444444, 76.94003333333333 11.209802777777776)"
18,17,,Suspension,DA+0,26,20-21,202,1.6,459,,11.20980278,76.94003333,OK,OK,-,Two Canals,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94003333333333 11.209802777777776, 76.94195277777779 11.210666666666667)"
