S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY UDUMALAIPET SS,GANTRY,GANTRY,20,,,,364,,77.24469444444445,10.592694444444446,GOOD,MISSING,,,NO,,UDUMALAIPET SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24469444444445 10.592694444444446, 77.24508333333334 10.592611111111111)"
2,T.NO-1,T,DB,24,GT-1,41.48493702538308,,367,"3°58'51.35""",77.24508333333334,10.592611111111111,GOOD,MISSING,"LT,33KV",,YES,PLAIN LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24508333333334 10.592611111111111, 77.24625 10.592361111111112)"
3,T.NO-2,T,DD,28,1-2,131.59407281484982,0.46,365,"32°8'29.04""",77.24625,10.592361111111112,GOOD,GOOD,11KV,"NALA,TAAR ROAD (SH)",NO,CULTIVATION,2 EARTH WIRE. FROM THIS DC TOWER LINES SPLITED TO 2 SC LINES.ONE CONTINUE TO OUR LINE ANOTHER ONE SPLIT TO UDUMALPET 230 TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24625 10.592361111111112, 77.24805555555555 10.593027777777777)"
4,T.NO-3,T,SD,28,2-3,211.72859986312668,0.54,367,"54°45'13.51""",77.24805555555555,10.593027777777777,GOOD,GOOD,"LT,11KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24805555555555 10.593027777777777, 77.24877777777778 10.595638888888889)"
5,T.NO-4,T,SB,24,3-4,299.5413160150032,0.78,366,"8°49'3.15""",77.24877777777778,10.595638888888889,GOOD,GOOD,"LT,11KV",2nos TAAR ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24877777777778 10.595638888888889, 77.24991666666666 10.59825)"
6,T.NO-5,T,SB,26,4-5,315.79265349276255,1.2,363,"0°5'42.70""",77.24991666666666,10.59825,GOOD,GOOD,"LT,11KV",2nos TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24991666666666 10.59825, 77.25108333333333 10.600861111111112)"
7,T.NO-6,S,SA,26,5-6,314.4789341116508,1.75,357,,77.25108333333333,10.600861111111112,GOOD,GOOD,3nos LT,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25108333333333 10.600861111111112, 77.25216666666667 10.603444444444444)"
8,T.NO-7,S,SA,26,6-7,310.4834939252005,6.13,355,,77.25216666666667,10.603444444444444,GOOD,GOOD,2nos LT,"2nos MUD ROAD,CANAL,TAAR ROAD",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25216666666667 10.603444444444444, 77.25313888888888 10.6055)"
9,T.NO-8 ,T,DD,26,7-8,250.10797668207226,17.8,350,"1°50'20.33""",77.25313888888888,10.6055,GOOD,GOOD,LT,TAAR ROAD,NO,PLAIN LAND,"NEED 3 WAY JUNCTION BOX. 2 EARTH WIRE. 1 WIRE CONTINUE TO OUR T.NO-9,ANOTHER EARTH WIRE CONNECT FROM  UDUMALPET 230 TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25313888888888 10.6055, 77.25441666666667 10.608416666666667)"
10,T.NO-9,S,DA,26,8-9,350.85324567402824,3.85,361,,77.25441666666667,10.608416666666667,GOOD,GOOD,"LT,2nos 22KV","MUD ROAD, 2nos TAAR ROAD",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25441666666667 10.608416666666667, 77.25555555555556 10.610944444444444)"
