S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 19 LILO GOUNDAM PALAYAM,T,DB,24,18-19,332.3627536292236,4.32,437,"0°28'7""",11.2300654,77.6238581,3449176793,GOOD,,TAARROAD,PLAIN,GOUNDAMPALAYAM LILO NEED  3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6238581 11.2300654, 77.6257867 11.2319246)"
21,T.NO 20,T,DB,24,19-20,340.93107807883985,5.61,447,"2°21'47""",11.2319246,77.6257867,3449176586,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6257867 11.2319246, 77.6277869 11.2339343)"
22,T.NO 21,S,DA,26,20-21,275.53039759707093,6.72,439,,11.2339343,77.6277869,3449176902,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6277869 11.2339343, 77.6295865 11.2357508)"
23,T.NO 22,T,DC,26,21-22,337.6166465090251,6.95,442,"20°6'47""",11.2357508,77.6295865,3449176919,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6295865 11.2357508, 77.6315221 11.2376818)"
24,T.NO 23,T,DB,24,22-23,267.5256997000475,4.13,439,"4°27'40""",11.2376818,77.6315221,3449176724,GOOD,"LT-3,HT-5",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6315221 11.2376818, 77.6334629 11.2396213)"
25,T.NO 24,T,DB,24,23-24,179.0111728356641,3.96,438,"0°37'32""",11.2396213,77.6334629,3449176743,GOOD,"LT,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6334629 11.2396213, 77.6353253 11.2415113)"
26,T.NO 25,T,DB,24,24-25,182.6307750626931,3.12,440,"0°26'19""",11.2415113,77.6353253,3449176762,GOOD,,RAILWAY,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6353253 11.2415113, 77.6370953 11.2432883)"
27,T.NO 26,S,DA,26,25-26,289,5.06,442,,11.2432883,77.6370953,3449177000,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6370953 11.2432883, 77.6388251 11.2450277)"
28,T.NO 27,T,DD,28,26-27,213,4.95,439,"59°49'54""",11.2450277,77.6388251,3449177033,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6388251 11.2450277, 77.6405916 11.2467979)"
29,T.NO 28,T,DC,26,27-28,56,4.56,435,"21°44'45""",11.2467979,77.6405916,3449177052,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6405916 11.2467979, 77.6401417 11.2494916)"
30,GT 230KV COIMBATORE SS,T,GT,15,28-GT,23,,437,,11.2494916,77.6401417,3449177068,MISSING,,,PLAIN,230KV COIMBATORE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6401417 11.2494916, 77.6397685 11.2517731)"
TOTAL,,,,,,=SUM(G6:G16),,,,11.2517731,77.6397685,3449177089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6397685 11.2517731, 77.6393395 11.2542923)"
,,,,,,,,,,11.2542923,77.6393395,3449176935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6393395 11.2542923, 77.6389158 11.2568526)"
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,11.2568526,77.6389158,3449176966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6389158 11.2568526, 77.6384851 11.2594607)"
,,,,,,,,,,11.2594607,77.6384851,3449176987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6384851 11.2594607, 77.637934 11.2610752)"
,,,,,,,,,,11.2610752,77.637934,3449177307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.637934 11.2610752, 77.6392244 11.2625511)"
,,,,,,,,,,11.2625511,77.6392244,3449177324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6392244 11.2625511, 77.6405131 11.2639842)"
,,,,,,,,,,11.2639842,77.6405131,3449177206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6405131 11.2639842, 77.6419221 11.2655781)"
,,,,,,,,,,11.2655781,77.6419221,3449177217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6419221 11.2655781, 77.6432038 11.2677279)"
,,,,,,,,,,11.2677279,77.6432038,3449177232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6432038 11.2677279, 77.6442849 11.2695475)"
,,,,,,,,,,11.2695475,77.6442849,3449177240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6442849 11.2695475, 77.6454829 11.2715706)"
,,,,,,,,,,11.2715706,77.6454829,3449177249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6454829 11.2715706, 77.6466792 11.2735835)"
,,,,,,,,,,11.2735835,77.6466792,3449177263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6466792 11.2735835, 77.6479922 11.2758118)"
,,,,,,,,,,11.2758118,77.6479922,3449177274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6479922 11.2758118, 77.6491833 11.2778263)"
,,,,,,,,,,11.2778263,77.6491833,3449177284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6491833 11.2778263, 77.6503097 11.2797263)"
,,,,,,,,,,11.2797263,77.6503097,3449177396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6503097 11.2797263, 77.6518268 11.2822589)"
,,,,,,,,,,11.2822589,77.6518268,3449177338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6518268 11.2822589, 77.652909 11.2840855)"
,,,,,,,,,,11.2840855,77.652909,3449177348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.652909 11.2840855, 77.6535545 11.2861145)"
,,,,,,,,,,11.2861145,77.6535545,3449177359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6535545 11.2861145, 77.6542522 11.2882926)"
,,,,,,,,,,11.2882926,77.6542522,3449177371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6542522 11.2882926, 77.6549914 11.2906)"
,,,,,,,,,,11.2906,77.6549914,3449177125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6549914 11.2906, 77.6557151 11.2930043)"
,,,,,,,,,,11.2930043,77.6557151,3449177140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6557151 11.2930043, 77.6564003 11.2950228)"
,,,,,,,,,,11.2950228,77.6564003,3449177151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6564003 11.2950228, 77.6571589 11.2965457)"
,,,,,,,,,,11.2965457,77.6571589,3449177162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6571589 11.2965457, 77.6580992 11.2984259)"
,,,,,,,,,,11.2984259,77.6580992,3449177403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6580992 11.2984259, 77.6580992 11.2984259)"
,,,,,,,,,,11.2984259,77.6580992,3449177403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6580992 11.2984259, 77.6599476 11.2999205)"
,,,,,,,,,,11.2999205,77.6599476,3449177413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6599476 11.2999205, 77.6623575 11.3018579)"
,,,,,,,,,,11.3018579,77.6623575,3449177426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6623575 11.3018579, 77.6644146 11.3035043)"
,,,,,,,,,,11.3035043,77.6644146,3449177435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6644146 11.3035043, 77.6662717 11.3049851)"
,,,,,,,,,,11.3049851,77.6662717,3449177443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6662717 11.3049851, 77.6682143 11.3065309)"
,,,,,,,,,,11.3065309,77.6682143,3449177175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6682143 11.3065309, 77.6701534 11.3081023)"
,,,,,,,,,,11.3081023,77.6701534,3449177187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6701534 11.3081023, 77.672218 11.3097336)"
,,,,,,,,,,11.3097336,77.672218,3449177494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.672218 11.3097336, 77.6740305 11.3111813)"
,,,,,,,,,,11.3111813,77.6740305,3449177501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6740305 11.3111813, 77.6765586 11.3132203)"
,,,,,,,,,,11.3132203,77.6765586,3449177509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6765586 11.3132203, 77.6783143 11.3146143)"
,,,,,,,,,,11.3146143,77.6783143,3449177515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6783143 11.3146143, 77.6807831 11.3165752)"
,,,,,,,,,,11.3165752,77.6807831,3449177462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6807831 11.3165752, 77.6827169 11.318136)"
,,,,,,,,,,11.318136,77.6827169,4979966939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6827169 11.318136, 77.6850101 11.3199797)"
