S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,T.NO 20,T,DB,24,19-20,340.93107807883985,5.61,447,"2°21'47""",12.5820333,77.9332604,11150159929,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9332604 12.5820333, 77.9318429 12.580155)"
22,T.NO 21,S,DA,26,20-21,275.53039759707093,6.72,439,,12.580155,77.9318429,11150159931,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9318429 12.580155, 77.9305684 12.5793232)"
23,T.NO 22,T,DC,26,21-22,337.6166465090251,6.95,442,"20°6'47""",12.5793232,77.9305684,11150159933,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9305684 12.5793232, 77.9303447 12.5794963)"
24,T.NO 23,T,DB,24,22-23,267.5256997000475,4.13,439,"4°27'40""",12.5794963,77.9303447,3894334240,GOOD,"LT-3,HT-5",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9303447 12.5794963, 77.9290894 12.5820378)"
25,T.NO 24,T,DB,24,23-24,179.0111728356641,3.96,438,"0°37'32""",12.5820378,77.9290894,3894334251,GOOD,"LT,HT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9290894 12.5820378, 77.9261863 12.5822257)"
26,T.NO 25,T,DB,24,24-25,182.6307750626931,3.12,440,"0°26'19""",12.5822257,77.9261863,3894334254,GOOD,,RAILWAY,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9261863 12.5822257, 77.9233587 12.5824005)"
27,T.NO 26,S,DA,26,25-26,289,5.06,442,,12.5824005,77.9233587,3894334558,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9233587 12.5824005, 77.9209753 12.582584)"
28,T.NO 27,T,DD,28,26-27,213,4.95,439,"59°49'54""",12.582584,77.9209753,3894334562,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9209753 12.582584, 77.9180278 12.5827675)"
29,T.NO 28,T,DC,26,27-28,56,4.56,435,"21°44'45""",12.5827675,77.9180278,3894334563,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9180278 12.5827675, 77.9152195 12.5825522)"
30,GT 230KV COIMBATORE SS,T,GT,15,28-GT,23,,437,,12.5825522,77.9152195,3894334560,MISSING,,,PLAIN,230KV COIMBATORE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9152195 12.5825522, 77.9123411 12.5823394)"
TOTAL,,,,,,=SUM(G6:G15),,,,12.5823394,77.9123411,3894334256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9123411 12.5823394, 77.9102911 12.5838901)"
,,,,,,,,,,12.5838901,77.9102911,3894334573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9102911 12.5838901, 77.9098243 12.5847299)"
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,12.5847299,77.9098243,3894332208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9098243 12.5847299, 77.9092108 12.5854471)"
,,,,,,,,,,12.5854471,77.9092108,3894332214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
