Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
80,T,26,79 to 80 ,,323.1633598635122,,24,323,"23°20'34"" LT",11.912374,78.017155,Good,Good,,Sand Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.017155 11.912374, 78.0180841 11.9117748)"
81,T,24,80 to 81,,322.4004101139749,,24,320,"0°6'1"" LT",11.9117748,78.0180841,Good,Good,LT Line crossing ,,Plain,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0180841 11.9117748, 78.0202515 11.9131682)"
,,,,,,,,,,11.9131682,78.0202515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0202515 11.9131682, 78.0217739 11.9142077)"
,,,,,,,,,,11.9142077,78.0217739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0217739 11.9142077, 78.0245381 11.9159957)"
,,,,,,,,,,11.9159957,78.0245381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0245381 11.9159957, 78.0263818 11.9172096)"
,,,,,,,,,,11.9172096,78.0263818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0263818 11.9172096, 78.0284598 11.9185736)"
,,,,,,,,,,11.9185736,78.0284598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0284598 11.9185736, 78.027888 11.919548)"
84,S,26,83 to 84 ,,410.22323556212984,,28,323,,11.919548,78.027888,Good,Good,400 kv line crossing ,,Plain,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F7:F14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
