S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Perambalur SS),Gantry,2W,H-POLE,12,,,,128.56897,,11.23897222,78.892,GOOD,,a,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89200000000001 11.238972222222221, 78.89158333333334 11.23911111111111)"
2,1,T,,DC,26,Gantry-1,48.1270485,2.27,134.277954,"4°11'53""R",11.23911111,78.89158333,GOOD,NO E/W,,,PLAIN,Common tower for Perambalur - Ariyalur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89158333333334 11.23911111111111, 78.88991666666668 11.239888888888888)"
3,2,T,,DC,26,01-Feb,200.2008702,4.26,135.496277,"60°12'19""R",11.23988889,78.88991667,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88991666666668 11.239888888888888, 78.88975 11.242083333333332)"
4,3,T,3W,DB,26,02-Mar,245.2905119,3.2,136.710983,"10°20'53""L",11.24208333,78.88975,GOOD,Available,"HT,LT",NH ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88975 11.242083333333332, 78.88916666666667 11.244166666666667)"
5,4,T,,SC+1.5,23.5,03-Apr,236.9935687,5.01,139.636597,"44°43'45""L",11.24416667,78.88916667,GOOD,Available,LT,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88916666666667 11.244166666666667, 78.88697222222223 11.245416666666666)"
6,5,S,,SA+1.5,22.5,04-May,277.1511512,4.24,141.571655,,11.24541667,78.88697222,GOOD,Available,LT,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88697222222223 11.245416666666666, 78.88519444444445 11.246444444444444)"
7,6,T,,H-POLE,13.5,05-Jun,225.0845546,3.72,141.610107,"0°11'50""R",11.24644444,78.88519444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88519444444445 11.246444444444444, 78.88327777777778 11.247527777777776)"
8,7,T,,H-POLE,13.5,06-Jul,241.0988062,3.1,140.974548,"0°2'58""L",11.24752778,78.88327778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88327777777778 11.247527777777776, 78.88127777777777 11.248694444444444)"
9,8,S,,SA+1.5,23.5,07-Aug,254.6249647,2.27,140.985535,,11.24869444,78.88127778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88127777777777 11.248694444444444, 78.87927777777777 11.249833333333333)"
10,9,T,,SB+1.5,22.5,08-Sep,252.0274779,3.01,139.931381,"9°43'27"" L",11.24983333,78.87927778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87927777777777 11.249833333333333, 78.87694444444443 11.250694444444445)"
11,10,S,,SA+1.5,23.5,09-Oct,272.470649,1.92,138.433212,,11.25069444,78.87694444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87694444444443 11.250694444444445, 78.87458333333333 11.251611111111112)"
12,11,T,,SB+1.5,22.5,10-Nov,275.7030525,2.38,137.978973,"25°21'28""L",11.25161111,78.87458333,GOOD,Available,LT -3No,Main Road Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87458333333333 11.251611111111112, 78.87205555555555 11.251416666666668)"
13,12,S,,SA+1.5,23.5,11-Dec,275.6754357,3.45,141.686081,,11.25141667,78.87205556,GOOD,Available,"LT,HT","ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87205555555555 11.251416666666668, 78.8696111111111 11.251222222222221)"
14,13,S,,SA+1.5,23.5,Dec-13,270.0682493,4.1,144.474274,,11.25122222,78.86961111,GOOD,Available,LT,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8696111111111 11.251222222222221, 78.86722222222221 11.251083333333334)"
15,14,S,,SA+1.5,23.5,13-14,261.353918,1.09,145.666336,,11.25108333,78.86722222,GOOD,Available,LT -2No,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86722222222221 11.251083333333334, 78.86483333333332 11.250944444444444)"
16,15,S,,SA+1.5,23.5,14-15,261.0609046,1.47,146.712769,,11.25094444,78.86483333,GOOD,Available,LT -3No,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86483333333332 11.250944444444444, 78.86224999999999 11.250722222222223)"
17,16,S,,SA+1.5,23.5,15-16,282.4198822,3.47,147.86734,,11.25072222,78.86225,GOOD,Available,LT,"ST, Road",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86224999999999 11.250722222222223, 78.8598611111111 11.250527777777778)"
18,17,T,2W,SB+1.5,22.5,16-17,263.0531231,3.77,149.490753,"18°53'10"" L",11.25052778,78.85986111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8598611111111 11.250527777777778, 78.85752777777778 11.249527777777777)"
19,18,S,,SA+1.5,23.5,17-18,278.07257,2.35,151.460785,"54°58'29""L",11.24952778,78.85752778,GOOD,Available,LT,NH ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85752777777778 11.249527777777777, 78.85541666666666 11.24861111111111)"
20,19,S,,SA+1.5,23.5,18-19,252.8007668,2.55,149.735382,,11.24861111,78.85541667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85541666666666 11.24861111111111, 78.85327777777778 11.247666666666666)"
21,20,S,,SA+1.5,23.5,19-20,254.0369739,3.77,150.238342,,11.24766667,78.85327778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85327777777778 11.247666666666666, 78.85113888888888 11.246722222222221)"
22,21,S,,SA+1.5,23.5,20-21,255.9529709,2.8,151.098389,,11.24672222,78.85113889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85113888888888 11.246722222222221, 78.84894444444444 11.245722222222222)"
23,22,S,,SA+1.5,23.5,21-22,262.9616533,4.1,152.328735,,11.24572222,78.84894444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84894444444444 11.245722222222222, 78.84675 11.24475)"
24,23,S,,SA+1.5,23.5,22-23,263.3973769,2.1,151.258026,,11.24475,78.84675,GOOD,Available,,Perambalur City,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84675 11.24475, 78.8445 11.243722222222221)"
25,24,T,,SB+1.5,22.5,23-24,271.9431413,2.47,151.670593,"4°55'46""R",11.24372222,78.8445,GOOD,Available,HT,Main Road ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8445 11.243722222222221, 78.84211111111111 11.242833333333332)"
26,25,S,,SA+1.5,23.5,24-25,278.2511391,1.39,142.922989,,11.24283333,78.84211111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84211111111111 11.242833333333332, 78.83963888888889 11.241805555555555)"
27,26,S,,SA+1.5,23.5,25-26,293.1730438,2.39,144.863358,,11.24180556,78.83963889,GOOD,Available,,College,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83963888888889 11.241805555555555, 78.83733333333333 11.240972222222222)"
28,27,T,,SC+1.5,23.5,26-27,269.6231104,2.1,145.937302,"46°0'20""R",11.24097222,78.83733333,GOOD,Available,,College Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83733333333333 11.240972222222222, 78.83527777777778 11.241944444444444)"
29,28,T,2W,SC+1.5,23.5,27-28,248.2158616,1.92,146.133972,"56°13'6""R",11.24194444,78.83527778,GOOD,Available,400 KV,College Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83527777777778 11.241944444444444, 78.83488888888888 11.244583333333333)"
30,29,S,,SA,22,28-29,297.2663677,1.1,144.198059,,11.24458333,78.83488889,GOOD,Available,,NH ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83488888888888 11.244583333333333, 78.83469444444444 11.247055555555555)"
31,30,S,,SA,22,29-30,271.5532637,1.47,142.284225,,11.24705556,78.83469444,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83469444444444 11.247055555555555, 78.83447222222222 11.249638888888889)"
32,31,S,,SA,22,30-31,288.1337505,3.21,139.577698,,11.24963889,78.83447222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83447222222222 11.249638888888889, 78.83419444444444 11.2525)"
