S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO : 19/1,T,DC,26,,,2.66,6.942632,,11.184611111111112,79.75761111111112,GOOD,,,,PLAIN,LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75761111111112 11.184611111111112, 79.75736111111111 11.183138888888887)"
2,2,T,DC,26,19/1-2,164.87425150483293,2.13,15.737135,"13°45'48"" R",11.183138888888887,79.75736111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75736111111111 11.183138888888887, 79.75641666666667 11.181027777777777)"
3,3,S,DA,26,2-3,251,2.72,15.326691,,11.181027777777777,79.75641666666667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75641666666667 11.181027777777777, 79.75572222222222 11.178944444444443)"
4,4,S,DA+3,29,3-4,238,1.69,15.427032,,11.178944444444443,79.75572222222222,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75572222222222 11.178944444444443, 79.75441666666667 11.177194444444444)"
5,5,T,DC+3,29,4-5,248,1.16,14.377817,"22°10'30"" L",11.177194444444444,79.75441666666667,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75441666666667 11.177194444444444, 79.75380555555556 11.174833333333332)"
6,6,S,DA,26,5-6,271.5407377360588,2.16,11.878529,,11.174833333333332,79.75380555555556,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75380555555556 11.174833333333332, 79.75308333333334 11.172444444444444)"
7,7,T,DB,26,6-7,274.8529514335271,3.1,11.830254,"16°43'38"" L",11.172444444444444,79.75308333333334,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75308333333334 11.172444444444444, 79.75305555555556 11.170888888888888)"
8,8,S,DA,26,7-8,173.42067818701628,1.09,12.432938,,11.170888888888888,79.75305555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75305555555556 11.170888888888888, 79.753 11.168527777777777)"
9,9,S,DA,26,8-9,261.223712736521,1.67,11.844173,,11.168527777777777,79.753,GOOD,Available,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.753 11.168527777777777, 79.75288888888889 11.166527777777778)"
10,10,S,DA+3,29,9-10,221.35852991339584,1.91,13.398243,,11.166527777777778,79.75288888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75288888888889 11.166527777777778, 79.75286111111112 11.164444444444445)"
