S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 138 /1,T,3W,DC+6,32,,,4.64,131.418503,,10.907,78.22436111,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22436111111111 10.907, 78.22472222222223 10.908666666666667)"
2,2,T,,DC+6,32,138/1 - 2,196,3.77,133.353943,"3°12'42"" R",10.90866667,78.22472222,,,,,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22472222222223 10.908666666666667, 78.22527777777778 10.91075)"
3,3,S,,DA,26,6 - 7,240,4.64,133.929688,,10.91075,78.22527778,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22527777777778 10.91075, 78.22577777777778 10.912722222222223)"
4,4,S,,DA,26,7 - 8,224.1059137,2.92,134.967453,,10.91272222,78.22577778,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22577777777778 10.912722222222223, 78.22644444444444 10.91525)"
5,5,T,,DC,26,8 - 9,294,2.62,133.685165,"14°59'41"" R",10.91525,78.22644444,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22644444444444 10.91525, 78.22769444444445 10.917444444444444)"
6,6,S,,DA,26,9 - 10,281,3.27,131.867645,,10.91744444,78.22769444,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22769444444445 10.917444444444444, 78.22875 10.919277777777777)"
7,7,S,,DA,26,10 - 11,246,4.59,129.763351,,10.91927778,78.22875,,,,,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22875 10.919277777777777, 78.22997222222223 10.921444444444443)"
8,8,T,,DC,26,11 - 12,275.061353,5.24,125.775352,"15°8'14"" L",10.92144444,78.22997222,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22997222222223 10.921444444444443, 78.23058333333333 10.923833333333333)"
9,9,S,,DA+3,29,12 - 13,272.2910161,6.12,124.776245,,10.92383333,78.23058333,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23058333333333 10.923833333333333, 78.23133333333334 10.92661111111111)"
10,10,T,,DC,26,13 - 14,318.0839324,6.03,117.775017,"5°37'51"" L",10.92661111,78.23133333,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23133333333334 10.92661111111111, 78.23177777777778 10.929166666666665)"
11,11,S,,DA,26,14 - 15,285.1638211,2.2,116.410431,,10.92916667,78.23177778,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23177777777778 10.929166666666665, 78.23208333333334 10.931166666666666)"
12,12,T,2W,DC+3,29,15 - 16,224.0492675,2.45,113.928482,"13°38'39"" R",10.93116667,78.23208333,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23208333333334 10.931166666666666, 78.23191666666666 10.934027777777779)"
13,13,T,,DC,26,16 - 17,319.3467067,2.72,115.660728,"39°52'47""",10.93402778,78.23191667,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23191666666666 10.934027777777779, 78.23297222222223 10.935555555555556)"
14,14,S,,DA,26,17 - 18,203.6475902,4.13,114.431297,,10.93555556,78.23297222,,,,,GOOD,Available,"HT,LT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23297222222223 10.935555555555556, 78.23408333333333 10.937194444444446)"
15,15,T,,DC+3,29,18 - 19,219.4490784,1.84,116.141693,"4°21'34"" L",10.93719444,78.23408333,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23408333333333 10.937194444444446, 78.23536111111112 10.939416666666666)"
16,16,T,,DB,26,19 - 20,282.2796294,2.17,117.54554,"5°2'57"" L",10.93941667,78.23536111,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23536111111112 10.939416666666666, 78.23641666666667 10.941805555555556)"
17,17,S,,DA,26,20 - 21,287.1477575,3.16,118.370712,,10.94180556,78.23641667,,,,,GOOD,Available,"LT,HT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23641666666667 10.941805555555556, 78.23733333333334 10.943833333333334)"
18,18,T,,DB,26,21 - 22,246.5323252,3.55,121.09726,"6°16'31"" L",10.94383333,78.23733333,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23733333333334 10.943833333333334, 78.23808333333334 10.946194444444444)"
19,19,T,,DC+3,29,22 - Gantry (Mayanur SS),275.2663732,1.64,121.466942,"24°35'2"" R",10.94619444,78.23808333,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23808333333334 10.946194444444444, 78.238 10.946916666666667)"
