S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thanthonimalai SS),Gantry,2W,H-POLE,12,,,,145.168259,,10.92208333,78.09369444,,,,,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09369444444444 10.922083333333333, 78.09383333333332 10.922055555555556)"
2,12\1,T,,DC+3,29,Gantry -12\1,17.99558719,2.55,145.527878,"10°42'52"" R",10.92205556,78.09383333,,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09383333333332 10.922055555555556, 78.09566666666666 10.92136111111111)"
3,12,T,,DC+3,29,12\1-12,213.9425951,2.38,148.502182,"54°13'4"" R",10.92136111,78.09566667,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09566666666666 10.92136111111111, 78.09633333333333 10.918972222222221)"
4,13,S,,SA,22,"12 ,-13",273.774191,5.4,153.553925,,10.91897222,78.09633333,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09633333333333 10.918972222222221, 78.09694444444445 10.916805555555555)"
5,14,T,,SC,22,13-14,250.1526519,1.03,155.455933,"11°35'21"" L",10.91680556,78.09694444,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09694444444445 10.916805555555555, 78.09791666666666 10.914916666666667)"
6,15,S,,SA,22,14-15,234.6697423,2.61,156.782684,,10.91491667,78.09791667,,,,,GOOD,Available,"LT-2No, HT-2No",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09791666666666 10.914916666666667, 78.09905555555555 10.91275)"
7,16,S,,SA,22,15-16,270.0849456,4.72,153.47821,,10.91275,78.09905556,,,,,GOOD,Available,LT-3No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09905555555555 10.91275, 78.10024999999999 10.910527777777778)"
8,17,S,,SA+3,25,16-17,277.8146117,6.2,152.061752,,10.91052778,78.10025,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10024999999999 10.910527777777778, 78.1013611111111 10.90836111111111)"
9,18,S,,SA,22,17-18,268.8113733,3.11,149.511063,,10.90836111,78.10136111,,,,,GOOD,Available,,Karur - Trichy NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1013611111111 10.90836111111111, 78.10258333333333 10.906194444444445)"
10,19,S,,SA+3,25,18-19,275.5190218,1.45,151.627472,,10.90619444,78.10258333,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10258333333333 10.906194444444445, 78.10377777777778 10.904027777777777)"
11,20,S,,SA,22,19-20,272.2643512,2.09,155.681702,,10.90402778,78.10377778,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10377777777778 10.904027777777777, 78.10488888888888 10.902027777777779)"
12,21,S,,SA,22,20-21,251.760908,2.63,157.945404,,10.90202778,78.10488889,,,,,GOOD,Available,230 KV PGR - Alundur,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10488888888888 10.902027777777779, 78.10597222222222 10.900083333333333)"
13,22,S,,SA,22,21-22,247.64779,3.27,153.657501,,10.90008333,78.10597222,,,,,GOOD,Available,"HT,LT- 2No",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10597222222222 10.900083333333333, 78.10716666666666 10.898)"
14,23,T,,SC,22,22-23,265.0724921,1.44,151.177689,"4°33'59"" R",10.898,78.10716667,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10716666666666 10.898, 78.10822222222221 10.895694444444445)"
15,24,T,,SC+1.5,23.5,23-24,279.2767585,5.08,151.280457,"30°18'56"" L",10.89569444,78.10822222,,,,,GOOD,Available,LT-2No,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10822222222221 10.895694444444445, 78.10963888888888 10.89472222222222)"
16,25,S,,SA+1.5,23.5,24-25,187.3752241,2.91,153.519241,,10.89472222,78.10963889,,,,,GOOD,Available,,School,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10963888888888 10.89472222222222, 78.11136111111111 10.893527777777777)"
17,26,T,2W,SC+6,28,25-26,232.0191193,0.75,150.938507,"27°44'54"" L",10.89352778,78.11136111,,,,,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11136111111111 10.893527777777777, 78.11222222222221 10.893444444444444)"
18,27,T,,SC+6,28,26-27,93.37493763,1.2,151.309982,"57°40'55"" R",10.89344444,78.11222222,,,,,GOOD,Available,,Karur - Dindugal Railway Track,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11222222222221 10.893444444444444, 78.11330555555556 10.891138888888888)"
19,28,T,,SB+1.5,23.5,27-28,279.5599082,3.51,146.753128,"5°53'34"" R",10.89113889,78.11330556,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11330555555556 10.891138888888888, 78.11425 10.888499999999999)"
