S. No ,Tower No,Supspension/Tenion,JOINT BOX,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO -1 AYYAMPETTAI,T,3W,LILO,29,,YES,,-,44,,79.187,10.78719444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.187 10.787194444444445, 79.18911111111112 10.787749999999999)"
2,T.NO-51,S,,DA,26,LILO - 1 - 51,NO,238.9183961,WATER,46,,79.18911111,10.78775,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18911111111112 10.787749999999999, 79.19172222222223 10.788444444444444)"
3,T.NO-52,S,,DA,26,51-52,YES,294.7032406,1.57,49,,79.19172222,10.78844444,GOOD,GOOD,NO,LY,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19172222222223 10.788444444444444, 79.19405555555556 10.789194444444444)"
4,T.NO-53,S,,DA,26,52-53,NO,269.7647123,1.77,46,,79.19405556,10.78919444,GOOD,GOOD,NO,LT,2nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19405555555556 10.789194444444444, 79.19647222222223 10.789888888888889)"
5,T.NO-54,S,,DA,26,53-54,NO,275.1381471,2.15,47,,79.19647222,10.78988889,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19647222222223 10.789888888888889, 79.19866666666667 10.790555555555555)"
6,T.NO-55,S,,DA,26,54-55,NO,249.6096953,2.17,45,,79.19866667,10.79055556,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19866666666667 10.790555555555555, 79.20116666666667 10.791277777777777)"
7,T.NO-56,T,,DC,29,55-56,YES,284.2006334,1.32,47,"26°28'19.00""",79.20116667,10.79127778,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20116666666667 10.791277777777777, 79.20280555555556 10.791)"
8,T.NO-57,S,,DA,26,56-57,NO,183.9836949,2.32,45,,79.20280556,10.791,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20280555555556 10.791, 79.20502777777779 10.790694444444444)"
9,T.NO-58,S,,DA,26,57-58,NO,244.2396364,2.32,45,,79.20502778,10.79069444,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20502777777779 10.790694444444444, 79.20736111111111 10.79036111111111)"
10,T.NO-59,S,,DA,26,58-59,NO,259.1061559,1.79,43,,79.20736111,10.79036111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20736111111111 10.79036111111111, 79.20983333333334 10.79)"
11,T.NO-60,T,,DB,27,59-60,NO,271.2710821,2.25,43,"1°20'23.28""",79.20983333,10.79,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20983333333334 10.79, 79.21230555555556 10.789666666666667)"
12,T.NO-61,S,,DA,26,60-61,NO,273.380687,WATER,43,,79.21230556,10.78966667,GOOD,GOOD,NO,,,CULTIVATION,AT PRESENT WATER FOR NEXT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21230555555556 10.789666666666667, 79.21527777777779 10.789305555555556)"
13,T.NO-62,S,,DA,26,61-62,YES,326.7108814,1.72,41,,79.21527778,10.78930556,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21527777777779 10.789305555555556, 79.21738888888889 10.789027777777777)"
14,T.NO-63,S,,DA,29,62-63,YES,234.478144,2.29,40,,79.21738889,10.78902778,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21738888888889 10.789027777777777, 79.22 10.788722222222223)"
15,T.NO-64,T,,DB,27,63-64,YES,286.1485628,1.92,43,"0°00'00.00""",79.22,10.78872222,GOOD,GOOD,NO,,RIVER CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22 10.788722222222223, 79.22297222222223 10.788361111111112)"
16,T.NO-65,T,3W,DB,27,64-65,NO,328.6943869,2.63,41,"3°32'39.48""",79.22297222,10.78836111,GOOD,GOOD,NO,LT,"MUD ROAD, CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22297222222223 10.788361111111112, 79.22344444444445 10.788277777777777)"
17,T.NO-65A,GANTRY,,,20,65-65A,NO,52.95280918,-,42,,79.22344444,10.78827778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22344444444445 10.788277777777777, 79.22372222222222 10.78825)"
