S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,379,S,DC,26,,,16.45,7.55,5.1,39.4,58,,12.218504,79.608235,GOOD,,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.608235 12.218504, 79.609489 12.220934)"
2,378,S,DC,26,379 - 378,304,16.35,7.6,4.9,41.8,58,,12.220934,79.609489,GOOD,24F OPGW Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.609489 12.220934, 79.6103995107114 12.2225579246878)"
3,LILO : 1,T,DC,26,378 - LILO :1,205,15.35,7.25,3.7,47.1,57,,12.2225579246878,79.6103995107114,GOOD,NO E/W,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6103995107114 12.2225579246878, 79.6127279195934 12.2219729516655)"
4,2,S,DC,28,LILO : 1 - 2,262.96312765852815,,,,,56,,12.2219729516655,79.6127279195934,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6127279195934 12.2219729516655, 79.6149550750851 12.2214236855506)"
5,3,T,DC,28,2 - 3,251.3147271118749,15,6.75,3.5,43.3,55,0°28'9''RT,12.2214236855506,79.6149550750851,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6149550750851 12.2214236855506, 79.6174216177314 12.2207942046225)"
6,4,S,DC,28,3 - 4,278.7454967293844,,,,,53,,12.2207942046225,79.6174216177314,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6174216177314 12.2207942046225, 79.6199616696685 12.2201741114258)"
7,5,S,DC,28,4 - 5,286.2424982311663,,,,,52,,12.2201741114258,79.6199616696685,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6199616696685 12.2201741114258, 79.6222673635929 12.21957991831)"
8,6,S,DC,28,5 - 6,260.82710371672135,,,,,52,,12.21957991831,79.6222673635929,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6222673635929 12.21957991831, 79.624826 12.218946)"
9,7,S,DC,28,6 - 7,310.51524115777494,,,,,50,,12.218946,79.624826,GOOD,Available,,"ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.624826 12.218946, 79.6272687613964 12.2183753550052)"
10,8,T,DC,26,7 - 8,267.4940529711272,15.6,6,4.8,21.2,48,13°39'2''LT,12.2183753550052,79.6272687613964,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6272687613964 12.2183753550052, 79.6294562704861 12.2183862514793)"
11,9,S,DC,28,8 - 9,239.50545658416667,,,,,48,,12.2183862514793,79.6294562704861,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6294562704861 12.2183862514793, 79.6318274270743 12.2184251435101)"
12,10,S,DC,28,9 - 10,259.5189754818962,,,,,45,,12.2184251435101,79.6318274270743,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6318274270743 12.2184251435101, 79.6339597832411 12.2184267360717)"
13,11,S,DC,28,10 - 11,233.50133702110708,,,,,45,,12.2184267360717,79.6339597832411,GOOD,Available,HT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6339597832411 12.2184267360717, 79.6367901843041 12.2185130696743)"
14,12,T,DC,26,11 - 12,309.5965244611011,15.35,5.75,4.6,20.6,45,11°23'17''RT,12.2185130696743,79.6367901843041,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6367901843041 12.2185130696743, 79.638740401715 12.2181881871074)"
15,13,T,DC,26,12 - 13,216.7055968392937,11.25,20.85,0.8,21.4,45,39°55'51''RT,12.2181881871074,79.638740401715,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.638740401715 12.2181881871074, 79.6394875645637 12.2173263598233)"
16,14,T,DC,26,13 - 14,126.78158379478222,12.15,3.25,1.6,21.1,44,20°5'7''LT,12.2173263598233,79.6394875645637,GOOD,Available,,RAILWAY,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6394875645637 12.2173263598233, 79.6418950986117 12.2159887757152)"
17,15,S,DC,28,14 - 15,302.3364470104156,,,,,46,,12.2159887757152,79.6418950986117,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6418950986117 12.2159887757152, 79.6427332051098 12.2156403400003)"
18,16,T,DC,26,15 - 16,100.49701193818956,13.4,3.9,2.8,17.4,64,19°10'48''LT,12.2156403400003,79.6427332051098,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6427332051098 12.2156403400003, 79.6444341447204 12.215531207621)"
19,17,S,DC,28,16 - 17,186.95740765011132,,,,,44,,12.215531207621,79.6444341447204,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6444341447204 12.215531207621, 79.6466138586401 12.2152616456151)"
20,18,S,DC,28,17 - 18,240.52227040108644,,,,,43,,12.2152616456151,79.6466138586401,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6466138586401 12.2152616456151, 79.6496754325926 12.2150777466595)"
21,19,S,DC,28,18 - 19,335.2231005561733,,,,,44,,12.2150777466595,79.6496754325926,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6496754325926 12.2150777466595, 79.6527268644422 12.2150927502661)"
22,20,T,DC,26,19 - 20,333.50299746217485,13.4,4,2.8,19.2,44,11°11'16''RT,12.2150927502661,79.6527268644422,GOOD,Available,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6527268644422 12.2150927502661, 79.6551924850791 12.2146256268024)"
23,21,S,DC,28,20 - 21,274.6923489440839,,,,,44,,12.2146256268024,79.6551924850791,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6551924850791 12.2146256268024, 79.6562874969094 12.2143777739256)"
24,22,S,DC,28,21 - 22,123.75193549505262,,,,,45,,12.2143777739256,79.6562874969094,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6562874969094 12.2143777739256, 79.6575015317648 12.2142209485173)"
25,23,S,DC,28,22 - 23,134.72242387581852,,,,,49,,12.2142209485173,79.6575015317648,GOOD,Available,HT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6575015317648 12.2142209485173, 79.6596737857908 12.2135896235704)"
26,24,T,DC,26,23 - 24,247.94397172776195,13.9,4.95,3,28.2,44,87°7'18''LT,12.2135896235704,79.6596737857908,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6596737857908 12.2135896235704, 79.660417009145 12.2156726941466)"
27,25,T,DC,26,24 - 25,245.68393581451616,13.75,4.95,2.9,29.7,45,17°39'56''RT,12.2156726941466,79.660417009145,GOOD,Available,"LT, 2HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.660417009145 12.2156726941466, 79.6611749008297 12.2166618425399)"
28,26,T,DC,26,25 - 26,138.50243400369055,15.15,26.65,0,99.6,44,61°55'5''RT,12.2166618425399,79.6611749008297,GOOD,Available,"2LT, HT",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6611749008297 12.2166618425399, 79.6615152060985 12.216609288007)"
29,"Gantry 
( Tindivanam SS )",T,H-POLE,15,26 - Gantry ,38.97873656688729,,,,,47,,12.216609288007,79.6615152060985,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
