Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
163 lilo,LILO,26,,,,103.836777,,10.972352442243311,78.4858751291592,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4858751291592 10.972352442243311, 78.48852412718456 10.972112436003547)"
162,SA,26,163LILO-162,290.899224242703,3.22,93.818062,,10.972112436003547,78.48852412718456,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48852412718456 10.972112436003547, 78.49117812421511 10.971807442456573)"
161,SA,26,162-161,292.186622546207,1.55,97.650345,,10.971807442456573,78.49117812421511,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49117812421511 10.971807442456573, 78.49370012186482 10.971536442663124)"
160,SA,26,161-160,277.421179738253,1.98,106.761299,,10.971536442663124,78.49370012186482,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49370012186482 10.971536442663124, 78.49642111953924 10.971244440242875)"
159,SA,26,160-159,299.306441534904,0.54,107.370117,,10.971244440242875,78.49642111953924,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49642111953924 10.971244440242875, 78.49899311757568 10.971005440510302)"
158,SA,26,159-158,282.503424740814,4.18,107.517265,,10.971005440510302,78.49899311757568,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49899311757568 10.971005440510302, 78.50140711480617 10.970761444001704)"
157,SA,26,158-157,265.361413766498,3.71,108.323509,,10.970761444001704,78.50140711480617,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50140711480617 10.970761444001704, 78.50371811268973 10.970537438209258)"
156,SA,26,157-156,253.933145877737,7.12,107.111244,,10.970537438209258,78.50371811268973,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50371811268973 10.970537438209258, 78.50573411120513 10.970321443506288)"
155,SA,26,156-155,221.752322406089,6.1,107.489861,,10.970321443506288,78.50573411120513,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50573411120513 10.970321443506288, 78.50780510869636 10.970110439080683)"
154,SA,26,155-154,227.675136472124,5.67,110.065819,,10.970110439080683,78.50780510869636,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50780510869636 10.970110439080683, 78.50968710685358 10.96994544012377)"
153,SB,24,154-153,206.614665671197,8.91,109.912941,"6°31'42""LT",10.96994544012377,78.50968710685358,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50968710685358 10.96994544012377, 78.5121741051521 10.969976439804848)"
152,SA,26,153-152,271.98726403104,6.59,107.46962,,10.969976439804848,78.5121741051521,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5121741051521 10.969976439804848, 78.51481510238447 10.970036443924391)"
