Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
EV.NATHAM GANTRY,T,T,20,,,,,146,,11.74606109079124,78.91965708423167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91965708423167 11.74606109079124, 78.9192387939022 11.746170258842321)"
104,SB,T,24,GANTRY to 104,,47,3.01,149.1,,11.746170258842321,78.9192387939022,good,good,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9192387939022 11.746170258842321, 78.91752179511617 11.74572526067352)"
103,SD,T,28,104-103,,193.5702,18.85,145.93,"67d46'17""LT",11.74572526067352,78.91752179511617,good,good,"LT-2,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91752179511617 11.74572526067352, 78.91726179516876 11.743777258524885)"
102/1 lilo,DB,T,24,103-102,,217.3959,9.15,148.3," 9d10'35""RT",11.743777258524885,78.91726179516876,good,good,LT-1,,PLAIN,KALLAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91726179516876 11.743777258524885, 78.91701779576249 11.74297425708643)"
101A,DB,T,24,102-101A,,92.7567,13.22,147.94,"11d38'8""RT",11.74297425708643,78.91701779576249,good,good,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91701779576249 11.74297425708643, 78.91580134774549 11.740748445475718)"
101,DA,S,26,101A-101,,92.7567,14.25,145.42,,11.740748445475718,78.91580134774549,good,good,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91580134774549 11.740748445475718, 78.91448360652161 11.738337251603644)"
100,DA,S,26,101-100,,302.9616,,145,,11.738337251603644,78.91448360652161,good,good,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91448360652161 11.738337251603644, 78.91315253554274 11.735901627320683)"
99,DA,S,26,100-99,,306.0111,6.85,146.22,,11.735901627320683,78.91315253554274,good,good,LT-2,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91315253554274 11.735901627320683, 78.91191179866236 11.733631261484952)"
98,DB,T,24,99-98,,285.3196,13.15,145.51," 12d0'58""RT",11.733631261484952,78.91191179866236,good,good,"HT-1,LT-2",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91191179866236 11.733631261484952, 78.90995925575291 11.731364016926852)"
97,DA,S,26,98-97,,329.018,,139.11,,11.731364016926852,78.90995925575291,good,good,,,PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90995925575291 11.731364016926852, 78.90806119452296 11.72915584807024)"
