S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV VEPPUR SS,T,GT,15,,,,94,,11.539117177951459,79.12698708040666,GOOD,MISSING,,,,110KV VEPPUR SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12698708040666 11.539117177951459, 79.12692938622503 11.539523569910552)"
2,T.NO 147,T,DD,28,GT-147,45.3982378512647,5.03,93,"38°16'9""",11.539523569910552,79.12692938622503,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12692938622503 11.539523569910552, 79.1259977423035 11.540403399548525)"
3,T.NO 146,T,DD,28,147-146,140.730238399571,6.1,80,"35°58'17""",11.540403399548525,79.1259977423035,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1259977423035 11.540403399548525, 79.12318077538863 11.540837161677546)"
4,T.NO 145,S,DA,26,146-145,311.045012819688,5.82,81,,11.540837161677546,79.12318077538863,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12318077538863 11.540837161677546, 79.12025411293969 11.541224988986068)"
5,T.NO 144,S,DA,26,145-144,322.158346159152,4.08,79,,11.541224988986068,79.12025411293969,GOOD,GOOD,HT-1 LT-3,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12025411293969 11.541224988986068, 79.11730899452665 11.541630744139894)"
6,T.NO 143,S,DA,26,144-143,324.422563950167,5.91,83,,11.541630744139894,79.11730899452665,GOOD,GOOD,HT-1  ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11730899452665 11.541630744139894, 79.11429971035258 11.54203605125849)"
7,T.NO 142,S,DA,26,143-142,331.350267843562,3.87,83,,11.54203605125849,79.11429971035258,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11429971035258 11.54203605125849, 79.11122620000137 11.542449947033157)"
8,T.NO 141,S,DA,26,142-141,338.421335024847,4.92,85,,11.542449947033157,79.11122620000137,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11122620000137 11.542449947033157, 79.10824452747373 11.54283729007168)"
9,T.NO 140,S,DA,26,141-140,328.100594330458,4.53,84,,11.54283729007168,79.10824452747373,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10824452747373 11.54283729007168, 79.10527201761349 11.543224660998593)"
10,T.NO 139,S,DA,26,140-139,327.110073216952,5.93,89,,11.543224660998593,79.10527201761349,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10527201761349 11.543224660998593, 79.10224432617699 11.543638756632644)"
11,T.NO 138,S,DA,26,139-138,333.472637558166,4.13,87,,11.543638756632644,79.10224432617699,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10224432617699 11.543638756632644, 79.09927180940875 11.544026063418446)"
12,T.NO 137,S,DA,26,138-137,327.110073216952,4.18,90,,11.544026063418446,79.09927180940875,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09927180940875 11.544026063418446, 79.09617988767845 11.544448711410254)"
