S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV VEPPUR SS,T,2W,GT,15,,,,83,,11.53925099,79.1267112,GOOD,MISSING,,,PLAIN,110KV VEPPUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12671120171076 11.539250986193348, 79.1260963615936 11.539355489045342)"
2,T.NO 1,T,,DB,24,GT-1,68.0661443,3.87,80,"12°37'21""",11.53935549,79.12609636,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1260963615936 11.539355489045342, 79.12454761264085 11.53930029321407)"
3,T.NO 2,S,,DA,26,01-Feb,169.0739483,4.31,82,,11.53930029,79.12454761,GOOD,GOOD,HT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12454761264085 11.53930029321407, 79.12290750652045 11.539199302667207)"
4,T.NO 3,T,,DD,28,02-Mar,179.279112,5.36,82,"52°56'52""",11.5391993,79.12290751,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12290750652045 11.539199302667207, 79.12189976526992 11.537737477974122)"
5,T.NO 4,T,,DD,28,03-Apr,195.5556187,4.88,82,"59°54'19""",11.53773748,79.12189977,GOOD,GOOD,HT-3,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12189976526992 11.537737477974122, 79.11957940956691 11.537930362263598)"
6,T.NO 5,S,,DD,28,04-May,254.0433034,3.86,85,,11.53793036,79.11957941,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11957940956691 11.537930362263598, 79.11735107412287 11.538069589188142)"
7,T.NO 6,S,,DA,26,05-Jun,243.5939244,3.03,80,,11.53806959,79.11735107,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11735107412287 11.538069589188142, 79.11524189567041 11.538209572109924)"
8,T.NO 7,T,,DC,26,06-Jul,230.6274051,4.01,81,"27°1'14""",11.53820957,79.1152419,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11524189567041 11.538209572109924, 79.11280155400567 11.537154221218096)"
9,T.NO 8,S,,DA,26,07-Aug,290.7129168,5.13,85,,11.53715422,79.11280155,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11280155400567 11.537154221218096, 79.1101961886326 11.5361068177969)"
10,T.NO 9,T,,DC,26,08-Sep,306.954394,4.99,79,"26°17'13""",11.53610682,79.11019619,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1101961886326 11.5361068177969, 79.10850436737216 11.534152393777855)"
11,T.NO 10,S,,DA,26,09-Oct,284.2903445,3.42,82,,11.53415239,79.10850437,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10850436737216 11.534152393777855, 79.1069033774356 11.532325102644664)"
12,T.NO 11,S,,DA,26,10-Nov,267.1647432,5.32,87,,11.5323251,79.10690338,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1069033774356 11.532325102644664, 79.10538471612745 11.53052545976297)"
13,T.NO 12,S,,DA,26,11-Dec,259.023165,6.17,89,,11.53052546,79.10538472,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10538471612745 11.53052545976297, 79.10378328075679 11.528770467029608)"
14,T.NO 13,S,,DA,26,Dec-13,261.1991577,4.87,93,,11.52877047,79.10378328,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10378328075679 11.528770467029608, 79.10243698050367 11.527243111472961)"
15,T.NO 14,T,2W,DC,26,13-14,223.8928315,6.03,88,"28°49'6""",11.52724311,79.10243698,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10243698050367 11.527243111472961, 79.1002151219404 11.526433156979662)"
16,T.NO 15,S,,DA,26,14-15,258.4434174,4.37,87,,11.52643316,79.10021512,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1002151219404 11.526433156979662, 79.0976824462974 11.525503645431598)"
17,T.NO 16,S,,DA,26,15-16,294.8389391,3.97,90,,11.52550365,79.09768245,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0976824462974 11.525503645431598, 79.09512241622376 11.524555856886673)"
18,T.NO 17,S,,DA,26,16-17,298.3437615,5.88,89,,11.52455586,79.09512242,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09512241622376 11.524555856886673, 79.09248914517313 11.523598528708131)"
19,T.NO 18,T,,DC,26,17-18,306.2025473,3.44,92,"17°59'55""",11.52359853,79.09248915,GOOD,GOOD,HT-1,ROAD-1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09248914517313 11.523598528708131, 79.09073856605565 11.522231181482617)"
20,T.NO 19,T,,DD,28,18-19,243.6472861,4.2,92,"47°52'25""",11.52223118,79.09073857,GOOD,GOOD,,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09073856605565 11.522231181482617, 79.0906803291546 11.52135401236789)"
21,T.NO 20,T,,DB,24,19-20,97.25224933,4.23,92,"4°43'9""",11.52135401,79.09068033,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0906803291546 11.52135401236789, 79.09032940595024 11.519028675289508)"
22,T.NO 21,T,,DB,24,20-21,260.0942137,3.13,90,"9°14'53""",11.51902868,79.09032941,GOOD,GOOD,230KV CROSSING ABOVE,,CULTIVACTION,TAQA-DEVIYAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09032940595024 11.519028675289508, 79.08952114862272 11.516564749428674)"
23,T.NO 22,S,,DA,26,21-22,286.5030541,4.18,89,,11.51656475,79.08952115,GOOD,GOOD,LT-1,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08952114862272 11.516564749428674, 79.08875823864902 11.514173433256166)"
24,T.NO 23,S,,DA,26,22-23,277.3463539,4.55,90,,11.51417343,79.08875824,GOOD,GOOD,HT-1 LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08875823864902 11.514173433256166, 79.08794053250574 11.511754639564433)"
25,T.NO 24,S,,DA,26,23-24,282.0815485,5.81,94,,11.51175464,79.08794053,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08794053250574 11.511754639564433, 79.08711507723227 11.509127896788307)"
26,T.NO 25,S,,DA,26,24-25,304.2433237,4.43,85,,11.5091279,79.08711508,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08711507723227 11.509127896788307, 79.08676510241685 11.508022835308514)"
27,T.NO 26,T,2W,DD,28,25-26,128.082005,5.03,82,"36°38'18""",11.50802284,79.0867651,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08676510241685 11.508022835308514, 79.0843846002702 11.506307844296433)"
28,T.NO 27,S,,DA,26,26-27,321.6597581,5.68,91,,11.50630784,79.0843846,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0843846002702 11.506307844296433, 79.08238708392332 11.504884608810718)"
29,T.NO 28,S,,DA,26,27-28,268.8810146,7.15,89,,11.50488461,79.08238708,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08238708392332 11.504884608810718, 79.07993381116232 11.50309679794026)"
30,T.NO 29,S,,DA,26,28-29,332.8317893,4.78,89,,11.5030968,79.07993381,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07993381116232 11.50309679794026, 79.07767155313775 11.50152716740788)"
31,T.NO 30,S,,DA,26,29-30,301.8078859,6.42,90,,11.50152717,79.07767155,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07767155313775 11.50152716740788, 79.07540932166334 11.499957523151926)"
32,T.NO 31,S,,DA,26,30-31,301.8078859,5.22,94,,11.49995752,79.07540932,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07540932166334 11.499957523151926, 79.07314711673723 11.49838786517984)"
33,T.NO 32,S,,DA,26,31-32,301.8078859,4.9,99,,11.49838787,79.07314712,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07314711673723 11.49838786517984, 79.07137765799263 11.497137818990678)"
34,T.NO 33,T,,DC,26,32-33,237.4973684,5.68,102,"27°0'8""",11.49713782,79.07137766,GOOD,GOOD,LT-2,MUD ROAD-1 THAR ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07137765799263 11.497137818990678, 79.06858537753689 11.496703530127226)"
35,T.NO 34,S,,DA,26,33-34,308.4493475,3.85,103,,11.49670353,79.06858538,GOOD,GOOD,"LT-1 ,760KV",,PLAIN,KALLIYUR - PUGALURPATTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06858537753689 11.496703530127226, 79.06573800105753 11.496286927869315)"
36,T.NO 35,S,,DA,26,34-35,314.0971187,7.05,102,,11.49628693,79.065738,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06573800105753 11.496286927869315, 79.06306469606031 11.49588049514159)"
37,T.NO 36,S,,DA,26,35-36,295.1491149,6.88,100,,11.4958805,79.0630647,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06306469606031 11.49588049514159, 79.06047369499534 11.495501703580338)"
38,T.NO 37,T,,DD,28,36-37,285.8128758,3.58,99,"89°19'48""",11.4955017,79.06047369,GOOD,GOOD,LT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06047369499534 11.495501703580338, 79.06049295110572 11.495366248190635)"
39,DP1,T,,DP,15,37-DP1,15.13274595,,99,,11.49536625,79.06049295,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06049295110572 11.495366248190635, 79.06021306700445 11.494749739705657)"
40,DP2,T,,DP,15,DP1-DP2,74.73285757,,100,,11.49474974,79.06021307,GOOD,MISSING,400 KV CROSSING ABOVE,,PLAIN,SALEM - NEYVELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06021306700445 11.494749739705657, 79.05981479224477 11.494023976102891)"
41,T.NO 38,T,2W,DB,24,DP2-38,91.30169768,6.15,99,"16°13'3""",11.49402398,79.05981479,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05981479224477 11.494023976102891, 79.0596281603068 11.493173076812317)"
42,DP1,T,,DP,15,38-DP1,96.31718434,,100,,11.49317308,79.05962816,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0596281603068 11.493173076812317, 79.05968710399469 11.492594979544904)"
