S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 118 CHINNASALEM LILO,T,3W,DC,26,,,,108,"83°22'37""",11.54821852,79.04327361,GOOD,GOOD,,,PLAIN,CHINNASALEM LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04327361243894 11.548218517853055, 79.04021694007695 11.548839639169485)"
2,T.NO 117,S,,DA,26,118-117,340.4849483,4.67,109,,11.54883964,79.04021694,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04021694007695 11.548839639169485, 79.037352993271 11.549425875018184)"
3,T.NO 116,S,,DA,26,117-116,319.1128327,4.31,107,,11.54942588,79.03735299,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.037352993271 11.549425875018184, 79.03455307392093 11.550030591975522)"
4,T.NO 115,S,,DA,26,116-115,312.7075311,3.97,109,,11.55003059,79.03455307,GOOD,GOOD,HT-1 ,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03455307392093 11.550030591975522, 79.03167969406778 11.55065285893933)"
5,T.NO 114,S,,DA,26,115-114,320.9517098,4.21,111,,11.55065286,79.03167969,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03167969406778 11.55065285893933, 79.02867773167002 11.55131037635369)"
6,T.NO 113,S,,DA,26,114-113,335.4906854,5.21,114,,11.55131038,79.02867773,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02867773167002 11.55131037635369, 79.02576767174646 11.551932331205025)"
7,T.NO 112,S,,DA,26,113-112,324.8538133,4.77,110,,11.55193233,79.02576767,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02576767174646 11.551932331205025, 79.02304123739948 11.552510313104)"
8,T.NO 111,S,,DA,26,112-111,304.2449671,4.68,113,,11.55251031,79.02304124,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02304123739948 11.552510313104, 79.0202965277508 11.553079104118892)"
9,T.NO 110,S,,DA,26,111-110,305.9836597,4.31,113,,11.5530791,79.02029653,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0202965277508 11.553079104118892, 79.01750572777723 11.553683706885742)"
10,T.NO 109,S,,DA,26,110-109,311.7322569,3.91,113,,11.55368371,79.01750573,GOOD,GOOD,LT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01750572777723 11.553683706885742, 79.01480683326389 11.554252755463377)"
11,T.NO 108,S,,DA,26,109-108,301.0996513,3.87,116,,11.55425276,79.01480683,GOOD,GOOD,LT-1,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01480683326389 11.554252755463377, 79.01221792222537 11.554822531121093)"
12,T.NO 107,S,,DA,26,108-107,289.3941948,4.11,114,,11.55482253,79.01221792,GOOD,GOOD,LT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01221792222537 11.554822531121093, 79.00913340962593 11.555479265588037)"
13,T.NO 106,S,,DA,26,107-106,344.2687903,4.37,115,,11.55547927,79.00913341,GOOD,GOOD,LT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00913340962593 11.555479265588037, 79.00627835427736 11.556092349838195)"
14,T.NO 105,T,2W,DB,24,106-105,318.7804887,3.87,112,"4°0'39""",11.55609235,79.00627835,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00627835427736 11.556092349838195, 79.00367903939598 11.55683370521523)"
15,T.NO 104,S,,DA,26,105-104,295.2033198,4.31,110,,11.55683371,79.00367904,GOOD,GOOD,HT-1 LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00367903939598 11.55683370521523, 79.00101542507014 11.557592668811555)"
16,T.NO 103,S,,DA,26,104-103,302.4830574,5.1,116,,11.55759267,79.00101543,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00101542507014 11.557592668811555, 78.99797542070239 11.558430353304987)"
17,T.NO 102,S,,DA,26,103-102,344.3631804,4.27,118,,11.55843035,78.99797542,GOOD,GOOD,LT-1 HT-1,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99797542070239 11.558430353304987, 78.995302425346 11.559216310218194)"
