S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 205 M.PARAUR LILO,T,3W,GT,28,,,,62,,11.5544504,79.29291342,GOOD,GOOD,,,,M.PARUR LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29291342149789 11.554450400563653, 79.29272832399542 11.55473858939522)"
2,T.NO 1,T,,DB,24,205-1,37.73592453,1.05,62,"8°11'41""",11.55473859,79.29272832,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29272832399542 11.55473858939522, 79.29106653801583 11.55665430939286)"
3,T.NO 2,S,,DA,26,2-Jan,278.8709379,2.35,55,,11.55665431,79.29106654,GOOD,GOOD,HT-1 LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29106653801583 11.55665430939286, 79.28951616418581 11.558335635598493)"
4,T.NO 3,S,,DA,26,3-Feb,251.3821792,4.85,57,,11.55833564,79.28951616,GOOD,GOOD,,MUD ROAD -1 CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28951616418581 11.558335635598493, 79.28851878357924 11.55953206012042)"
5,T.NO 4,T,,DC,26,4-Mar,171.3271724,6.15,64,"15°21'16""",11.55953206,79.28851878,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28851878357924 11.55953206012042, 79.28687077779571 11.56067943568581)"
6,T.NO 5,S,,DA,26,5-Apr,220.0568108,6.95,65,,11.56067944,79.28687078,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28687077779571 11.56067943568581, 79.28527842438596 11.56171865023997)"
7,T.NO 6,S,,DA,26,6-May,208.2906623,5.13,66,`,11.56171865,79.28527842,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28527842438596 11.56171865023997, 79.28329020391908 11.563026706829826)"
8,T.NO 7,T,,DB,24,7-Jun,260.7144031,4.78,69,"4°27'42""",11.56302671,79.2832902,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28329020391908 11.563026706829826, 79.28065013084955 11.564484558266749)"
9,T.NO 8,T,,DB,24,8-Jul,330.0575707,5.23,77,"14°33'49""",11.56448456,79.28065013,GOOD,GOOD,HT-1 LT-1,MUD ROAD  -1 ,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28065013084955 11.564484558266749, 79.2786667328232 11.564997096080752)"
10,T.NO 9,S,,DA,26,9-Aug,223.6515146,6.38,78,,11.5649971,79.27866673,GOOD,GOOD,LT-2,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2786667328232 11.564997096080752, 79.27629773771541 11.565597724319888)"
11,T.NO 10,S,,DA,26,10-Sep,266.8107944,7.7,78,,11.56559772,79.27629774,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27629773771541 11.565597724319888, 79.27420409534305 11.56614573289456)"
12,T.NO 11,S,,DA,26,11-Oct,236.2794955,6.15,86,,11.56614573,79.2742041,GOOD,GOOD,HT-3,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27420409534305 11.56614573289456, 79.2718077496318 11.566719039209568)"
13,T.NO 12,S,,DA,26,12-Nov,268.9721175,5.72,90,,11.56671904,79.27180775,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2718077496318 11.566719039209568, 79.26926482625794 11.567273368970717)"
14,T.NO 13,S,,DA,26,13-Dec,284.073934,5.4,93,,11.56727337,79.26926483,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26926482625794 11.567273368970717, 79.26730034553819 11.567686498097476)"
