S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO SRIRANGAM,T ,30,,YES,,,,,78.66977777777778,10.865777777777778,GOOD,GOOD,NO,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66977777777778 10.865777777777778, 78.67011111111111 10.866722222222222)"
2,T.NO.1DC,T,30, LILO-1,YES,112.00892821556681,-,75,"00°00'00.0""",78.67011111111111,10.866722222222222,GOOD,GOOD,NO,,MUD ROAD & TAAR ROAD ,WATER LOGGED AREA,"(2 EARTH WIRE) 1 E/W CONTINUE TO OUR TOWER,  ANOTHER E/W CONNECT TO SRIRANGAM 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67011111111111 10.866722222222222, 78.67075 10.869222222222223)"
3,T.NO.2DC,S,32,1-2',YES,285.9545418418809,,70,,78.67075,10.869222222222223,,,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67075 10.869222222222223, 78.67136111111111 10.871805555555556)"
4,T.NO.3DC,T,27,2-3,YES,292.2618688778952,2.27,69,"1°48'10""",78.67136111111111,10.871805555555556,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67136111111111 10.871805555555556, 78.67180555555557 10.874)"
5,T.NO.4DC,S,32,3-4,YES,248.29418035870273,2.26,68,,78.67180555555557,10.874,GOOD,GOOD,NO,11 KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67180555555557 10.874, 78.67238888888889 10.875833333333334)"
6,T.NO.5DC,T,39,4-5,NO,212.5088233462319,1.97,71,"4°31'24""",78.67238888888889,10.875833333333334,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67238888888889 10.875833333333334, 78.67269444444445 10.87713888888889)"
7,T.NO.6DC,S,41,5-6,NO,149.164338901763,2.17,72,,78.67269444444445,10.87713888888889,GOOD,GOOD,NO,,RIVER,,"(2 EARTH WIRE) 1 E/W CONTINUE TO OUR TOWER,  ANOTHER E/W CONNECT TO T.KOVIL 110KV TOWER, PILE FOUNDATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67269444444445 10.87713888888889, 78.6735 10.88075)"
8,T.NO.7DC,S,41,6-7,NO,408.0490166634396,1.27,69,,78.6735,10.88075,GOOD,GOOD,NO,,RIVER,WATER LOGGED AREA,PILE FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6735 10.88075, 78.67402777777778 10.882861111111112)"
9,T.NO.8DC,S,41,7-8,YES,242.78797334299736,-,70,,78.67402777777778,10.882861111111112,GOOD,GOOD,NO,,RIVER,WATER LOGGED AREA,PILE FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67402777777778 10.882861111111112, 78.67427777777779 10.883777777777777)"
10,T.NO.9DC,T,27,8-9,YES,103.58088626768937,2.27,73,"2°1'6.5""",78.67427777777779,10.883777777777777,GOOD,GOOD,NO,11 KV,"RIVER, TAAR ROAD(TRICHY - NAMAKKAL)",,"CANAL.BUSHES, PILE FOUNNDATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67427777777779 10.883777777777777, 78.67472222222223 10.885222222222222)"
11,T.NO.10DC,S,29,9-10,NO,166.37908522407497,3.27,71,,78.67472222222223,10.885222222222222,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67472222222223 10.885222222222222, 78.67538888888889 10.887222222222222)"
12,T.NO.11DC,T,27,10-11,NO,234.00854685246006,2.73,73,"2°33'49.6""",78.67538888888889,10.887222222222222,GOOD,GOOD,NO,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67538888888889 10.887222222222222, 78.6763888888889 10.889916666666666)"
13,T.NO.12DC,T,24,11-12,YES,318.1273329973393,2.27,70,"00°00'00.0""",78.6763888888889,10.889916666666666,GOOD,GOOD,NO,LT,TAAR ROAD -2,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6763888888889 10.889916666666666, 78.67733333333334 10.892388888888888)"
14,T.NO.13DC,S,26,12-13,NO,290.84875794818174,2.77,71,,78.67733333333334,10.892388888888888,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67733333333334 10.892388888888888, 78.67819444444444 10.894916666666667)"
15,T.NO.14DC,S,29,13-14,NO,296.0439156611735,2.1,71,,78.67819444444444,10.894916666666667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67819444444444 10.894916666666667, 78.67869444444445 10.896333333333333)"
16,T.NO.15DC,T,24,14-15,NO,166.68833192518306,3.11,71,"00°00'00.0""",78.67869444444445,10.896333333333333,GOOD,GOOD,NO,LT,MUD ROAD & TAAR ROAD ,CULTIVATION LAND,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67869444444445 10.896333333333333, 78.67961111111111 10.898944444444444)"
17,T.NO.16DC,S,26,15-16,NO,305.19665791092797,3.12,69,,78.67961111111111,10.898944444444444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67961111111111 10.898944444444444, 78.68050000000001 10.901388888888889)"
18,T.NO.17DC,S,26,16-17,NOI,288.5168972521367,2.5,71,,78.68050000000001,10.901388888888889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68050000000001 10.901388888888889, 78.68138888888889 10.903861111111112)"
19,T.NO.18DC,S,26,17-18,NO,288.5168972521367,2.17,71,,78.68138888888889,10.903861111111112,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68138888888889 10.903861111111112, 78.68225000000001 10.906333333333334)"
