S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY VADAKUTHU ,GANTRY,T,2W,20,,,,,43.15,,11.58837929,79.55331549,GOOD,GOOD,,,PLAIN,VADAKUTHU,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55331548855963 11.58837929396175, 79.55358048849217 11.588492293544041)"
2,70,SD,T,,28,GT-70,,0.002640776,0.2,44.1,"65d36'55""LT",11.58849229,79.55358049,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55358048849217 11.588492293544041, 79.55358348813445 11.588662297069321)"
3,69,SD,T,,28,70-69,,0.002618045,0.35,47," 41d21'59""RT",11.5886623,79.55358349,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55358348813445 11.588662297069321, 79.554840487574 11.590021292913871)"
4,68,SB,T,,24,69-68,,0.00252242,2.4,47.78," 4d36'18""RT",11.59002129,79.55484049,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.554840487574 11.590021292913871, 79.55631048715698 11.591394294798334)"
5,67,SA,S,,26,68-67,,0.002523486,,46.56,,11.59139429,79.55631049,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55631048715698 11.591394294798334, 79.55796148709544 11.59291129440392)"
6,66,SA,S,,26,67-66,,0.002550448,1.5,42.87,,11.59291129,79.55796149,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55796148709544 11.59291129440392, 79.55989748610531 11.594707292195377)"
7,65,SA,S,,26,66-65,,0.002464268,0.8,45.5,,11.59470729,79.55989749,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55989748610531 11.594707292195377, 79.56183748534305 11.59646529113494)"
8,64,SA,S,,26,65-64,,0.002741468,2.23,47.01,,11.59646529,79.56183749,GOOD,GOOD,HT1,R0AD2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56183748534305 11.59646529113494, 79.56369548465429 11.598171293102574)"
9,63,SC,T,,26,64-63,,0.002921344,3.48,51.68," 18d4'4""LT",11.59817129,79.56369548,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56369548465429 11.598171293102574, 79.56494748419482 11.600362292494987)"
10,62,SA,S,,26,63-62,,0.002718279,5.1,47.7,,11.60036229,79.56494748,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56494748419482 11.600362292494987, 79.56617248323246 11.602599290679127)"
11,61,SA,S,,26,62-61,,0.002649541,4.8,51.72,,11.60259929,79.56617248,GOOD,GOOD,LT1,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56617248323246 11.602599290679127, 79.56737848332136 11.60474828546476)"
12,60,SD,T,2W,28,61-60,,0.002371138,2.61,54.35," 48d56'41""LT",11.60474829,79.56737848,GOOD,GOOD,LT1,ROAD1,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56737848332136 11.60474828546476, 79.56644048306576 11.607324290699552)"
13,59,SA,S,,26,60-59,,0.00271207,7.15,54.9,,11.60732429,79.56644048,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56644048306576 11.607324290699552, 79.5654164837634 11.61006028692184)"
14,58,SA,S,,26,59-58,,0.002634872,6.5,56.31,,11.61006029,79.56541648,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5654164837634 11.61006028692184, 79.56446148417541 11.612605285090721)"
15,57,SA,S,,26,58-57,,0.002657374,8.2,60.7,,11.61260529,79.56446148,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56446148417541 11.612605285090721, 79.56355048448688 11.615093285255274)"
16,56,SA,S,,26,57-56,,0.002583162,8.75,62.52,,11.61509329,79.56355048,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56355048448688 11.615093285255274, 79.56271748468309 11.617313286834477)"
17,55,SA,S,,26,56-55,,0.002566921,7.25,63.5,,11.61731329,79.56271748,GOOD,GOOD,LT1,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56271748468309 11.617313286834477, 79.56178848533435 11.619861282980343)"
18,54,SA,S,,26,55-54,,0.002781407,5.72,66.49,,11.61986128,79.56178849,GOOD,GOOD,LT3,ROAD2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56178848533435 11.619861282980343, 79.56087648549436 11.622333287739256)"
19,53,SA,S,,26,54-53,,0.002642508,5.1,73.87,,11.62233329,79.56087649,GOOD,GOOD,LT4,"CARTRACK2,ROAD3",PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56087648549436 11.622333287739256, 79.55992448584236 11.624814282317255)"
20,52,SA,S,,26,53-52,,0.002645737,8.3,71.98,,11.62481428,79.55992449,GOOD,GOOD,LT4,ROAD5,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55992448584236 11.624814282317255, 79.55903448651587 11.627239283140351)"
21,51,SA,S,,26,52-51,,0.002638803,7.55,72.32,,11.62723928,79.55903449,GOOD,GOOD,LT3,CAR TRACK2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55903448651587 11.627239283140351, 79.55815348714138 11.62965028346446)"
22,50,SC,T,,26,51-50,,0.002247319,8.05,74.47,"24d47'56""LT",11.62965028,79.55815349,GOOD,GOOD,,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55815348714138 11.62965028346446, 79.55615548796249 11.631585283738735)"
23,49,SA,S,,26,50-49,,0.002548326,7.78,78.33,,11.63158528,79.55615549,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55615548796249 11.631585283738735, 79.55427548824106 11.633442283824035)"
24,48,SA,S,,26,49-48,,0.002463132,6.93,76.82,,11.63344228,79.55427549,GOOD,GOOD,,CAR TRACK1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55427548824106 11.633442283824035, 79.55237048938227 11.63527828549177)"
25,47,SA,S,,26,48-47,,0.00250872,,80.54,,11.63527829,79.55237049,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55237048938227 11.63527828549177, 79.55054448937408 11.637183280668157)"
26,46,SD,T,2W,28,47-46,,0.002691821,7.35,83.23," 50d24'25""LT",11.63718328,79.55054449,GOOD,GOOD,LT3,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55054448937408 11.637183280668157, 79.548309491086 11.636948281774385)"
27,45,SA,S,,26,46-45,,0.002445734,5.4,78.65,,11.63694828,79.54830949,GOOD,GOOD,"HT3,LT2",ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.548309491086 11.636948281774385, 79.54577249170711 11.636708278993513)"
