Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Semmankuppam Gantry,GANTRY,T,2W,20,,,,,13.82152,,11.65516928,79.74032542,GOOD,GOOD,,,PLAIN,S/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74032541877592 11.655169278219185, 79.74014041820195 11.655281279935505)"
1,SD,T,,28,Gantry -1,,0.001865388,0.3,13.860517,"101d10'39""LT",11.65528128,79.74014042,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74014041820195 11.655281279935505, 79.7396414183654 11.653957277918042)"
2,SB,T,,24,2-Jan,,0.001693312,5.12,16.586784," 2d23'28""RT",11.65395728,79.73964142,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7396414183654 11.653957277918042, 79.73867141893382 11.651708273522466)"
3,SA,S,,26,3-Feb,,0.000896741,8,17.729481,,11.65170827,79.73867142,GOOD,GOOD,LT-2,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73867141893382 11.651708273522466, 79.73794441886913 11.649972276096646)"
4,SD,T,,28,4-Mar,,0.00180883,4.22,17.694914," 34d33'32""RT",11.64997228,79.73794442,GOOD,GOOD,"LT-2,HT-2",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73794441886913 11.649972276096646, 79.73655541997152 11.6490942753122)"
5,SA,S,,26,5-Apr,,0.001989896,7.35,17.656754,,11.64909428,79.73655542,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73655541997152 11.6490942753122, 79.73495542052231 11.648135278246526)"
6,SB,T,,24,6-May,,0.001999765,8.43,17.501556,"3d36'45""RT",11.64813528,79.73495542,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73495542052231 11.648135278246526, 79.73345142086123 11.647357273910046)"
7,SD,T,,28,7-Jun,,0.002253777,6.18,17.191811,"47d42'4""RT",11.64735727,79.73345142,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73345142086123 11.647357273910046, 79.73260742163282 11.647660276172383)"
8,SD,T,,28,8-Jul,,0.002263934,4.1,19.04023,"61d48'42""LT",11.64766028,79.73260742,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73260742163282 11.647660276172383, 79.7312504216648 11.646464275032717)"
9,SD,T,,28,9-Aug,,0.002128567,5.66,16.384647,"32d3'21""LT",11.64646428,79.73125042,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7312504216648 11.646464275032717, 79.73068542144321 11.644556275583755)"
