Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY B.MUTLUR,GANTRY,T,20,,,,,15.267303,,11.483655316954891,79.71605842689054,GOOD,GOOD,,,PLAIN,GANTRY B.MUTLUR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71605842689054 11.483655316954891, 79.7160694267234 11.483369316000386)"
1,SD,T,28,GANTRY -1,,=SQRT((K8-K7)^2+(L8-L7)^2),1.05,17.094387," 73d45'22""LT",11.483369316000386,79.7160694267234,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7160694267234 11.483369316000386, 79.71832642644347 11.482811318271096)"
2,SD,T,28,1-2,,=SQRT((K9-K8)^2+(L9-L8)^2),3.15,16.536732," 40d53'52""RT",11.482811318271096,79.71832642644347,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71832642644347 11.482811318271096, 79.71974642583255 11.480813314768891)"
3,SD,T,28,2-3,,=SQRT((K10-K9)^2+(L10-L9)^2),4.1,17.450066," 51d52'44""RT",11.480813314768891,79.71974642583255,GOOD,GOOD,HT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71974642583255 11.480813314768891, 79.71902242569028 11.478455319670887)"
4,SD,T,28,3-4,,=SQRT((K11-K10)^2+(L11-L10)^2),3.8,16.219358," 60d18'30""RT",11.478455319670887,79.71902242569028,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71902242569028 11.478455319670887, 79.71710642688821 11.478026315131533)"
5,SA,S,26,4-5,,=SQRT((K12-K11)^2+(L12-L11)^2),7.18,17.4979,,11.478026315131533,79.71710642688821,GOOD,GOOD,LT-1,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71710642688821 11.478026315131533, 79.71476542714917 11.477491322400002)"
6,SA,S,26,5-6,,=SQRT((K13-K12)^2+(L13-L12)^2),7.85,16.583904,,11.477491322400002,79.71476542714917,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71476542714917 11.477491322400002, 79.71230342829331 11.476944322292077)"
7,SD,T,28,6-7,,=SQRT((K14-K13)^2+(L14-L13)^2),6.15,15.254196,"39d56'9""RT",11.476944322292077,79.71230342829331,GOOD,GOOD,"HT-1,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71230342829331 11.476944322292077, 79.71142542867126 11.477387319518884)"
8,SD,T,28,7-8,,=SQRT((K15-K14)^2+(L15-L14)^2),6.8,14.350507," 41d26'44""LT",11.477387319518884,79.71142542867126,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71142542867126 11.477387319518884, 79.70962442965265 11.476945321484457)"
9,SA,S,26,8-9,,=SQRT((K16-K15)^2+(L16-L15)^2),6.1,14.727385,,11.476945321484457,79.70962442965265,GOOD,GOOD,LT-2,CARTRACK-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70962442965265 11.476945321484457, 79.70796942972854 11.476518317198316)"
