S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,joint_box,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 22,T,3W,DC,26,,,39.397453,,,12.00916196,79.52634101,,,,,14.2,6.2,2.8,42.3,,GOOD,,,,PLAIN,,,2W,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5263410080224 12.0091619621962, 79.5267000049352 12.009800998494)"
2,1,T,,DC,26,LILO : 22-1,80.77512012,42.983372,"2°40'14"" R",,12.009801,79.5267,,,,,12.45,4.4,1.6,1.9,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5267000049352 12.009800998494, 79.527693260461 12.011389452964)"
3,2,S,,DA,26,2-Jan,206.3237453,41.364265,,,12.01138945,79.52769326,,,,,,,,,,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.527693260461 12.011389452964, 79.5284740347415 12.012834995985)"
4,3,T,,DC,26,3-Feb,181.0933543,40.702278,"38°52'5""  R",,12.012835,79.52847403,,,,,12.75,4.25,2,28.7,,GOOD,Available,,"ROAD ,POND",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5284740347415 12.012834995985, 79.530661124736 12.01375474222)"
5,4,S,,DA,26,4-Mar,258.9689593,38.583126,,,12.01375474,79.53066112,,,,,,,,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.530661124736 12.01375474222, 79.5330249890685 12.0146759971976)"
6,5,S,,DA,26,5-Apr,276.8336902,37.848228,,,12.014676,79.53302499,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5330249890685 12.0146759971976, 79.5348629727959 12.0154639799147)"
7,6,T,,DC,26,6-May,218.289626,38.725578,"22°43'42"" L",,12.01546398,79.53486297,,,,,11.9,3.9,1.1,29.1,,GOOD,Available,"HT,LT - 3NO",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5348629727959 12.0154639799147, 79.5358719862997 12.0165019948035)"
8,7,T,,DC,26,7-Jun,158.9157349,37.283466,"7°57'37""  R  ",,12.01650199,79.53587199,,,,,12,4.15,1.2,31.1,,GOOD,Available,LT,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5358719862997 12.0165019948035, 79.5377010013908 12.0179239846766)"
9,8,S,,DA,26,8-Jul,253.7772927,37.671658,,,12.01792398,79.537701,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5377010013908 12.0179239846766, 79.5396499615162 12.0194690208882)"
10,9,S,,DA,26,9-Aug,272.4734976,35.94976,,,12.01946902,79.53964996,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5396499615162 12.0194690208882, 79.541547037661 12.0209070201963)"
11,10,S,,DA,26,10-Sep,260.7081484,37.45158,,,12.02090702,79.54154704,,,,,,,,,,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.541547037661 12.0209070201963, 79.5436610374599 12.0225760247558)"
12,11,S,,DA,26,11-Oct,295.0684949,37.241825,,,12.02257602,79.54366104,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5436610374599 12.0225760247558, 79.545431965962 12.0239079929888)"
13,12,S,,DA,26,12-Nov,242.6692014,37.360195,,,12.02390799,79.54543197,,,,,,,,,,GOOD,Available,LT -2NO,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.545431965962 12.0239079929888, 79.5474290382117 12.0254329964518)"
14,13,T,,DC,26,13-Dec,275.2047641,40.871353,"6°29'35""  R   ",,12.025433,79.54742904,,,,,14.55,5.55,3.6,30.1,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5474290382117 12.0254329964518, 79.5494100172072 12.0266190357506)"
15,14,S,,DA,26,13-14,252.457285,42.588303,,,12.02661904,79.54941002,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5494100172072 12.0266190357506, 79.5510660298168 12.027606004849)"
16,15,S,,DA,26,14-15,210.7838619,43.540108,,,12.027606,79.55106603,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5510660298168 12.027606004849, 79.552980037406 12.0287911221385)"
17,16,T,2W,DC,26,15-16,246.2002302,42.345131,"23°45'42"" L",,12.02879112,79.55298004,2W,,,,15.15,5.7,4.3,23.7,,GOOD,Available,"LT,HT -2NO",ROAD,AGRI,,,2W,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.552980037406 12.0287911221385, 79.554377971217 12.0308259967714)"
18,17,S,,DA,26,16-17,271.7150882,43.422932,,,12.030826,79.55437797,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.554377971217 12.0308259967714, 79.5556640066206 12.0327239949256)"
19,18,S,,DA,26,17-18,252.352867,40.87851,,,12.03272399,79.55566401,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5556640066206 12.0327239949256, 79.557036710903 12.0348121784627)"
20,19,S,,DA,26,18-19,275.1160152,44.321903,,,12.03481218,79.55703671,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.557036710903 12.0348121784627, 79.5584880374372 12.0369310397654)"
21,20,T,,DC,26,19-20,282.6650595,43.430119,"70°56'12"" R",,12.03693104,79.55848804,2W,,,,14.3,5.65,3.2,34.3,,GOOD,Available,,,PLAIN,,,2W,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5584880374372 12.0369310397654, 79.5581720396876 12.037374023348)"
22,21,T,,H-POLE,12,20-21,59.87183569,43.583549,"8°35'38"" R",,12.03737402,79.55817204,,,,,16.8,7,5.9,17,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5581720396876 12.037374023348, 79.5579599775373 12.0377930346876)"
23,22,T,,H-POLE,12,21-22,51.78029717,43.979805,"10°39'0"" R",,12.03779303,79.55795998,,,,,21.65,12.2,9.8,41.9,,GOOD,NO E/W,230 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5579599775373 12.0377930346876, 79.5578794274479 12.0380726549774)"
24,23,T,2W,DC,26,22-23,32.14872131,44.087112,"1°35'46"" L",,12.03807265,79.55787943,2W,,,,15.35,6.35,4.2,33.3,,GOOD,Available,,,PLAIN,,,2W,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5578794274479 12.0380726549774, 79.5572237111628 12.0401288196444)"
25,24,S,,DA,26,23-24,238.378439,44.451317,,,12.04012882,79.55722371,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5572237111628 12.0401288196444, 79.5564909651875 12.0424480084329)"
26,25,S,,DA,26,24-25,268.6492799,44.958244,,,12.04244801,79.55649097,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5564909651875 12.0424480084329, 79.5556599833071 12.0450560376048)"
27,26,S,,DA,26,25-26,302.3342081,45.745411,,,12.04505604,79.55565998,,,,,,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5556599833071 12.0450560376048, 79.5548071246594 12.047689044848)"
28,27,S,,DA,26,26-27,305.6865424,45.81744,,,12.04768904,79.55480712,,,,,,,,,,GOOD,Available,"HT,LT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5548071246594 12.047689044848, 79.5540410187095 12.0502160210162)"
29,28,T,,DC,26,27-28,291.6939536,47.296005,"10°44'57"" L",,12.05021602,79.55404102,,,,,13.55,4.3,2.9,22.2,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5540410187095 12.0502160210162, 79.5527679752558 12.0526369661092)"
30,29,S,,DA,26,28-29,301.5280514,44.273605,,,12.05263697,79.55276798,,,,,,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5527679752558 12.0526369661092, 79.5516149606555 12.0547229703515)"
31,30,T,,DC,26,29-30,262.6742827,45.130661,"19°23'57"" L",,12.05472297,79.55161496,,,,,15.35,6.15,4.4,29.6,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5516149606555 12.0547229703515, 79.5504727587103 12.0557370968163)"
32,31,T,,DC,26,30-31,167.4713729,47.490845,"16°19'19"" L",,12.0557371,79.55047276,,,,,17.2,7.45,6.3,19.8,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5504727587103 12.0557370968163, 79.5491974521428 12.0563420187681)"
33,32,T,,DC,26,31-32,154.1250412,46.109135,"87°3'19"" R",,12.05634202,79.54919745,,,,,14.75,5.4,3.9,24.6,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5491974521428 12.0563420187681, 79.5494775753468 12.0570019260048)"
34,33,T,,DC,26,32-33,79.10878019,47.162201,"41°47'15"" R",,12.05700193,79.54947758,,,,,16.15,6.65,5.2,25.3,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5494775753468 12.0570019260048, 79.5492990408092 12.0575579814612)"
35,34,T,,DC,26,33-34,64.50485689,47.029369,"27°27'25""",,12.05755798,79.54929904,,,,,12.4,5.2,1.2,39.8,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5492990408092 12.0575579814612, 79.5492380205541 12.0571790356189)"
36,Gantry (Vikravandi SS),Gantry,2W,H-POLE,12,34-Gantry,42.43936848,47.425819,,,12.05717904,79.54923802,2W,,,,,,,,,GOOD,NO E/W,,,PLAIN,,,G,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
