S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"1. Gantry 
(Villupuram SS)",Gantry,,H-POLE,12,,,56.478111,,11.98847903,79.48279199,2W,,,,,,,,,,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4827919919043 11.9884790293872, 79.4831390026956 11.9884699769318)"
2,2,T,2W,DC,26,Gantry -2,37.80290281,56.986271,"15°37'58"" L",11.98846998,79.483139,,,,,15.2,10.75,0.6,85.1,,,GOOD,NO E/W,110 KV,NH,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4831390026956 11.9884699769318, 79.4859347026795 11.9891620706766)"
3,3,T,,DC,26,3-Feb,313.9301352,55.099331,"16°13'13"" L",11.98916207,79.4859347,,,,,15.95,18.7,3.5,61.5,,,GOOD,Available,"LT,HT -2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4859347026795 11.9891620706766, 79.4884950388222 11.9906370341777)"
4,4,S,,DA,26,4-Mar,323.0471577,54.391052,,11.99063703,79.48849504,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4884950388222 11.9906370341777, 79.4909800216555 11.9921010173857)"
5,5,S,,DA,26,5-Apr,315.3648314,56.662312,,11.99210102,79.49098002,,,,,,,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4909800216555 11.9921010173857, 79.4933733064681 11.9935314729809)"
6,6,S,,DA,26,6-May,304.8963937,55.181923,,11.99353147,79.49337331,,,,,,,,,,,GOOD,Available,"LT,HT -2NO",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4933733064681 11.9935314729809, 79.4957346562296 11.9946796260774)"
7,7,S,,DA,26,7-Jun,286.7986404,53.082764,,11.99467963,79.49573466,,,,,,,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4957346562296 11.9946796260774, 79.4981314614415 11.996010588482)"
8,8,S,,DA,26,8-Jul,299.6639727,35.2265625,,11.99601059,79.49813146,,,,,,,,,,,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4981314614415 11.996010588482, 79.5004298631101 11.9972758367657)"
9,9,T,,DC,26,9-Aug,286.7599845,49.182991,"18°35'28"" L",11.99727584,79.50042986,,,,,14.35,2.35,3.4,29.3,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5004298631101 11.9972758367657, 79.5023016259074 11.9993082806468)"
10,10,S,,DA,26,10-Sep,303.4606438,47.405418,,11.99930828,79.50230163,,,,,,,,,,,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5023016259074 11.9993082806468, 79.503926038742 12.0008610282093)"
11,11,S,,DA,26,11-Oct,246.5569614,46.01506,,12.00086103,79.50392604,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.503926038742 12.0008610282093, 79.5056391321122 12.0025674160569)"
12,12,S,,DA,26,12-Nov,265.3794262,44.592834,,12.00256742,79.50563913,,,,,,,,,,,GOOD,Available,LT -2NO,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5056391321122 12.0025674160569, 79.5074219629168 12.0042950101196)"
