Tower No,Tower Type,Tower Type (S/T),Jont Box Location,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58/1 LILO VALAVANUR,LILO,T,3 way,26,,,,,,,11.92939522,79.59163809,GOOD,GOOD,,,PLAIN,LILO  POINT VILLUPURAM TO VALAVANUR  S/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5916380946138 11.92939521666041, 79.59396747331657 11.929704210959985)"
59,SA,S,,26,GAN-59,,0.000712153,9.75,26.38,,11.92970421,79.59396747,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59396747331657 11.929704210959985, 79.59680418218849 11.93007450982748)"
60,SA,S,,26,59-60,,0.002491773,6.54,29.66,,11.93007451,79.59680418,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59680418218849 11.93007450982748, 79.5997284716657 11.930456210492155)"
61,SA,S,,26,60-61,,0.002493062,8.23,31.94,,11.93045621,79.59972847,GOOD,GOOD,230KV ,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5997284716657 11.930456210492155, 79.60094247064104 11.930577213414642)"
DB1,SA,S,,26,61-DB1,,0.002177015,,30.62,,11.93057721,79.60094247,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60094247064104 11.930577213414642, 79.60130347053011 11.93062121112609)"
DB2,SA,S,,26,DB1-DB2,,0.002233022,,27.74,,11.93062121,79.60130347,GOOD,GOOD,400KV ,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60130347053011 11.93062121112609, 79.60200347051568 11.93075221220645)"
62,SA,S,,26,DB2-62,,0.002219756,4.81,31.99,,11.93075221,79.60200347,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60200347051568 11.93075221220645, 79.60446746909186 11.931123215052956)"
63,SA,S,,26,62-63,,0.002390466,6.04,23.71,,11.93112322,79.60446747,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60446746909186 11.931123215052956, 79.60693046824258 11.93150920911278)"
64,SA,S,,26,63-64,,0.002107859,7.82,25.11,,11.93150921,79.60693047,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60693046824258 11.93150920911278, 79.60908231306387 11.93183929905959)"
65,SA,S,,26,64-65,,0.002252161,,25.76,,11.9318393,79.60908231,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60908231306387 11.93183929905959, 79.61128946645074 11.932178207877435)"
