S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry 
(Madhurapakkam SS)",Gantry,H-POLE,12,,,36.3292009999999,,,11.9926089607179,79.6128570009022,2W,,,,,,,,,,,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6128570009022 11.9926089607179, 79.6130829770118 11.9926279876381)"
2,1,T,DC,28,Gantry - 1,26.196998956387436,36.033588,0°52'55''LT,,11.9926279876381,79.6130829770118,,,,,16,10.05,2.4,76.7,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6130829770118 11.9926279876381, 79.6153849828988 11.9928569812327)"
3,2,T,DC,28,1-2,253.44797623476452,34.180748,6°27'51''LT,,11.9928569812327,79.6153849828988,,,,,14.3,5.55,3.3,32.7,,,,GOOD,Available,"LT-2, HT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6153849828988 11.9928569812327, 79.6171559952199 11.9932350050657)"
4,3,S,DC,28,2-3,198.83067060623063,33.450577,,,11.9932350050657,79.6171559952199,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6171559952199 11.9932350050657, 79.6188759617507 11.9935560319572)"
5,4,T,DC,28,3-4,192.12731443082467,33.951836,15°11'19''RT,,11.9935560319572,79.6188759617507,,,,,14.05,5.95,2.7,40.3,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6188759617507 11.9935560319572, 79.6191109903156 11.9935380108654)"
6,5,T,H-POLE,12,4-5,27.170269261953074,33.2974049999999,4°20'21''LT,,11.9935380108654,79.6191109903156,,,,,18.8,9.95,6.9,49.8,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6191109903156 11.9935380108654, 79.619622034952 11.993537005037)"
7,6,T,H-POLE,12,5-6,57.14884744538411,31.067184,9°7'7''LT,,11.993537005037,79.619622034952,,,,,15.35,7.25,3.7,47.1,,,,GOOD,Available,400 KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.619622034952 11.993537005037, 79.6198589913547 11.99357396923)"
8,7,T,DC,28,6-7,27.624599833720026,30.900326,2°50'19''LT,,11.99357396923,79.6198589913547,,,,,13.15,4.6,2.3,30.1,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6198589913547 11.99357396923, 79.6213219687342 11.9938759692013)"
9,8,T,DC,28,7-8,164.2709680141752,30.48074,5°3'10''LT,,11.9938759692013,79.6213219687342,,,,,13.4,4.1,2.8,20.9,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6213219687342 11.9938759692013, 79.6237669698894 11.9946070387959)"
10,9,T,DC,28,8-9,279.74934111316577,29.472614,40°58'13''LT,,11.9946070387959,79.6237669698894,,,,,12.75,3.95,2.1,25.2,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6237669698894 11.9946070387959, 79.6249410230666 11.9964470341801)"
11,10,T,DC,28,9-10,241.84197463444752,28.3264159999999,27°29'8''LT,,11.9964470341801,79.6249410230666,,,,,14.7,5.2,4,21.3,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6249410230666 11.9964470341801, 79.6250799950212 11.9981290306895)"
