,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY Trichy 230KV AUTO SS,GANTRY,2W,20,,YES,,,,88,,78.64463889,10.78927778,GOOD,GOOD,NO,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64463888888889 10.789277777777778, 78.64411111111112 10.789361111111111)"
2,T.NO 1 DC,T,,29,GANTRY -1,YES,,58.69412236,1.57,86,"16°13'9.9""",78.64411111,10.78936111,GOOD,GOOD,YES,,THAR ROAD CROSSING,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64411111111112 10.789361111111111, 78.64158333333334 10.7905)"
3,T.NO-2 DC,T,,28,1--2,YES,,302.4235441,1.79,86,"52°6'32.0""",78.64158333,10.7905,GOOD,GOOD,NO,"LT,11KV",THAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64158333333334 10.7905, 78.64102777777778 10.792861111111112)"
4,T.NO 3 DC,T,,28,02-Mar,YES,,269.7572983,1.65,84,"65°41'29.5""",78.64102778,10.79286111,GOOD,GOOD,NO,"LT,11KV,230KV LINE CROSSING",MUD ROAD,CULTIVATION LAND,"NO EARTH WIRE,230KV LINE CROSSING, LINE ABOVE OUR LINE , EARTH WIRE CONNECTED TO 230KV LINE THEN CONNECTED TO OUR TOWER NO. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64102777777778 10.792861111111112, 78.64330555555556 10.794611111111111)"
5,T.NO 4 DC,T,2W,26,03-Apr,NO,,316.204048,1.53,84,"27°38'20.6""",78.64330556,10.79461111,GOOD,GOOD,NO,230KV LINE CROSSING,,PLAIN LAND,"NO EARTH WIRE,230KV LINE CROSSING, LINE ABOVE OUR LINE, EARTH WIRE CONNECTED TO 230KV LINE THEN CONNECTED TO OUR TOWER NO. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64330555555556 10.794611111111111, 78.64447222222223 10.797083333333333)"
6,T.NO 5 DC,T,,32,04-May,YES,,300.6127076,1.09,83,"28°20'32.1""",78.64447222,10.79708333,GOOD,GOOD,NO,,RIVER CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64447222222223 10.797083333333333, 78.64436111111112 10.798555555555556)"
7,T.NO 6 DC,T,,34,05-Jun,YES,,164.2467656,2.16,83,"38°40'43.7""",78.64436111,10.79855556,GOOD,GOOD,NO,"11KV,110 KV LINE CROSSING",THAR ROAD CROSSING,PLAIN LAND,"2 NOS 110 KV CROSSING, LINE CROSSING BELOW, SINGLE CIRCUIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64436111111112 10.798555555555556, 78.64558333333333 10.800277777777778)"
8,T.NO 7 DC,S,,29,06-Jul,YES,,232.2627822,,82,,78.64558333,10.80027778,GOOD,GOOD,NO,"11KV,LT",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64558333333333 10.800277777777778, 78.64705555555557 10.80188888888889)"
9,T.NO 8 DC,T,,28,07-Aug,YES,,239.9437434,2.51,81,"48°2'42.3""",78.64705556,10.80188889,GOOD,GOOD,NO,,,,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64705555555557 10.80188888888889, 78.64686111111112 10.803833333333333)"
10,T.NO 9 DC,S,,29,08-Sep,YES,,216.0231469,1.96,81,,78.64686111,10.80383333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64686111111112 10.803833333333333, 78.64655555555557 10.806722222222223)"
