,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY THIRUMAYAM,GANTRY,2W,20,,,,,,,78.7315,10.23297222,Yes,,,,,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7315 10.232972222222223, 78.73130555555555 10.233)"
2,T.NO.1 (92)DC,T,,26,GANTRY - 1,YES,21.21320344,3.27,97,"128°51'26.21""",78.73130556,10.233,,,GOOD,GOOD,NO,"33KV-1,11KV-3 LINE CROSSING",,PLAIN LAND,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73130555555555 10.233, 78.73280555555556 10.234388888888889)"
3,T.NO.2,T,,28,1--2,NO,224.2877616,3.17,108,"57°51'3.05""",78.73280556,10.23438889,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73280555555556 10.234388888888889, 78.73525000000001 10.233749999999999)"
4,T.NO.3,T,,30,02-Mar,YES,277.2453787,2.95,105,"2°3'37.50""",78.73525,10.23375,,,GOOD,GOOD,NO,,TAAR ROAD NH,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73525000000001 10.233749999999999, 78.73669444444444 10.233333333333333)"
5,T.NO.4,T,,27,03-Apr,YES,165.1302516,2.77,107,"5°9'33.70""",78.73669444,10.23333333,,,GOOD,GOOD,NO,LT CROSSING,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73669444444444 10.233333333333333, 78.73916666666666 10.23236111111111)"
6,T.NO.5,S,,26,04-May,NO,290.2447243,2.95,106,,78.73916667,10.23236111,,,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73916666666666 10.23236111111111, 78.74138888888889 10.231527777777778)"
7,T.NO.6,S,,29,05-Jun,YES,262.0572457,3.86,107,,78.74138889,10.23152778,,,GOOD,GOOD,NO,LT CROSSING,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74138888888889 10.231527777777778, 78.74375 10.230694444444445)"
8,T.NO.7,T,,26,06-Jul,YES,272.7123026,2.25,106,"17°57'45.28""",78.74375,10.23069444,,,GOOD,GOOD,NO,"33KV,11KV",POND CROSSING,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74375 10.230694444444445, 78.74519444444445 10.229583333333334)"
9,T.NO.8,S,,29,07-Aug,NO,200.8482014,"2,27",108,,78.74519444,10.22958333,,,GOOD,GOOD,NO,,POND CROSSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74519444444445 10.229583333333334, 78.74652777777779 10.228555555555555)"
10,T.NO.9,T,,26,08-Sep,NO,185.0675552,2.67,109,"17°56'50.05""",78.74652778,10.22855556,,,GOOD,GOOD,NO,11KV,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74652777777779 10.228555555555555, 78.74797222222222 10.226416666666667)"
11,T.NO.10,S,,26,09-Oct,YES,287.0574855,3.27,107,,78.74797222,10.22641667,,,GOOD,GOOD,NO,11 KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74797222222222 10.226416666666667, 78.74947222222222 10.22413888888889)"
12,T.NO.11,S,,26,10-Nov,YES,299.0401311,3.27,108,,78.74947222,10.22413889,,,GOOD,GOOD,NO,LT CROSSING,INSIDE FENCH,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74947222222222 10.22413888888889, 78.75080555555556 10.222138888888889)"
13,T.NO.12,S,,26,11-Dec,NO,264.6129249,3.27,100,,78.75080556,10.22213889,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75080555555556 10.222138888888889, 78.75208333333333 10.220166666666668)"
14,T.NO.13,T,,26,Dec-13,NO,260.7680962,3.1,101,"20°0'39.13""",78.75208333,10.22016667,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75208333333333 10.220166666666668, 78.75438888888888 10.21936111111111)"
15,T.NO.14,S,,26,13-14,NO,269.2080979,3.12,102,,78.75438889,10.21936111,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75438888888888 10.21936111111111, 78.75641666666667 10.218722222222222)"
16,T.NO.15,S,,26,14-15,NO,230.8462692,3.91,102,,78.75641667,10.21872222,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75641666666667 10.218722222222222, 78.7585 10.217972222222222)"
17,T.NO.16,T,,32,15-16,NO,242.297338,2.9,102,"23°42'57.09""",78.7585,10.21797222,,,GOOD,GOOD,NO,"11KV,LT",HIGH WAY ROAD NH,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7585 10.217972222222222, 78.76022222222223 10.218111111111112)"
18,T.NO.17,T,2W,30,16-17,YES,189.4465624,2.76,102,"7°40'46.95""",78.76022222,10.21811111,Yes,,GOOD,GOOD,NO,LT CROSSING,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76022222222223 10.218111111111112, 78.76272222222222 10.217972222222222)"
19,T.NO.18,T,,28,17-18,YES,275.5884613,3.29,101,"53°6'29.08""",78.76272222,10.21797222,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76272222222222 10.217972222222222, 78.76302777777778 10.217527777777779)"
