S. No ,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO.37/1 (LILO POINT),T,3W,T,26,,NO,,,,,,78.58461111,10.63363889,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5846111111111 10.633638888888889, 78.58533333333332 10.632666666666667)"
2,T.NO.2,S,,DA,26,37/1 - 2,NO,,133.0037593,3.45,123,,78.58533333,10.63266667,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58533333333332 10.632666666666667, 78.58613888888888 10.631527777777778)"
3,T.NO.3,T,,DD,28,02-Mar,NO,,153.3786165,3..54,123,"47°14'34.66""",78.58613889,10.63152778,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58613888888888 10.631527777777778, 78.58863888888888 10.631166666666667)"
4,T.NO.4,S,,DA,26,03-Apr,NO,,279.177363,4.34,120,,78.58863889,10.63116667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58863888888888 10.631166666666667, 78.59116666666667 10.630777777777778)"
5,T.NO.5,T,,DB,24,04-May,YES,,277.8344831,4.35,123,"12°49'41.72""",78.59116667,10.63077778,GOOD,GOOD,,TAR ROAD CROSSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59116666666667 10.630777777777778, 78.59358333333333 10.629805555555556)"
6,T.NO.6,S,,DA,26,05-Jun,YES,,286.5414455,1.79,121,,78.59358333,10.62980556,GOOD,GOOD,LT LINE CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59358333333333 10.629805555555556, 78.59519444444445 10.629111111111111)"
7,T.NO.7,T,,DD,28,06-Jul,YES,,192.418814,1.07,119,"52°17'55.70""",78.59519444,10.62911111,GOOD,GOOD,"LT LINE -1 ,11KV -1 CROSSING",TAR ROAD CROSSING,PLAIN LAND,TOWER COVERD WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59519444444445 10.629111111111111, 78.5958611111111 10.62638888888889)"
8,T.NO.8,T,,DB,24,07-Aug,YES,,308.058436,2.2,114,"13°6'42.61""",78.59586111,10.62638889,GOOD,GOOD,11KV -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,TOWER COVERD WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5958611111111 10.62638888888889, 78.59649999999999 10.625083333333334)"
9,T.NO.9,T,,DB,24,08-Sep,YES,,160.5521722,3.45,130,"11°46'32.03""",78.5965,10.62508333,GOOD,GOOD,11KV -1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59649999999999 10.625083333333334, 78.5971111111111 10.622861111111112)"
10,T.NO.10,T,,DD,28,09-Oct,YES,,256.1249695,2.75,112,"43°52'32.42""",78.59711111,10.62286111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5971111111111 10.622861111111112, 78.59899999999999 10.621722222222223)"
11,T.NO.11,T,,DB,24,10-Nov,NO,,242.0020661,4.76,112,"11°24'39.72""",78.599,10.62172222,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59899999999999 10.621722222222223, 78.60041666666666 10.620444444444445)"
12,T.NO.12,T,,DB,24,11-Dec,YES,,209.4230169,2.67,111,"8°44'10.49""",78.60041667,10.62044444,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60041666666666 10.620444444444445, 78.60219444444444 10.61825)"
13,T.NO.13,S,,DA,26,Dec-13,NO,,310.4834939,3.7,113,,78.60219444,10.61825,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60219444444444 10.61825, 78.6038611111111 10.616083333333332)"
14,T.NO.14,T,,DB,24,13-14,NO,,304.2005917,2.78,108,"4°7'24.19""",78.60386111,10.61608333,GOOD,GOOD,,,PLAIN LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6038611111111 10.616083333333332, 78.60549999999999 10.61425)"
15,T.NO.15,S,,DA,26,14-15,NO,,270.7397274,1.07,106,,78.6055,10.61425,GOOD,GOOD,110KV-1 LINE CROSSING,,PLAIN LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60549999999999 10.61425, 78.60705555555555 10.612416666666666)"
