S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,"Gantry 
 (Kallakudi SS)",Gantry,2W,H-POLE,12,,,,95.133804,,10.97213889,78.94561111,GOOD,,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94561111111112 10.972138888888889, 78.94550000000001 10.971694444444445)"
2,175,T,,SC,22,Gantry - 175,50.99805278,1.5,95.274551,"2°13'9"" L",10.97169444,78.9455,GOOD,NO E/W,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94550000000001 10.971694444444445, 78.94366666666667 10.9705)"
3,174,T,,SC,22,171 - 170,238.4295633,3.21,90.277313,"3°6'53"" R",10.9705,78.94366667,GOOD,Available,"LT ,HT -3NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94366666666667 10.9705, 78.94183333333334 10.969777777777779)"
4,173,S,,SA,22,170 - 169,217.4670523,1.89,89.185883,,10.96977778,78.94183333,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94183333333334 10.969777777777779, 78.93961111111112 10.96861111111111)"
5,172,S,,SA,22,169 - 168,273.5674255,2.19,89.433228,,10.96861111,78.93961111,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93961111111112 10.96861111111111, 78.93927777777778 10.968444444444444)"
6,171,T,,SC,22,168 - 167,42.69937985,1.97,88.584076,"0°34'16"" L",10.96844444,78.93927778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93927777777778 10.968444444444444, 78.93786111111112 10.96786111111111)"
7,170,T,,SC,22,167 - 166,165.7447607,2.21,88.870102,"7°2'33"" R",10.96786111,78.93786111,GOOD,Available,"HT,LT -3NO",NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93786111111112 10.96786111111111, 78.93686111111111 10.96713888888889)"
8,169,S,,SA,22,166 - 165,134.4161556,3.21,92.032944,,10.96713889,78.93686111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93686111111111 10.96713888888889, 78.93480555555556 10.965944444444444)"
9,168,S,,SA,22,165 - 164,261.9126448,1.88,91.853058,,10.96594444,78.93480556,GOOD,Available,"HT,LT -3NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93480555555556 10.965944444444444, 78.93272222222222 10.964722222222221)"
10,167,T,,SC,22,164 - 163,266.110042,2.92,87.715286,"0°39'4"" L",10.96472222,78.93272222,GOOD,Available,LT - 2NO,ST ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93272222222222 10.964722222222221, 78.93108333333333 10.96375)"
11,166,S,,SA,22,163 - 162,208.8021547,3.2,86.710915,,10.96375,78.93108333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93108333333333 10.96375, 78.92886111111112 10.962444444444444)"
12,165,S,,SA,22,162 - 161,282.0446822,4.22,87.885178,,10.96244444,78.92886111,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92886111111112 10.962444444444444, 78.92683333333333 10.96125)"
13,164,T,,SC,22,161 - 160,258.8477666,2.42,86.395744,"0°9'23"" L",10.96125,78.92683333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92683333333333 10.96125, 78.9243888888889 10.959777777777777)"
14,163,S,,SA,22,160 - 159,313.9252347,1.3,82.585587,,10.95977778,78.92438889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9243888888889 10.959777777777777, 78.92230555555555 10.958555555555554)"
15,162,S,,SA,22,159 - 158,262.2652227,1.22,80.1847,,10.95855556,78.92230556,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92230555555555 10.958555555555554, 78.92008333333334 10.957194444444443)"
16,161,S,,SA,22,158 - 157,287.2469283,0.92,76.009766,,10.95719444,78.92008333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92008333333334 10.957194444444443, 78.91780555555556 10.95586111111111)"
