Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NEYVELI GANTRY,GANTRY,T,20,,,,,90.053596,,11.598858293315645,79.44717453164549,GOOD,GOOD,,,PLAIN,NEYVELI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44717453164549 11.598858293315645, 79.44771153150104 11.598964286172805)"
1,DD,T,28,GT - 1,,=SQRT((K8-K7)^2+(L8-L7)^2),1.97,84.49128," 35d11'35""RT",11.598964286172805,79.44771153150104,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44771153150104 11.598964286172805, 79.44968252985036 11.598104286771528)"
2,DB,T,24,1-2,,=SQRT((K9-K8)^2+(L9-L8)^2),3.12,82.781052,"3d44'13""RT",11.598104286771528,79.44968252985036,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44968252985036 11.598104286771528, 79.4506735301662 11.59759329375964)"
3,DC,T,26,2-3,,=SQRT((K10-K9)^2+(L10-L9)^2),4.39,82.930611,"24d48'18""LT",11.59759329375964,79.4506735301662,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4506735301662 11.59759329375964, 79.45214352913817 11.5975222915324)"
4,DA,S,26,3-4,,=SQRT((K11-K10)^2+(L11-L10)^2),5.12,81.436394,,11.5975222915324,79.45214352913817,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45214352913817 11.5975222915324, 79.4538705286495 11.597484289802226)"
5,DB,T,24,4-5,,=SQRT((K12-K11)^2+(L12-L11)^2),4.32,80.875229,"9d2'23""LT",11.597484289802226,79.4538705286495,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4538705286495 11.597484289802226, 79.4564605271121 11.597832293222547)"
6,DB,T,24,5-6,,=SQRT((K13-K12)^2+(L13-L12)^2),6.3,78.859215,"11d20'55""RT",11.597832293222547,79.4564605271121,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4564605271121 11.597832293222547, 79.45878952673016 11.597688293404948)"
7,DB,T,24,6-7,,=SQRT((K14-K13)^2+(L14-L13)^2),7.68,74.326698,"4d28'56""LT",11.597688293404948,79.45878952673016,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45878952673016 11.597688293404948, 79.46127852525197 11.597758286266865)"
8,DA,S,26,7-8,,=SQRT((K15-K14)^2+(L15-L14)^2),5.41,82.93866,,11.597758286266865,79.46127852525197,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46127852525197 11.597758286266865, 79.46347452495628 11.597760287668427)"
9,DA,S,26,8-9,,=SQRT((K16-K15)^2+(L16-L15)^2),7.32,75.185219,,11.597760287668427,79.46347452495628,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46347452495628 11.597760287668427, 79.46587652396397 11.597811290419537)"
10,DA,S,26,9-10,,=SQRT((K17-K16)^2+(L17-L16)^2),4.3,72.545876,,11.597811290419537,79.46587652396397,GOOD,GOOD,,"ROAD,RIVER",PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46587652396397 11.597811290419537, 79.46830352244453 11.597847289819349)"
11,DA,S,26,10-11,,=SQRT((K18-K17)^2+(L18-L17)^2),8.3,70.856621,,11.597847289819349,79.46830352244453,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46830352244453 11.597847289819349, 79.47034552159299 11.597793292842184)"
12,DA,S,26,11-12,,=SQRT((K19-K18)^2+(L19-L18)^2),7.12,68.68663,,11.597793292842184,79.47034552159299,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47034552159299 11.597793292842184, 79.47216952135983 11.597746292646574)"
13,DC,T,26,12-13,,=SQRT((K20-K19)^2+(L20-L19)^2),8.9,72.731232," 16d39'12""LT",11.597746292646574,79.47216952135983,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47216952135983 11.597746292646574, 79.47333952030203 11.598058294431551)"
14,DD,T,28,13-14,,=SQRT((K21-K20)^2+(L21-L20)^2),6.4,78.397614,94d11'47 LT,11.598058294431551,79.47333952030203,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47333952030203 11.598058294431551, 79.47272252075186 11.599792289189967)"
4,DC,T,26,14-4,,=SQRT((K22-K21)^2+(L22-L21)^2),5.32,72.876808," 17d50'36""RT",11.599792289189967,79.47272252075186,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47272252075186 11.599792289189967, 79.47265052072507 11.602778284966119)"
5,DA,S,26,4-5,,=SQRT((K23-K22)^2+(L23-L22)^2),7.28,70.921761,,11.602778284966119,79.47265052072507,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47265052072507 11.602778284966119, 79.4725555205072 11.60564928765046)"
6,DA,S,26,5-6,,=SQRT((K24-K23)^2+(L24-L23)^2),,73.788239,,11.60564928765046,79.4725555205072,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4725555205072 11.60564928765046, 79.4724845207186 11.608421285648461)"
7,DA,S,26,6-7,,=SQRT((K25-K24)^2+(L25-L24)^2),,76.908333,,11.608421285648461,79.4724845207186,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4724845207186 11.608421285648461, 79.47242152109617 11.611264285441294)"
8,DA,S,26,7-8,,=SQRT((K26-K25)^2+(L26-L25)^2),,77.24073,,11.611264285441294,79.47242152109617,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47242152109617 11.611264285441294, 79.4723485208573 11.613750288342239)"
