,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)",ROAD APPROCH,,"Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-47/1 (LILO POINT),T ,3W,28,,,,2.6,122,,78.66513889,10.5835,Yes,,GOOD,YES,NO,GOOD,,,PLAIN,Lilo point to Ammachatram,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66513888888889 10.5835, 78.66655555555556 10.583444444444446)"
2,T.NO-48,T,,24,47/1 - 48,,156.2593997,2.77,122,"00°00'00.00""",78.66655556,10.58344444,,,GOOD,YES,NO,GOOD,,,PLAIN,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66655555555556 10.583444444444446, 78.66900000000001 10.583361111111111)"
3,T.NO-49,T,,24,48 - 49,,266.1879036,2.24,124,"12°49'45.55""",78.669,10.58336111,,,GOOD,NO,NO,GOOD,LT LINE,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66900000000001 10.583361111111111, 78.67122222222223 10.583805555555557)"
4,T.NO-50,S,,26,49 - 50,,248.2982078,2.78,125,,78.67122222,10.58380556,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67122222222223 10.583805555555557, 78.67325000000001 10.584166666666667)"
5,T.NO-51,S,,26,50 - 51,,225.3996451,2.52,127,,78.67325,10.58416667,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67325000000001 10.584166666666667, 78.67369444444445 10.584472222222223)"
6,T.NO-52,BRIDGE TOWER,,26,51 - 52,,59.6405902,3.23,129,,78.67369444,10.58447222,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67369444444445 10.584472222222223, 78.67391666666667 10.58463888888889)"
7,T.NO-53,BRIDGE TOWER,,26,52 - 53,,31.06444913,3.87,131,,78.67391667,10.58463889,,,GOOD,NO,NO,GOOD,220Kv LINE CROSSING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67391666666667 10.58463888888889, 78.67422222222223 10.584888888888889)"
8,T.NO-54,S,,26,53 - 54,,43.41658669,3.23,132,,78.67422222,10.58488889,,,GOOD,NO,NO,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67422222222223 10.584888888888889, 78.67627777777778 10.58538888888889)"
9,T.NO-55,T,,26,54 - 55,,231.3892824,3.87,133,"24°40'29.63""",78.67627778,10.58538889,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67627777777778 10.58538888888889, 78.67808333333333 10.584972222222223)"
10,T.NO-56,S,,26,55 - 56,,201.7919721,3.17,131,,78.67808333,10.58497222,,,GOOD,YES,NO,GOOD,"11KV,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67808333333333 10.584972222222223, 78.67966666666668 10.584611111111112)"
11,T.NO-57,T,,24,56 - 57,,178.5385113,3.25,128,"6°39'38.04""",78.67966667,10.58461111,,,GOOD,YES,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67966666666668 10.584611111111112, 78.68180555555556 10.58388888888889)"
12,T.NO-58,S,,26,57 - 58,,247.3418687,4.57,125,,78.68180556,10.58388889,,,GOOD,NO,NO,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68180555555556 10.58388888888889, 78.68258333333334 10.581888888888889)"
13,T.NO-59,S,,26,58 - 59,,236.6600938,3,128,,78.68258333,10.58188889,,,GOOD,NO,NO,GOOD,,,WATER LOGGED,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68258333333334 10.581888888888889, 78.68602777777778 10.580361111111111)"
14,T.NO-60,T,,24,59 - 60,,412.2341568,2.77,134,"12°10'16.74""",78.68602778,10.58036111,,,GOOD,NO,NO,GOOD,,,WATER LOGGED,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68602777777778 10.580361111111111, 78.68794444444445 10.582222222222223)"
15,T.NO-61,S,,26,60 - 61,,293.5183129,2.34,124,,78.68794444,10.58222222,,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68794444444445 10.582222222222223, 78.68997222222222 10.581972222222221)"
16,T.NO-62,T,,24,61 - 62,,224.0178564,2.75,126,"00°00'00.00""",78.68997222,10.58197222,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68997222222222 10.581972222222221, 78.69247222222222 10.581666666666667)"
17,T.NO-63,S,,26,62 - 63,,277.3463539,3.25,126,,78.69247222,10.58166667,,,GOOD,NO,NO,GOOD,LT LINE,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69247222222222 10.581666666666667, 78.6948888888889 10.58136111111111)"
18,T.NO-64,T,2W,28,63 - 64,,265.452444,2.7,128,"37°12'20.42""",78.69488889,10.58136111,Yes,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6948888888889 10.58136111111111, 78.69630555555555 10.579972222222223)"
