S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,GANTRY,2W,GANTRY,15,,,,55,,11.02252454,79.49063762,,,,,GOOD,,,,PLAIN,110KV ADUTHURAI SS,,,,G,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.490637620911 11.0225245356559, 79.4907900039106 11.0219920333474)"
2,TN -40,T,,SC on SC,23,TN -37 : TN -36,63.20741971,6.91,58,58°31'20''RT,11.02199203,79.49079,,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4907900039106 11.0219920333474, 79.4918716885149 11.0216918773949)"
3,TN -39,T,,SC on SC,23,TN -36 : TN -35,124.7724557,4.65,57,29°49'39''LT,11.02169188,79.49187169,,,,,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4918716885149 11.0216918773949, 79.4942094851285 11.0222171712666)"
4,TN -38,T,,SC on SC,23,TN -35 : TN -34,263.9807005,5.27,54,32°52'53''RT,11.02221717,79.49420949,,,,,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4942094851285 11.0222171712666, 79.4951400440186 11.0219066217541)"
5,TN -37,T,,SC on SC,23,TN -34 : TN -33,109.3292083,6.54,56,11°31'34''RT,11.02190662,79.49514004,,,,,GOOD,AVAILABLE,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4951400440186 11.0219066217541, 79.4963587727397 11.0217585135251)"
6,TN -36,T,,SC on SC,23,TN -33 : TN -32,136.1771046,4.23,59,40°11'9''LT,11.02175851,79.49635877,,,,,GOOD,AVAILABLE,,,AGRI,BUSHES,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4963587727397 11.0217585135251, 79.4974398706108 11.0205945186316)"
7,TN -35,S,,SC on SC,23,TN -32 : TN -31,176.7323393,3.75,55,,11.02059452,79.49743987,,,,,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4974398706108 11.0205945186316, 79.4985273387283 11.019437983632)"
8,TN -34,T,,SC on SC,23,TN -31 : TN -30,176.5985013,3.98,54,28°6'22''RT,11.01943798,79.49852734,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4985273387283 11.019437983632, 79.5005763787776 11.0187461413443)"
9,TN -33,S,,SC on SC,23,TN -30 : TN -29,238.6204017,4.28,56,,11.01874614,79.50057638,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5005763787776 11.0187461413443, 79.5025220699608 11.018121773377)"
10,TN -32,S,,SC on SC,23,TN -29 : TN -28,225.5466959,5.64,58,,11.01812177,79.50252207,,,,,GOOD,AVAILABLE,LT -2,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5025220699608 11.018121773377, 79.5050342101603 11.0172793921083)"
