S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ,GANTRY,GANTRY,15,,,,35,,11.0886268224567,79.575644955039,GOOD,,,,PLAIN,110KV KADALANGUDI SS,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.575644955039 11.0886268224567, 79.5758172031491 11.0886367969214)"
2,TN - 1,T,DC on DC,25,"=CONCATENATE(B6, "" : "", B7)",20.8493485366716,4.52,38,72°46'48''RT,11.0886367969214,79.5758172031491,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5758172031491 11.0886367969214, 79.5753871276974 11.0906439274549)"
3,TN - 2,T,DC on DC,25,"=CONCATENATE(B7, "" : "", B8)",228.914374358224,5.61,37,36°29'14''RT,11.0906439274549,79.5753871276974,GOOD,AVAILABLE,"HT, LT-2","CANAL, ROAD",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5753871276974 11.0906439274549, 79.5735051389783 11.0923042148351)"
4,TN - 3,S,DC on DC,27,"=CONCATENATE(B8, "" : "", B9)",277.663858548273,4.82,34,,11.0923042148351,79.5735051389783,GOOD,AVAILABLE,"HT, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5735051389783 11.0923042148351, 79.5712985191494 11.0942855291068)"
5,TN - 4,T,DC on DC,25,"=CONCATENATE(B9, "" : "", B10)",327.777952999482,6.25,36,21°54'60''RT,11.0942855291068,79.5712985191494,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5712985191494 11.0942855291068, 79.5691298693418 11.0950750205665)"
6,TN - 5,S,DC on DC,27,"=CONCATENATE(B10, "" : "", B11)",254.487693977008,6.65,39,,11.0950750205665,79.5691298693418,GOOD,AVAILABLE,LT,,AGRI,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5691298693418 11.0950750205665, 79.5666163042187 11.0959852114319)"
7,TN - 6,S,DC on DC,27,"=CONCATENATE(B11, "" : "", B12)",294.458722082308,5.32,33,,11.0959852114319,79.5666163042187,GOOD,AVAILABLE,LT,"CANAL, ROAD",AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5666163042187 11.0959852114319, 79.5645314734429 11.0967568494379)"
8,TN - 7,T,DC on DC,25,"=CONCATENATE(B12, "" : "", B13)",245.216057803749,4.35,34,32°40'27''LT,11.0967568494379,79.5645314734429,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5645314734429 11.0967568494379, 79.5622049923986 11.0963039752095)"
9,TN - 8,S,DC on DC,27,"=CONCATENATE(B13, "" : "", B14)",261.037208761391,4.95,36,,11.0963039752095,79.5622049923986,GOOD,AVAILABLE,230KV UP XING,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5622049923986 11.0963039752095, 79.5594720728695 11.095734424889)"
10,TN - 9,S,DC on DC,27,"=CONCATENATE(B14, "" : "", B15)",307.122607730594,5.11,38,,11.095734424889,79.5594720728695,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5594720728695 11.095734424889, 79.5568835735321 11.0951828956604)"
