S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV VEPPUR,GANTRY,GANTRY,20,,,,82,,79.12694,11.539262,GOOD,,,,SUBSTATION,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12694 11.539262, 79.126984 11.539596)"
2,T.NO-147B,DD,T,30,GANTRY-147B,37.3363094051889,3.69,82,"51°54'38""",79.126984,11.539596,GOOD,MISSING,,,PLAIN,ALREADY HAVE OPGW FOR VEPPUR-ADARI LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.126984 11.539596, 79.127934 11.540154)"
3,T.NO-147A,SD,T,29,147/B-147A,120.569482042514,5.13,82,"33°54'25""",79.127934,11.540154,GOOD,GOOD,"2nos 11KV,33KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.127934 11.540154, 79.128979 11.540097)"
4,T.NO-147 TAPPING,DB,T,26,147/A-147,114.214710085873,4.63,82,"9°30'44""",79.128979,11.540097,GOOD,GOOD,,MUDROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.128979 11.540097, 79.130209 11.539825)"
5,T.NO-148,DB,T,29,147-148,137.539085353946,6.92,82,"0°00'00""",79.130209,11.539825,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.130209 11.539825, 79.131522 11.53949)"
6,T.NO-149A,DB,T,29,148-149A,147.962833171037,8.45,84,"13°48'39""",79.131522,11.53949,GOOD,GOOD,"LT,11KV",NATIONAL HIGHWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.131522 11.53949, 79.134465 11.539455)"
2,T.NO-149,DA,S,24,149A-149,321.056069869423,9.32,84,,79.134465,11.539455,GOOD,GOOD,2nos LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.134465 11.539455, 79.137398 11.539473)"
8,T.NO-150,DA,S,24,149-150,320,10.15,83,,79.137398,11.539473,GOOD,GOOD,33KV,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.137398 11.539473, 79.140487 11.539457)"
9,T.NO-151,DA,S,24,150-151,337.023738036359,7.92,78,,79.140487,11.539457,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.140487 11.539457, 79.143576 11.539432)"
10,T.NO-152,DA,S,24,151-152,337.037089947086,7.12,78,,79.143576,11.539432,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.143576 11.539432, 79.146555 11.539424)"
11,T.NO-153,DA,S,24,152-153,325.013845858911,8.32,76,,79.146555,11.539424,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.146555 11.539424, 79.14948 11.539397)"
12,T.NO-154,DA,S,24,153-154,319.039182546596,9.91,76,,79.14948,11.539397,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14948 11.539397, 79.152495 11.539398)"
13,T.NO-155,DA,S,24,154-155,329.006078971195,7.42,76,,79.152495,11.539398,GOOD,GOOD,, ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.152495 11.539398, 79.155466 11.539363)"
14,T.NO-156,DA,S,24,155-156,324.055550793379,7.9,76,,79.155466,11.539363,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.155466 11.539363, 79.1585 11.539364)"
15,T.NO-157,DA,S,24,156-157,331.006042240924,8.12,75,,79.1585,11.539364,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1585 11.539364, 79.161387 11.539346)"
16,T.NO-158,DB,T,26,157-158,315.025395801672,9.1,75,"0°00'00""",79.161387,11.539346,GOOD,GOOD,,MUDROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.161387 11.539346, 79.164431 11.539329)"
17,T.NO-159,DA,S,24,158-159,332.024095511154,7.99,72,,79.164431,11.539329,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.164431 11.539329, 79.167529 11.539322)"
18,T.NO-160,DA,S,24,159-160,338.01331334727,8.25,70,,79.167529,11.539322,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.167529 11.539322, 79.170481 11.539331)"
19,T.NO-161,DA,S,24,160-161,322.001552791287,10.35,70,,79.170481,11.539331,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.170481 11.539331, 79.173662 11.539297)"
20,T.NO-162,DA,S,24,161-162,347.051869322152,7.4,70,,79.173662,11.539297,GOOD,GOOD,,"NALA,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.173662 11.539297, 79.176558 11.539324)"
21,T.NO-163,DA,S,24,162-163,316.00158227452,8.24,71,,79.176558,11.539324,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.176558 11.539324, 79.179418 11.539297)"
22,T.NO-164,DA,S,24,163-164,312.040061530567,7.35,71,,79.179418,11.539297,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.179418 11.539297, 79.182416 11.53928)"
23,T.NO-165,DA,S,24,164-165,327.024463916692,11.32,74,,79.182416,11.53928,GOOD,GOOD,LT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.182416 11.53928, 79.185111 11.539278)"
24,T.NO-166,DA,S,24,165-166,294.006802642388,7.45,75,,79.185111,11.539278,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.185111 11.539278, 79.187861 11.539268)"
25,T.NO-167,DA,S,24,166-167,300.014999625019,8.25,75,,79.187861,11.539268,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.187861 11.539268, 79.190721 11.539268)"
26,T.NO-168,SPECIAL TOWER,T,35,167-168,312.00641019056,6.12,75,"14°30'13""",79.190721,11.539268,GOOD,GOOD,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.190721 11.539268, 79.193971 11.538439)"
27,T.NO-169,DA,S,24,168-169,366.267661690191,7.32,74,,79.193971,11.538439,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.193971 11.538439, 79.196973 11.537698)"
28,T.NO-170,DA,S,24,169-170,337.616646509025,5.45,75,,79.196973,11.537698,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.196973 11.537698, 79.19993 11.53693)"
29,T.NO-171,DA,S,24,170-171,333.546098762975,6.19,74,,79.19993,11.53693,GOOD,GOOD,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19993 11.53693, 79.202932 11.536207)"
30,T.NO-172,DA,S,24,171-172,337.124606043522,7.4,70,,79.202932,11.536207,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.202932 11.536207, 79.205815 11.535484)"
31,T.NO-173,DA,S,24,172-173,324.530430006186,6.74,74,,79.205815,11.535484,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.205815 11.535484, 79.208735 11.534743)"
32,T.NO-174,DA,S,24,173-174,328.907281767978,8.25,76,,79.208735,11.534743,GOOD,GOOD,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.208735 11.534743, 79.211682 11.534001)"
33,T.NO-175,DA,S,24,174-175,331.808679814136,5.64,72,,79.211682,11.534001,GOOD,GOOD,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.211682 11.534001, 79.214638 11.533278)"
34,T.NO-176,DA,S,24,175-176,332.276992883949,6.1,69,,79.214638,11.533278,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.214638 11.533278, 79.217558 11.532537)"
35,T.NO-177 LILO 110KV ARUROORAN SUGAR FACTORY,DB,T,26,176-177 LILO,328.907281767978,6.1,72,"0°00'00""",79.217558,11.532537,GOOD,GOOD,,TAAR ROAD,PLAIN,NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.217558 11.532537, 79.220578 11.531787)"
36,T.NO-178,DA,S,24,177 LILO-178,339.802884037202,6.68,72,,79.220578,11.531787,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.220578 11.531787, 79.223516 11.531055)"
37,T.NO-179,DA,S,24,178-179,330.588868536132,9.23,72,,79.223516,11.531055,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.223516 11.531055, 79.226601 11.530269)"
38,T.NO-180,DA,S,24,179-180,347.587399081152,6.37,72,,79.226601,11.530269,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.226601 11.530269, 79.229805 11.529484)"
39,T.NO-181,DD,T,30,180-181,360.169404586231,7.34,70,"33°26'50""",79.229805,11.529484,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.229805 11.529484, 79.232467 11.530413)"
40,T.NO-182,DA,S,24,181-182,308.029219393226,3.4,70,,79.232467,11.530413,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.232467 11.530413, 79.235156 11.531352)"
41,T.NO-183,DA,S,24,182-183,311.191259517359,15.36,71,,79.235156,11.531352,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.235156 11.531352, 79.237991 11.532363)"
42,T.NO-184,DA,S,24,183-184,328.937684067971,7.14,69,,79.237991,11.532363,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.237991 11.532363, 79.240763 11.533329)"
43,T.NO-185,DA,S,24,184-185,320.677407997508,5.27,68,,79.240763,11.533329,GOOD,GOOD,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.240763 11.533329, 79.243616 11.534341)"
44,T.NO-186,DA,S,24,185-186,330.823215630342,WATER,68,,79.243616,11.534341,GOOD,GOOD,,,CULTIVATION,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.243616 11.534341, 79.246681 11.535426)"
45,T.NO-187,DA,S,24,186-187,355.174604948045,4.21,69,,79.246681,11.535426,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.246681 11.535426, 79.249525 11.536456)"
46,T.NO-188,DA,S,24,187-188,330.552567680241,6.45,69,,79.249525,11.536456,GOOD,GOOD,LT,"CANAL,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.249525 11.536456, 79.252388 11.537467)"
47,T.NO-189,DA,S,24,188-189,331.766484142085,6.12,69,,79.252388,11.537467,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.252388 11.537467, 79.255214 11.53847)"
48,T.NO-190,DA,S,27,189-190,327.661410605521,4.73,69,,79.255214,11.53847,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.255214 11.53847, 79.258151 11.539509)"
49,T.NO-191,DB,T,26,190-191,340.308683403759,WATER,68,"0°00'00""",79.258151,11.539509,GOOD,GOOD,2nos LT,2nos MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.258151 11.539509, 79.261407 11.540685)"
50,T.NO-192,DB,T,27,191-192,378.31204051682,13,68,,79.261407,11.540685,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.261407 11.540685, 79.263831 11.541523)"
