S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 05,3W,T,DC,26,,,3.94,84.771851,,10.80375,78.67072222,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67072222222222 10.80375, 78.67200000000001 10.804416666666667)"
2,1,,T,DC,26,LILO : 05-1,158.1490015,4.01,88.347557,"17°1'46"" L",10.80441667,78.672,GOOD,OPGW Available,HT  2NO,,PLAIN,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67200000000001 10.804416666666667, 78.67238888888889 10.804805555555557)"
3,2,,T,DC,26,01-Feb,59.51794259,0.9,87.627228,"37°41'43"" L",10.80480556,78.67238889,GOOD,OPGW Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67238888888889 10.804805555555557, 78.6725 10.805611111111112)"
4,3,,T,DC,26,02-Mar,92.18649508,1.35,88.434624,"48°15'11"" R",10.80561111,78.6725,GOOD,OPGW Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6725 10.805611111111112, 78.67355555555557 10.806305555555555)"
5,4,,T,DC,26,03-Apr,136.8603047,2.52,88.781403,"3°0'57"" R",10.80630556,78.67355556,GOOD,OPGW Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67355555555557 10.806305555555555, 78.67505555555556 10.807222222222222)"
6,5,,T,DC,26,04-May,193.570884,2.46,89.592545,"14°11'14"" R",10.80722222,78.67505556,GOOD,OPGW Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67505555555556 10.807222222222222, 78.67625000000001 10.807583333333334)"
7,6,,T,DC,26,05-Jun,137.7775275,3.4,89.187492,"11°27'39"" L",10.80758333,78.67625,GOOD,OPGW Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67625000000001 10.807583333333334, 78.67716666666666 10.808055555555557)"
8,7,,T,DC,26,06-Jul,111.5385261,2.01,88.708961,"10°36'16"" R",10.80805556,78.67716667,GOOD,OPGW Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67716666666666 10.808055555555557, 78.67858333333334 10.808527777777778)"
9,8,,T,DC,26,07-Aug,164.5218084,4.63,88.270752,"2°24'44"" L",10.80852778,78.67858333,GOOD,OPGW Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67858333333334 10.808527777777778, 78.68080555555557 10.809333333333335)"
10,9,,T,DC,26,08-Sep,300,5.08,88.667961,"28°4'37"" L",10.80933333,78.68080556,GOOD,OPGW Available,"HT,LT -3NO","ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68080555555557 10.809333333333335, 78.68261111111111 10.811333333333334)"
11,10,,T,DC,26,09-Oct,294.2316054,2.91,90.743782,"12°31'2"" R",10.81133333,78.68261111,GOOD,OPGW Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68261111111111 10.811333333333334, 78.68425 10.8125)"
12,LILO : 11,2W,T,DC,26,10-Nov,223.0272665,1.78,88.606613,"63°34'34"" R",10.8125,78.68425,GOOD,OPGW Available,,CANAL,Water Logged,LILO to court,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68425 10.8125, 78.68527777777778 10.812888888888889)"
13,12,,T,DC,26,Dec-13,119,2.73,86.464233,"22°55'1"" R",10.81288889,78.68527778,GOOD,OPGW Available,HT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68527777777778 10.812888888888889, 78.68641666666667 10.813583333333334)"
14,13,,T,DC,26,13-14,147.9635509,5.01,84.428543,"13°15'51"" L",10.81358333,78.68641667,GOOD,OPGW Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68641666666667 10.813583333333334, 78.68741666666666 10.814611111111113)"
15,14,,S,DA,26,14-15,157.2382279,3.06,83.277672,,10.81461111,78.68741667,GOOD,OPGW Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68741666666666 10.814611111111113, 78.68822222222222 10.815416666666668)"
16,15,,S,DA,26,15-16,123.9643427,1.1,82.792404,,10.81541667,78.68822222,GOOD,OPGW Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68822222222222 10.815416666666668, 78.68891666666667 10.816166666666668)"
17,16,,S,DA,26,16-17,115.0181366,2.89,82.950325,,10.81616667,78.68891667,GOOD,OPGW Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68891666666667 10.816166666666668, 78.68961111111112 10.81686111111111)"
18,17,,T,DC,26,17-18,107.621124,3.63,83.256378,"4°27'8"" R",10.81686111,78.68961111,GOOD,OPGW Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68961111111112 10.81686111111111, 78.6901388888889 10.817333333333334)"
19,18,,T,DC,26,18-19,78.14824493,2.33,84.84388,"38°18'34"" R",10.81733333,78.69013889,GOOD,OPGW Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6901388888889 10.817333333333334, 78.69041666666666 10.817361111111111)"
20,19,,T,DC,26,19-20,27.82684409,1.18,83.41996,"22°45'11"" R",10.81736111,78.69041667,GOOD,OPGW Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69041666666666 10.817361111111111, 78.69058333333334 10.817305555555555)"
21,Gantry (Thennur SS),2W,Gantry,H-POLE,12,20-Gantry,19.50141094,,86.147911,,10.81730556,78.69058333,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
