S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Trichy SS),Gantry,H-Pole,12,,,0.69,93.1519849999999,,10.789222222222222,78.64463888888889,GOOD,,,,SS,Cement Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64463888888889 10.789222222222222, 78.64408333333334 10.789166666666667)"
2,355,T,DC,26,Gantry - 355,61.1736712111188,1.64,93.051308,"26°34'12""L",10.789166666666667,78.64408333333334,GOOD,NO E/W,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64408333333334 10.789166666666667, 78.6418888888889 10.789944444444444)"
3,354,S,DA,26,355-354,255.219055146818,1.32,93.156975,,10.789944444444444,78.6418888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6418888888889 10.789944444444444, 78.6396388888889 10.790722222222222)"
4,353,T,DC,26,354-353,261.38892778917,1.1,90.177498,"0°16'12""L",10.790722222222222,78.6396388888889,GOOD,Available,230KV LINE,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6396388888889 10.790722222222222, 78.63736111111112 10.791527777777778)"
5,352,S,DA,26,353-352,263.797804514058,1.74,89.023994,,10.791527777777778,78.63736111111112,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63736111111112 10.791527777777778, 78.63472222222222 10.792416666666666)"
6,351,T,DC,26,352-351,305.180544208066,0.6,88.0652079999999,"25°34'12""R",10.792416666666666,78.63472222222222,GOOD,Available,,Allidurai Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63472222222222 10.792416666666666, 78.6318611111111 10.792111111111112)"
7,350,T,DB,26,351-350,314.812958229843,1.05,89.3364409999999,"56°9'0""R",10.792111111111112,78.6318611111111,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6318611111111 10.792111111111112, 78.63061111111111 10.789722222222222)"
8,349,S,DA,26,350-349,296.173408090056,4.24,90.1870499999999,,10.789722222222222,78.63061111111111,GOOD,Available,"11kV, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63061111111111 10.789722222222222, 78.62944444444443 10.7875)"
9,348,S,DA,26,349-348,277.316558384645,3.3,88.0937959999999,,10.7875,78.62944444444443,GOOD,Available,"11kV, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62944444444443 10.7875, 78.62819444444443 10.785194444444445)"
10,347,S,DA,26,348-347,288.741648354963,2.25,89.172234,,10.785194444444445,78.62819444444443,GOOD,Available,11KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62819444444443 10.785194444444445, 78.62702777777777 10.782972222222224)"
