S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Trichy SS),Gantry,H-POLE,12,,,,88.404312,,10.789055555555555,78.64458333333334,GOOD,,,,PLAIN,Cement Pole,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64458333333334 10.789055555555555, 78.64402777777778 10.789027777777777)"
2,1,T,DB,25,Gantry - 1,61.74753884538288,2.04,91.1059419999999,"24°19'48""R",10.789027777777777,78.64402777777778,GOOD,NO E/W,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64402777777778 10.789027777777777, 78.64280555555557 10.788333333333334)"
3,2,T,DB,25,"=B7&"" - "" &B8",155.41889722892105,1.13,91.28846,"19°38'24""R",10.788333333333334,78.64280555555557,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64280555555557 10.788333333333334, 78.64186111111111 10.787277777777778)"
4,3,T,DC,26,"=B8&"" - "" &B9",153.76666644429852,0.81,91.157272,"40°22'48""R",10.787277777777778,78.64186111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64186111111111 10.787277777777778, 78.64252777777779 10.785166666666667)"
5,4,T,DB,25,"=B9&"" - "" &B10",245.21067798545994,1.24,89.997589,"18°12'36""R",10.785166666666667,78.64252777777779,GOOD,NO E/W,"230 KV,HT",,AGRI,UP LINE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64252777777779 10.785166666666667, 78.64383333333333 10.784138888888888)"
6,5,T,DC,26,"=B10&"" - "" &B11",182.4808020610781,0.64,90,"54°21'36""L",10.784138888888888,78.64383333333333,GOOD,Available,"230 KV ,LT -2NO",,PLAIN,DOWN LINE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64383333333333 10.784138888888888, 78.64369444444445 10.781777777777778)"
7,6,S,DA,26,"=B11&"" - "" &B12",258.9832948011387,1.31,87.5318599999999,,10.781777777777778,78.64369444444445,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64369444444445 10.781777777777778, 78.64352777777779 10.779277777777779)"
8,7,S,DA,26,"=B12&"" - "" &B13",279.2125020945119,1.02,88.1058349999999,,10.779277777777779,78.64352777777779,GOOD,NO E/W,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64352777777779 10.779277777777779, 78.64336111111112 10.776861111111112)"
9,8,T,DB,25,"=B13&"" - "" &B14",266.3826584025917,2.56,86.298935,"27°46'12""R",10.776861111111112,78.64336111111112,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64336111111112 10.776861111111112, 78.64441666666667 10.774583333333334)"
10,9,S,DA,26,"=B14&"" - "" &B15",278.7621997358228,0.39,88.1121899999999,,10.774583333333334,78.64441666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64441666666667 10.774583333333334, 78.64547222222222 10.772277777777779)"
11,10,S,DA,26,"=B15&"" - "" &B16",278.56435683367835,1.64,88.065483,,10.772277777777779,78.64547222222222,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64547222222222 10.772277777777779, 78.64652777777779 10.770027777777779)"
12,11,S,DA,26,"=B16&"" - "" &B17",274.02005035461355,2.27,87.7067789999999,,10.770027777777779,78.64652777777779,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64652777777779 10.770027777777779, 78.64752777777778 10.767833333333334)"
