S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 37,3W,T,DC,26,,,,95.603699,,10.72825,78.70025,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70025 10.728250000000001, 78.70102777777778 10.726194444444445)"
2,1,,S,DA,26,LILO :37-1,241.7866541,0.77,94.512215,,10.72619444,78.70102778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70102777777778 10.726194444444445, 78.7016388888889 10.724722222222223)"
3,2,,T,DB,25,01-Feb,175.3384319,1.02,95.943558,"8°26'24""L",10.72472222,78.70163889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7016388888889 10.724722222222223, 78.70230555555555 10.722083333333334)"
4,3,,T,DB,25,02-Mar,301.035574,0.9,98.426315,"24°56'24""L",10.72208333,78.70230556,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70230555555555 10.722083333333334, 78.702 10.7205)"
5,4,,T,DC,26,03-Apr,179.761404,1.4,98.844009,"48°55'48""L",10.7205,78.702,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.702 10.7205, 78.69944444444445 10.719055555555556)"
6,5,,T,DB,25,04-May,319.5455845,0.4,99.404243,"25°54'36""R",10.71905556,78.69944444,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69944444444445 10.719055555555556, 78.69794444444445 10.716861111111111)"
7,6,,T,DB,25,05-Jun,293.2810421,0.73,100.189064,"26°4'12""R",10.71686111,78.69794444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69794444444445 10.716861111111111, 78.69763888888889 10.714666666666666)"
8,7,,S,DA,26,06-Jul,246.9933134,1.42,101.019424,,10.71466667,78.69763889,GOOD,Available,LT - 2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69763888888889 10.714666666666666, 78.69744444444444 10.713249999999999)"
9,8,,S,DA,25,07-Aug,156.3098938,3.2,102.751976,,10.71325,78.69744444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69744444444444 10.713249999999999, 78.69711111111111 10.710472222222222)"
10,9,,T,DC,26,08-Sep,311.4409028,1.77,102.825081,"51°45'0""R",10.71047222,78.69711111,GOOD,Available,LT - 2NO,Main Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69711111111111 10.710472222222222, 78.69841666666667 10.709194444444444)"
11,10,,S,DA,26,09-Oct,200.5244138,1.18,106.218796,,10.70919444,78.69841667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69841666666667 10.709194444444444, 78.69977777777778 10.70786111111111)"
12,11,2W,T,DB,25,10-Nov,211.2536077,0.7,106.710808,"24°55'48""R",10.70786111,78.69977778,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69977777777778 10.70786111111111, 78.702 10.707055555555554)"
13,12,,S,DA,26,11-Dec,258.2273917,1.42,103.149849,,10.70705556,78.702,GOOD,Available,HT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.702 10.707055555555554, 78.70422222222223 10.706222222222221)"
14,13,,S,DA,26,Dec-13,258.5587595,1,102.359207,,10.70622222,78.70422222,GOOD,Available,,Main Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70422222222223 10.706222222222221, 78.70641666666667 10.705444444444444)"
15,14,,T,DB,25,13-14,257.2517835,1.18,99.781174,"16°24'36""L",10.70544444,78.70641667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70641666666667 10.705444444444444, 78.70808333333333 10.70425)"
16,15,,S,DA,26,14-15,224.7938381,0.92,99.87944,,10.70425,78.70808333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70808333333333 10.70425, 78.71030555555556 10.702638888888888)"
17,16,,T,DB,25,15-16,301.5050052,1.21,99.484619,"27°4'48""L",10.70263889,78.71030556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71030555555556 10.702638888888888, 78.71141666666666 10.70036111111111)"
18,17,,T,DB,25,16-17,278.1978414,1.36,100.613945,"20°49'12""L",10.70036111,78.71141667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71141666666666 10.70036111111111, 78.71147222222223 10.700000000000001)"
19,Gantry (Mathur SS),2W,Gantry,H-POLE,12,17-Gantry,42.23736916,,101.178612,,10.7,78.71147222,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
