S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 01 ( 143 - 144),3W,T,DC,26,,,4.02,85.569359,,10.72955556,78.96930556,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96930555555556 10.729555555555555, 78.96936111111111 10.730555555555556)"
2,2,,T,DB,26,05-Jun,110.9835833,2.71,85.342606,"3°37'44"" R",10.73055556,78.96936111,GOOD,Available,"110 KV,LT,63 KV",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96936111111111 10.730555555555556, 78.96955555555556 10.73236111111111)"
3,3,,T,DB,26,06-Jul,201.3917227,3.01,85.330841,"1°17'48"" R",10.73236111,78.96955556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96955555555556 10.73236111111111, 78.96975 10.733805555555556)"
4,4,,S,DA,26,07-Aug,162.663067,1.34,82.964104,,10.73380556,78.96975,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96975 10.733805555555556, 78.97016666666667 10.736055555555554)"
5,5,,T,DB,26,08-Sep,250.80825,0.81,84.949333,"7°22'25"" L",10.73605556,78.97016667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97016666666667 10.736055555555554, 78.97025000000001 10.737833333333333)"
6,6,,S,DA,26,09-Oct,197.3717437,1.4,83.844193,,10.73783333,78.97025,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97025000000001 10.737833333333333, 78.97027777777778 10.739222222222221)"
7,7,,T,DB,26,10-Nov,153.8782933,2.06,83.387329,"11°13'48"" R",10.73922222,78.97027778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97027777777778 10.739222222222221, 78.97083333333333 10.741472222222221)"
8,8,,T,DB,26,11-Dec,255.9824006,2.52,83.448166,"46°3'41"" R",10.74147222,78.97083333,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97083333333333 10.741472222222221, 78.9695 10.7435)"
9,9,,T,DB,26,Dec-13,266.9344356,0.48,79.571663,"45°49'20"" L",10.7435,78.9695,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9695 10.7435, 78.97 10.745861111111111)"
10,10,,S,DA,26,13 - 14,266.0042055,1.17,78.178604,,10.74586111,78.97,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97 10.745861111111111, 78.97041666666667 10.747888888888887)"
11,11,,S,DA,26,14 - 15,228.5782908,4.89,78.955048,,10.74788889,78.97041667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97041666666667 10.747888888888887, 78.97075 10.7495)"
12,12,,S,DA,26,15 - 16,181.5927413,3.1,77.476509,,10.7495,78.97075,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97075 10.7495, 78.97122222222222 10.751777777777777)"
13,13,,T,DB,26,16 - 17,258.2207023,4.04,75.987762,"0°10'44"" L",10.75177778,78.97122222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97122222222222 10.751777777777777, 78.97163888888889 10.754)"
14,14,,T,DB,26,17 - 18,249.2638075,0.8,76.517372,"2°0'16"" L",10.754,78.97163889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97163888888889 10.754, 78.97200000000001 10.756166666666667)"
