S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,T,3W,DC,26,,,1.17,68.814247,,10.73927778,79.0365,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0365 10.739277777777778, 79.03725 10.736999999999998)"
2,2,T,,DB,25,188-1,265.2394156,3.4,68.098618,"21°16'48""L",10.737,79.03725,GOOD,Available,"LT-5NO,HT-3NO",Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03725 10.736999999999998, 79.03713888888889 10.734583333333333)"
3,3,S,,DA,26,01-Feb,267.8805627,4.01,68.246307,,10.73458333,79.03713889,GOOD,Available,LT-2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03713888888889 10.734583333333333, 79.03697222222222 10.732555555555555)"
4,4,S,,DA,26,02-Mar,226.553956,0.72,68.873184,,10.73255556,79.03697222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03697222222222 10.732555555555555, 79.03680555555556 10.730416666666667)"
5,5,T,,DB,25,03-Apr,235.7881428,1.53,68.099129,"3°52'12""L",10.73041667,79.03680556,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03680555555556 10.730416666666667, 79.03666666666666 10.729444444444445)"
6,6,T,,DB,25,04-May,109.9385721,2.64,68.076866,"29°49'12""R",10.72944444,79.03666667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03666666666666 10.729444444444445, 79.03736111111111 10.727777777777778)"
7,7,T,,DB,25,05-Jun,198.4713729,1.07,67.448578,"24°41'24""L",10.72777778,79.03736111,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03736111111111 10.727777777777778, 79.03727777777777 10.7265)"
8,8,T,,DB,25,06-Jul,140.9929225,3.61,67.496201,"3°1'12""R",10.7265,79.03727778,GOOD,Available,HT,NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03727777777777 10.7265, 79.03730555555555 10.724444444444444)"
9,9,S,,DA,26,07-Aug,228.9073534,2.18,68.963913,,10.72444444,79.03730556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03730555555555 10.724444444444444, 79.03733333333334 10.722)"
10,10,T,2W,DB,25,08-Sep,267.8447667,1.03,67.696884,"25°30'36""R",10.722,79.03733333,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03733333333334 10.722, 79.03830555555555 10.720027777777778)"
11,11,S,,DA,26,09-Oct,244.0255471,4.12,69.114754,,10.72002778,79.03830556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03830555555555 10.720027777777778, 79.03941666666667 10.717833333333333)"
12,12,T,,DB,25,10-Nov,271.9168795,2.67,69.193375,"0°40'12""L",10.71783333,79.03941667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03941666666667 10.717833333333333, 79.04052777777778 10.715527777777776)"
13,13,T,,DB,25,11-Dec,283.9543819,1.19,71.743622,"0°58'48""L",10.71552778,79.04052778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04052777777778 10.715527777777776, 79.04155555555555 10.71336111111111)"
