S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thuvakudi SS),Gantry,H-POLE,12,,,,95.7638469999999,,10.753305555555556,78.80061111111111,GOOD,,,,,Cement Pole,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80061111111111 10.753305555555556, 78.8008611111111 10.753222222222222)"
2, 78/6,T,DC,26,Gantry- 78/6,28.02269894902944,3.67,94.3359219999999,"90°42'36""L",10.753222222222222,78.8008611111111,GOOD,NO E/W,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8008611111111 10.753222222222222, 78.80013888888888 10.751166666666666)"
3, 78/5,T,DC,26, 78/6- 78/5,240.84806880992608,1.89,86.2753519999999,"54°21'0""R",10.751166666666666,78.80013888888888,GOOD,Available,HT - 2NO,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80013888888888 10.751166666666666, 78.80102777777778 10.749916666666666)"
4, 78/4,T,DB,25, 78/5- 78/4,168.35983938319055,2.37,87.0112299999999,"9°9'36""L",10.749916666666666,78.80102777777778,GOOD,Available,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80102777777778 10.749916666666666, 78.80180555555555 10.748416666666666)"
5, 78/3,S,DA,26, 78/4- 78/3,186.92398169467535,3.12,87.5721659999999,,10.748416666666666,78.80180555555555,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80180555555555 10.748416666666666, 78.80286111111111 10.74625)"
6, 78/2,T,DB,25, 78/3- 78/2,266.14610645455656,3.73,83.200699,"27°-40'48""L",10.74625,78.80286111111111,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80286111111111 10.74625, 78.80283333333333 10.745444444444443)"
7, 78/1,T,DB,25, 78/2- 78/1,88.78639630295163,2.07,83.5129469999999,"2°18'36""L",10.745444444444443,78.80283333333333,GOOD,Available,110 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80283333333333 10.745444444444443, 78.80280555555555 10.744972222222222)"
8,78,T,DC,26, 78/1-78,50.9745650219913,2.94,83.578117,,10.744972222222222,78.80280555555555,GOOD,Available,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
