S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Adhanakottai SS),Gantry,HPOLE,12,,,,113.537346,,10.518694444444446,78.95775,2W,,,,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95775 10.518694444444446, 78.95786111111111 10.518583333333334)"
2,1,T,DC,26,Gantry1,19.37994520041924,2.09,112.73568,"1°41'36"" L",10.518583333333334,78.95786111111111,,,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95786111111111 10.518583333333334, 78.95969444444445 10.51688888888889)"
3,2,T,DC,26,1  2,273.9153601285434,4.16,111.610321,"23°48'39"" R",10.51688888888889,78.95969444444445,,,,,GOOD,Available,"HT,66KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95969444444445 10.51688888888889, 78.96072222222223 10.514444444444445)"
4,3,T,DB,26,2 - 3,293.05690363620755,1.73,113.188309,"9°13'15"" L",10.514444444444445,78.96072222222223,,,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96072222222223 10.514444444444445, 78.96197222222223 10.512472222222222)"
5,4,T,DB,26,3 - 4,257.9634847461124,5.02,110.680756,"1°48'20"" L",10.512472222222222,78.96197222222223,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96197222222223 10.512472222222222, 78.96327777777778 10.510527777777778)"
6,5,T,DC,26,4 - 5,257.6765167096459,1.1,108.5597,"53°33'30"" L",10.510527777777778,78.96327777777778,,,,,GOOD,Available,"HT,LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96327777777778 10.510527777777778, 78.96511111111111 10.510444444444444)"
7,6,S,DA,26,5 - 6,200.90484552281745,3.15,105.854202,,10.510444444444444,78.96511111111111,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96511111111111 10.510444444444444, 78.96677777777778 10.510361111111111)"
8,7,S,DA,26,6 - 7,181.06036376427525,4.61,107.02449,,10.510361111111111,78.96677777777778,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96677777777778 10.510361111111111, 78.96925 10.51025)"
9,8,S,DA,26,7 - 8,272.46805223402026,2.59,100.84671,,10.51025,78.96925,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96925 10.51025, 78.97172222222223 10.51013888888889)"
10,9,S,DA,26,8 - 9,270.53493773159875,0.64,102.008461,,10.51013888888889,78.97172222222223,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97172222222223 10.51013888888889, 78.97413888888889 10.510055555555555)"
11,10,T,DB,26,9 - 10,266.12926988450903,1.33,106.147758,"8°50'24"" R",10.510055555555555,78.97413888888889,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97413888888889 10.510055555555555, 78.97622222222222 10.509666666666666)"
12,11,S,DA,26,10 - 11,231.64343109452983,2.83,104.834129,,10.509666666666666,78.97622222222222,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97622222222222 10.509666666666666, 78.97838888888889 10.509222222222222)"
13,12,S,DA,26,11 - 12,239.9425197951313,1.83,108.722404,,10.509222222222222,78.97838888888889,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97838888888889 10.509222222222222, 78.98052777777778 10.508777777777778)"
14,13,T,DB,26,12 - 13,241.90722900061652,1.74,110.753097999999,"11°51'21"" R",10.508777777777778,78.98052777777778,2W,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98052777777778 10.508777777777778, 78.98283333333333 10.50775)"
15,14,S,DA,26,13 - 14,274.44688925578623,1.03,112.488609,,10.50775,78.98283333333333,,,,,GOOD,Available,LT 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98283333333333 10.50775, 78.98505555555556 10.50675)"
16,15,S,DA,26,14 - 15,268.9750099687826,4.36,112.465569,,10.50675,78.98505555555556,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98505555555556 10.50675, 78.98727777777778 10.505722222222222)"
17,16,T,DC,26,15 - 16,267.993642679783,4.11,110.962959,"21°44'47"" L",10.505722222222222,78.98727777777778,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98727777777778 10.505722222222222, 78.98977777777777 10.505555555555556)"
18,17,S,DA,26,16 - 17,275.87324500816123,1.75,113.741966,,10.505555555555556,78.98977777777777,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98977777777777 10.505555555555556, 78.99236111111111 10.505416666666667)"
19,18,S,DA,26,17 - 18,282.6914469753553,3.07,114.378922,,10.505416666666667,78.99236111111111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99236111111111 10.505416666666667, 78.99491666666667 10.505277777777778)"
20,19,S,DA,26,18 - 19,279.7070308670253,4.26,112.938545,,10.505277777777778,78.99491666666667,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99491666666667 10.505277777777778, 78.99744444444444 10.505166666666666)"
21,20,S,DA,26,19 - 20,277.1526247520116,1.31,113.424507,,10.505166666666666,78.99744444444444,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99744444444444 10.505166666666666, 78.99994444444445 10.505083333333333)"
22,21,T,DB,26,20 - 21,274.7643834733759,5.01,111.584198,"1°40'0"" R",10.505083333333333,78.99994444444445,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99994444444445 10.505083333333333, 79.00244444444445 10.504916666666666)"
23,22,S,DA,26,21 - 22,272.75820690734855,1.4,110.195374,,10.504916666666666,79.00244444444445,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00244444444445 10.504916666666666, 79.00491666666667 10.504805555555556)"
24,23,S,DA,26,22 - 23,270.97290026931137,1.17,107.048782,,10.504805555555556,79.00491666666667,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00491666666667 10.504805555555556, 79.00747222222222 10.50463888888889)"
