S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 27,T,3W,DC,26,,,2,149.699051,,11.23686111,78.83580556,GOOD,,,,PLAIN,Common tower for Perambalur - Mangoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83580555555555 11.23686111111111, 78.8358611111111 11.23425)"
2,28,T,,SC,22,27-28,287.7634888,5.25,155.161346,"13°22'59""L",11.23425,78.83586111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8358611111111 11.23425, 78.8365 11.23188888888889)"
3,29,S,,SA,22,28-29,268.7493463,2.17,151.017639,,11.23188889,78.8365,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8365 11.23188888888889, 78.83713888888889 11.229305555555555)"
4,30,S,,SA,22,29-30,295.9423808,5.6,150.397964,,11.22930556,78.83713889,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83713888888889 11.229305555555555, 78.83772222222221 11.226750000000001)"
5,31,S,,SA,22,30-31,290.6885012,1.9,153.447662,,11.22675,78.83772222,GOOD,NO E/W,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83772222222221 11.226750000000001, 78.83841666666666 11.224194444444445)"
6,32,S,,SA,22,31-32,290.9633748,5.1,154.11911,,11.22419444,78.83841667,GOOD,NO E/W,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83841666666666 11.224194444444445, 78.83905555555555 11.221638888888888)"
7,33,S,,SA,22,32-33,290.9900258,6.11,155.876114,,11.22163889,78.83905556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83905555555555 11.221638888888888, 78.83969444444443 11.219222222222223)"
8,34,S,,SA,22,33-34,275.556536,5.06,155.004532,,11.21922222,78.83969444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83969444444443 11.219222222222223, 78.84027777777777 11.216805555555556)"
9,35,S,,SA,22,34-35,276.4792962,2.96,151.015503,,11.21680556,78.84027778,GOOD,Available,"LT, 11 KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84027777777777 11.216805555555556, 78.84088888888888 11.214416666666667)"
10,36,S,,SA,22,35-36,272.3653981,5.01,147.650024,,11.21441667,78.84088889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84088888888888 11.214416666666667, 78.84155555555554 11.211833333333333)"
11,37,S,,SA,22,36-37,295.5364788,4.67,143.394485,,11.21183333,78.84155556,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84155555555554 11.211833333333333, 78.84222222222222 11.209249999999999)"
12,38,T,,SC,22,37-38,293.7119162,4.31,145.443527,"18°57'8""L",11.20925,78.84222222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84222222222222 11.209249999999999, 78.84375 11.206944444444444)"
13,39,S,,SA,22,38-39,306.6302273,3.95,144.743759,,11.20694444,78.84375,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84375 11.206944444444444, 78.84533333333333 11.204527777777777)"
14,40,S,,SA,22,39-40,317.4770308,3.14,144.928314,,11.20452778,78.84533333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84533333333333 11.204527777777777, 78.84688888888888 11.202138888888888)"
15,41,S,,SA,22,40-41,314.1944133,1.78,146.852722,,11.20213889,78.84688889,GOOD,Available,LT - 2NO,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84688888888888 11.202138888888888, 78.8485 11.199777777777777)"
16,42,T,2W,SC,22,41-42,313.4432684,2.07,147.495697,"15°2'50""R",11.19977778,78.8485,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8485 11.199777777777777, 78.84927777777777 11.197444444444445)"
17,43,S,,SA,22,42-43,273.2027305,2.47,149.136276,,11.19744444,78.84927778,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84927777777777 11.197444444444445, 78.85013888888888 11.195083333333333)"
18,44,S,,SA,22,43-44,276.8260987,3.35,148.295166,,11.19508333,78.85013889,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85013888888888 11.195083333333333, 78.85097222222221 11.19261111111111)"
19,45,S,,SA,22,44-45,288.8520507,2.19,145.652832,,11.19261111,78.85097222,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85097222222221 11.19261111111111, 78.85180555555554 11.19025)"
20,46,S,,SA,22,45-46,278.1956339,2.52,144.511688,,11.19025,78.85180556,GOOD,NO E/W,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85180555555554 11.19025, 78.8526111111111 11.187861111111111)"
21,47,S,,SA,22,46-47,278.1643822,1.87,141.905807,,11.18786111,78.85261111,GOOD,NO E/W,HT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8526111111111 11.187861111111111, 78.85352777777777 11.185333333333334)"
22,48,S,,SA,22,47-48,295.9442438,2.12,142.726135,,11.18533333,78.85352778,GOOD,Available,LT,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85352777777777 11.185333333333334, 78.85430555555556 11.182972222222222)"
23,49,S,,SA,22,48-49,276.735264,1.29,142.224731,,11.18297222,78.85430556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85430555555556 11.182972222222222, 78.85525 11.18025)"
24,50,T,,SC,22,49-50,316.4657615,1.35,141.299393,"17°47'22""L",11.18025,78.85525,GOOD,Available,"HT,LT -2NO",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85525 11.18025, 78.85694444444444 11.178027777777777)"
25,51,S,,SA,22,50-51,306.415695,1.09,138.886551,,11.17802778,78.85694444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85694444444444 11.178027777777777, 78.85858333333333 11.17586111111111)"
26,52,S,,SA,22,51-52,300.222817,2.4,139.193817,,11.17586111,78.85858333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85858333333333 11.17586111111111, 78.86013888888888 11.173805555555555)"
27,LILO : 53,T,3W,DC,22,52-53,282.9892119,2,140.655411,"7°0'44""R",11.17380556,78.86013889,GOOD,Available,HT -3NO,,PLAIN,LILO to SIRUVACHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86013888888888 11.173805555555555, 78.86027777777777 11.17361111111111)"
28,55,T,,SC,22,53-55,27.54315173,1.72,140.587051,"6°19'8""L",11.17361111,78.86027778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86027777777777 11.17361111111111, 78.86175 11.17161111111111)"
29,56,T,,SC,22,55-56,273.6673951,2.1,138.375534,"0°29'34""R",11.17161111,78.86175,GOOD,Available,"LT,HT-3NO",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86175 11.17161111111111, 78.86325 11.169583333333332)"
30,57,T,2W,SC+3,25,56-57,280,1.66,140.250641,"84°54'47""L",11.16958333,78.86325,GOOD,Available,,,PLAIN,LILO to MRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86325 11.169583333333332, 78.86530555555555 11.170805555555555)"
