S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, 63/1,T,4W,DC,26,,,4.17,32.09687,,10.28311111,79.15566667,GOOD,,,,RIVER,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15566666666668 10.283111111111111, 79.15661111111112 10.28288888888889)"
2, 63/2,T,,DC,26, 63/1- 63/2,106.6965255,5.02,31.33601,"40°55'60"" R",10.28288889,79.15661111,GOOD,Available,66 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15661111111112 10.28288888888889, 79.15805555555556 10.280861111111111)"
3, 63/3,S,,DA,26, 63/2- 63/3,272.4101023,1.94,33.933846,,10.28086111,79.15805556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15805555555556 10.280861111111111, 79.15927777777779 10.278972222222222)"
4, 63/4,T,,DC,26, 63/3- 63/4,249.0792757,2.11,31.389984,"30°4'55"" L",10.27897222,79.15927778,GOOD,Available,LT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15927777777779 10.278972222222222, 79.16147222222223 10.27788888888889)"
5, 63/5,S,,DA,26, 63/4- 63/5,270.0457833,2.77,33.720757,,10.27788889,79.16147222,GOOD,Available,"LT,HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16147222222223 10.27788888888889, 79.16358333333334 10.276833333333334)"
6, 63/6,S,,DA,26, 63/5- 63/6,257.7224762,2.33,33.93578,,10.27683333,79.16358333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16358333333334 10.276833333333334, 79.16583333333334 10.275722222222223)"
7, 63/7,S,,DA,26, 63/6- 63/7,275.5476271,0.87,31.729921,,10.27572222,79.16583333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16583333333334 10.275722222222223, 79.16802777777778 10.274583333333334)"
8, 63/8,T,,DC,26, 63/7- 63/8,271.7419332,1.81,30.815859,"12°45'5"" R",10.27458333,79.16802778,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16802777777778 10.274583333333334, 79.16958333333334 10.27325)"
9, 63/9,T,,DC,26, 63/8- 63/9,224.7939122,2.17,30.921429,"33°14'44"" R",10.27325,79.16958333,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16958333333334 10.27325, 79.16988888888889 10.272222222222224)"
10, 63/10,T,,DC,26, 63/9- 63/10,117.8725473,1.73,29.268276,"36°20'51"" L",10.27222222,79.16988889,GOOD,Available,,Railway Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16988888888889 10.272222222222224, 79.17183333333334 10.270777777777779)"
