S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pattukottai SS),Gantry,2W,H-POLE,12,,,,38.210457,,10.43461111,79.30447222,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30447222222222 10.434611111111112, 79.30463888888889 10.4345)"
2,144,T,,DC,26,Gantry-144,21.10963376,3.24,38.130184,"77°22'13"" L",10.4345,79.30463889,GOOD,NO E/W,"2 LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30463888888889 10.4345, 79.30491666666667 10.434777777777779)"
3,143,T,,DC,26,144-143,43.52840002,1.18,39.77726,"22°47'21"" L",10.43477778,79.30491667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30491666666667 10.434777777777779, 79.30569444444444 10.43688888888889)"
4,142,S,,DA,26,143-142,247.0918756,5.03,39.163578,,10.43688889,79.30569444,GOOD,Available,"LT,2HT","ROAD,POND",Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30569444444444 10.43688888888889, 79.30661111111111 10.439333333333334)"
5,141,S,,DA,26,142-141,287.346973,5.62,38.434555,,10.43933333,79.30661111,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30661111111111 10.439333333333334, 79.307 10.440472222222223)"
6,140,T,,DC,26,141-140,135.0168582,2.46,37.925514,"1°4'41"" R",10.44047222,79.307,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.307 10.440472222222223, 79.30755555555555 10.441944444444445)"
7,139,T,,DC,26,140-139,173.6281537,5.19,36.504307,"0°23'4"" R",10.44194444,79.30755556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30755555555555 10.441944444444445, 79.3085 10.444444444444445)"
8,138,S,,DA,26,139-138,294.9688544,4.24,35.679569,,10.44444444,79.3085,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3085 10.444444444444445, 79.30924999999999 10.446583333333333)"
9,137,S,,DA,26,138-137,250.6517044,3.16,35.737064,,10.44658333,79.30925,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30924999999999 10.446583333333333, 79.31002777777778 10.448638888888889)"
10,136,T,,DC,26,137-136,241.6042714,2.94,33.903873,"23°40'26"" R",10.44863889,79.31002778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31002777777778 10.448638888888889, 79.30994444444444 10.451083333333333)"
11,135,S,,DA,26,136-135,270.0520672,3.07,34.481747,,10.45108333,79.30994444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30994444444444 10.451083333333333, 79.30991666666667 10.453277777777776)"
12,134,S,,DA,26,135-134,243.8262869,5.02,32.774979,,10.45327778,79.30991667,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30991666666667 10.453277777777776, 79.30983333333333 10.455472222222221)"
13,133,S,,DA,26,134-133,244.2461401,4.32,31.454332,,10.45547222,79.30983333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30983333333333 10.455472222222221, 79.30980555555556 10.457472222222222)"
14,LILO : 132 ,T,3W,DC,26,133-132 ,221.4010608,4.14,30.256475,"60°38'33"" L",10.45747222,79.30980556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30980555555556 10.457472222222222, 79.30830555555555 10.458277777777777)"
15,183,T,,SC,22,132 -183,184.2644014,3.16,32.242023,"11°25'50"" L",10.45827778,79.30830556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30830555555555 10.458277777777777, 79.30613888888888 10.458888888888888)"
16,182,T,,SC,22,183-182,247.0774625,2.65,32.298981,"8°36'35"" R",10.45888889,79.30613889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30613888888888 10.458888888888888, 79.30405555555555 10.45986111111111)"
