S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thirumakottai ss),Gantry,H-POLE,12,,,,21.373173,,10.525166666666667,79.44638888888889,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44638888888889 10.525166666666667, 79.44616666666667 10.525166666666667)"
2,10/A,T,DC,26,Gantry-10/A,24.352086589563328,,19.953623,"54°29'14"" R",10.525166666666667,79.44616666666667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44616666666667 10.525166666666667, 79.44536111111111 10.5265)"
3,LILO : 10,T,DC,26,10/A-10 ,171.64917441892706,7.11,19.1277289999999,"35°37'20"" L",10.5265,79.44536111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44536111111111 10.5265, 79.44547222222222 10.529416666666668)"
4,9,S,SA,22,10 LILO-9,324.943213191554,6.42,22.366554,,10.529416666666668,79.44547222222222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44547222222222 10.529416666666668, 79.44577777777778 10.532166666666667)"
5,8,S,SA,22,9-8,305.4365076072373,8.12,21.9208719999999,,10.532166666666667,79.44577777777778,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44577777777778 10.532166666666667, 79.44605555555556 10.534722222222221)"
6,7,S,SA,22,8-7,285.1274239860046,1.57,23.220703,,10.534722222222221,79.44605555555556,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44605555555556 10.534722222222221, 79.44633333333334 10.53738888888889)"
7,6,S,SA,22,7-6,295.67614041008477,3.16,23.805147,,10.53738888888889,79.44633333333334,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44633333333334 10.53738888888889, 79.4466388888889 10.540083333333333)"
8,5,S,SA,22,6-5,298.0428960392794,4.01,23.87302,,10.540083333333333,79.4466388888889,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4466388888889 10.540083333333333, 79.44694444444445 10.54275)"
9,4,T,SC,22,5-4,299.04760489678046,2.75,22.7241019999999,"80°42'45"" R",10.54275,79.44694444444445,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44694444444445 10.54275, 79.44958333333334 10.542861111111112)"
10,3,S,SA,22,4-3,289.5528992794986,2.38,23.513988,,10.542861111111112,79.44958333333334,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44958333333334 10.542861111111112, 79.45180555555555 10.542944444444444)"
11,2,T,SC,22,3-2,242.5611155267498,1.55,23.1713519999999,"75°50'27"" R",10.542944444444444,79.45180555555555,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45180555555555 10.542944444444444, 79.45222222222222 10.541555555555556)"
12,1,T,SC,22,2-1,160.56774533670986,2.4,24.487072,"61°47'56"" R",10.541555555555556,79.45222222222222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45222222222222 10.541555555555556, 79.45211111111111 10.541583333333334)"
13,Gantry (Koilkalapal SS),Gantry,H-POLE,12,1 - Gantry,9.802635644086942,,23.799488,,10.541583333333334,79.45211111111111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
