S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO : 66/1,T,3W,DC,26,,,1.23,31.03664,,10.61605556,79.39161111,GOOD,,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39161111111112 10.616055555555555, 79.39391666666667 10.615638888888888)"
2, 66/2,S,,DA,26, 66/1- 66/2,258.9456544,0.87,30.350159,,10.61563889,79.39391667,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39391666666667 10.615638888888888, 79.39647222222223 10.615222222222222)"
3, 66/3,S,,DA,26, 66/2- 66/3,282.3709225,1.46,33.272652,,10.61522222,79.39647222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39647222222223 10.615222222222222, 79.39886111111112 10.614777777777778)"
4, 66/4,T,,DC,26, 66/3- 66/4,265.5115855,2.41,32.505898,"25°24'35"" R",10.61477778,79.39886111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39886111111112 10.614777777777778, 79.40097222222222 10.613277777777778)"
5, 66/5,S,,DA,26, 66/4- 66/5,284.5137161,0.77,31.058599,,10.61327778,79.40097222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40097222222222 10.613277777777778, 79.40277777777779 10.611972222222223)"
6, 66/6,S,,DA,26, 66/5- 66/6,255,1.11,30.149786,,10.61197222,79.40277778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40277777777779 10.611972222222223, 79.40475 10.6105)"
7, 66/7,T,,DC,26, 66/6- 66/7,269.5500573,3.17,30.293755,"12°48'31"" L",10.6105,79.40475,GOOD,Available,2 LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40475 10.6105, 79.40691666666667 10.609555555555556)"
8, 66/8,S,,DA,26, 66/7- 66/8,259.2634223,5.27,32.140984,,10.60955556,79.40691667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40691666666667 10.609555555555556, 79.40891666666667 10.608638888888889)"
9, 66/9,S,,DA,26, 66/8- 66/9,257,3.01,28.727249,,10.60863889,79.40891667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40891666666667 10.608638888888889, 79.41119444444445 10.60763888888889)"
10, 66/10,S,,DA,26, 66/9- 66/10,272.3725192,2.69,30.436554,,10.60763889,79.41119444,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41119444444445 10.60763888888889, 79.41333333333334 10.606666666666666)"
11, 66/11,S,,DA,26, 66/10- 66/11,256.6006639,1.56,32.441479,,10.60666667,79.41333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41333333333334 10.606666666666666, 79.41480555555556 10.606027777777777)"
12, 66/12,T,2W,DC,26, 66/11- 66/12,180,2.73,31.679945,"12°29'41"" R",10.60602778,79.41480556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41480555555556 10.606027777777777, 79.41675000000001 10.60463888888889)"
