S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Krishnapuram SS),Gantry,2W,H-POLE,12,,,,149.046494,,11.37652778,78.78905556,GOOD,,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78905555555555 11.376527777777778, 78.789 11.376222222222223)"
2,65,T,,SC,22,Gantry-65,35.36800961,1.83,147.635071,"0°37'3"" R",11.37622222,78.789,GOOD,NO E/W,LT,Krishnapuram Village ,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.789 11.376222222222223, 78.78875 11.37488888888889)"
3,64,T,,SC,22,65-64,147.7122232,2.03,149.472366,"60°34'50"" R",11.37488889,78.78875,GOOD,Available,"LT,HT -2NO",Krishnapuram Village ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78875 11.37488888888889, 78.78613888888889 11.374)"
4,63,T,,SC,22,64-63,303.060657,1.67,148.812302,"57°50'2"" R",11.374,78.78613889,GOOD,Available,HT-2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78613888888889 11.374, 78.78458333333333 11.375222222222222)"
5,62,T,,SC,22,63-62,217.0186443,2.53,149.476807,"30°8'3"" R",11.37522222,78.78458333,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78458333333333 11.375222222222222, 78.78375 11.37738888888889)"
6,61,S,,SA,22,62-61,253.9871133,1.59,148.548187,,11.37738889,78.78375,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78375 11.37738888888889, 78.78280555555556 11.379666666666667)"
7,60,S,,SA,22,61-60,271.7646106,4.1,147.710983,,11.37966667,78.78280556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78280555555556 11.379666666666667, 78.78183333333334 11.382166666666667)"
8,59,S,,SA,22,60-59,297.4181541,3.91,145.871841,,11.38216667,78.78183333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78183333333334 11.382166666666667, 78.78091666666667 11.384611111111111)"
9,58,S,,SA,22,59-58,288.1737018,2.47,145.265701,,11.38461111,78.78091667,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78091666666667 11.384611111111111, 78.77983333333333 11.387305555555555)"
10,57,S,,SA,22,58-57,321.8251674,0.46,144.300766,,11.38730556,78.77983333,GOOD,Available,LT - 2NO,River,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77983333333333 11.387305555555555, 78.77891666666666 11.389638888888888)"
11,56,S,,SA,22,57-56,275.7147718,2.37,147.61322,,11.38963889,78.77891667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77891666666666 11.389638888888888, 78.77791666666667 11.392166666666666)"
12,55,S,,SA,22,56-55,301.2531557,2.09,148.925323,,11.39216667,78.77791667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77791666666667 11.392166666666666, 78.77686111111112 11.394777777777778)"
13,54,S,,SA,22,55-54,310.1277672,1.5,151.185059,,11.39477778,78.77686111,GOOD,Available,11KV,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77686111111112 11.394777777777778, 78.77594444444445 11.397194444444445)"
