S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 70/1,T,3W,DC,26,,,5.16,125.616081,,11.13763889,78.86888889,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86888888888888 11.137638888888889, 78.86883333333333 11.136138888888889)"
2,71,S,,SA,22, 70/1-71,167.9444028,3.22,124.549942,,11.13613889,78.86883333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86883333333333 11.136138888888889, 78.86869444444444 11.133861111111111)"
3,72,S,,SA,22,71-72,252.4005779,1.29,126.766716,,11.13386111,78.86869444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86869444444444 11.133861111111111, 78.86858333333333 11.131666666666668)"
4,73,T,,SC,22,72-73,242.3354268,2,131.09761,"28°58'1""",11.13166667,78.86858333,GOOD,Available,LT - 3No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86858333333333 11.131666666666668, 78.86983333333333 11.129222222222223)"
5,74,S,,SA,22,73-74,301.9242953,3.54,135.722656,,11.12922222,78.86983333,GOOD,Available,LT -2No,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86983333333333 11.129222222222223, 78.87102777777777 11.126861111111111)"
6,75,S,,SA,22,74-75,292.0445169,1.97,139.331375,,11.12686111,78.87102778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87102777777777 11.126861111111111, 78.87219444444443 11.124611111111111)"
7,76,S,,SA,22,75-76,280.0555014,3.35,139.559677,,11.12461111,78.87219444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87219444444443 11.124611111111111, 78.87333333333332 11.122361111111111)"
8,77,S,,SA,22,76-77,279.5123906,1.1,135.554245,,11.12236111,78.87333333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87333333333332 11.122361111111111, 78.87461111111111 11.119833333333334)"
9,78,S,,SA,22,77-78,311.1475789,2.21,130.692688,,11.11983333,78.87461111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87461111111111 11.119833333333334, 78.8758611111111 11.11738888888889)"
10,79,S,,SA,22,78-79,302.6129289,1.87,128.335037,,11.11738889,78.87586111,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8758611111111 11.11738888888889, 78.87691666666666 11.115333333333332)"
11,80,S,,SA,22,79-80,256.7069757,2.52,126.079842,,11.11533333,78.87691667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87691666666666 11.115333333333332, 78.87794444444444 11.113305555555556)"
12,81,S,,SA,22,80-81,249.9510624,3.47,124.289528,,11.11330556,78.87794444,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87794444444444 11.113305555555556, 78.87922222222221 11.110861111111111)"
13,82,S,,SA,22,81-82,306.6765605,2.22,123.379761,,11.11086111,78.87922222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87922222222221 11.110861111111111, 78.88041666666666 11.108472222222222)"
14,83,S,,SA,22,82-83,293.505491,4.17,127.514084,,11.10847222,78.88041667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88041666666666 11.108472222222222, 78.88152777777778 11.106277777777777)"
15,84,S,,SA,22,83-84,271.9659021,2.12,126.782036,,11.10627778,78.88152778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88152777777778 11.106277777777777, 78.88272222222221 11.103972222222222)"
16,85,S,,SA,22,84-85,285.038351,3.34,129.339951,,11.10397222,78.88272222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88272222222221 11.103972222222222, 78.88383333333334 11.10175)"
17,86,S,,SA,22,85-86,276.1153727,2.92,124.52578,,11.10175,78.88383333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88383333333334 11.10175, 78.8848888888889 11.099666666666668)"
18,87,T,2W,SC,22,86-87,256.460038,3.51,121.453117,"10°24'30""L",11.09966667,78.88488889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8848888888889 11.099666666666668, 78.8863888888889 11.097694444444445)"
