Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GT JAM.PURAM SS,GANTRY,2W,20,,,,116.335358,,11.03701543,78.49708612,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49708611815478 11.037015428111268, 78.4964001187171 11.036978419580189)"
36,DC,,26,GT-36,75.11300225,6.48,113.74453,"12°44'24""LT",11.03697842,78.49640012,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4964001187171 11.036978419580189, 78.49371112174559 11.036223422381575)"
35,DD,,28,36-35,305.6362165,9.11,108.654854,"54°11'17""LT",11.03622342,78.49371112,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49371112174559 11.036223422381575, 78.49288312264288 11.033969427228)"
34,DB,,24,35-34,265.3754061,7.52,105.754318,"8°22'59""LT",11.03396943,78.49288312,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49288312264288 11.033969427228, 78.49263212243312 11.032757422992782)"
33,DC,,26,34-33,136.9151008,4.5,105.673378,"25°46'0""LT",11.03275742,78.49263212,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49263212243312 11.032757422992782, 78.49297212206599 11.031430422537259)"
32,DB,,24,33-32,151.4952155,,107.514824,"4°59'16""LT",11.03143042,78.49297212,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49297212206599 11.031430422537259, 78.49379412168373 11.029097428272692)"
31,DC,,26,32-31,273.3943954,,109.357071,"17°24'40""LT",11.02909743,78.49379412,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49379412168373 11.029097428272692, 78.49461512081821 11.028005423284927)"
30,DD,,28,31-30,150.5444755,,108.459068,"63°25'6""LT",11.02800542,78.49461512,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49461512081821 11.028005423284927, 78.49689511829253 11.028403424418153)"
29,DD,,28,30-29,253.1445304,2.85,105.555847,"120°50'57""RT",11.02840342,78.49689512,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49689511829253 11.028403424418153, 78.49589811930018 11.025814424455517)"
28,DB,,24,29-28,306.5672351,4.35,106.532471,"10°53'36""LT",11.02581442,78.49589812,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49589811930018 11.025814424455517, 78.49558511975535 11.024245423185864)"
27,DA,,26,28-27,176.9864021,2.35,103.483398,,11.02424542,78.49558512,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49558511975535 11.024245423185864, 78.49520512062809 11.021927431502302)"
26,DA,,26,27-26,259.882111,6.75,100.479012,,11.02192743,78.49520512,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49520512062809 11.021927431502302, 78.49480612059942 11.01965542981087)"
25,DB,2W,24,26-25,255.2060272,2.75,105.970634,"10°31'14""LT",11.01965543,78.49480612,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49480612059942 11.01965542981087, 78.49485112064501 11.017668430235771)"
24,DA,,26,25-24,219.9625815,3.17,100.648819,,11.01766843,78.49485112,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49485112064501 11.017668430235771, 78.49487712088116 11.015632425152377)"
23,DA,,26,24-23,225.3490402,7.75,103.216881,,11.01563243,78.49487712,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49487712088116 11.015632425152377, 78.49487412030318 11.013574430805978)"
22,DA,,26,23-22,227.7649356,4.55,97.825638,,11.01357443,78.49487412,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49487412030318 11.013574430805978, 78.49488812054229 11.011723427185133)"
21,DC,,26,22-21,204.8620802,2.85,98.203278,"23°34'50""RT",11.01172343,78.49488812,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49488812054229 11.011723427185133, 78.49407412124512 11.009828431438176)"
20,DD,,28,21-20,227.8295287,3.95,108.267197,"47°7'38""LT",11.00982843,78.49407412,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49407412124512 11.009828431438176, 78.49503912057935 11.007772428164957)"
19,DA,,26,20-19,250.8182904,5.35,110.427658,,11.00777243,78.49503912,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49503912057935 11.007772428164957, 78.49555911978517 11.006553433739501)"
18,DD,,28,19-18,146.4018418,7.65,114.081017,"37°4'50""RT",11.00655343,78.49555912,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49555911978517 11.006553433739501, 78.49500212025791 11.00404142855244)"
17,DA,,26,18-17,284.6042445,10.15,107.618599,,11.00404143,78.49500212,GOOD,GOOD,"HT-2,LT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49500212025791 11.00404142855244, 78.49439212123944 11.00148543351973)"
16,DA,,26,`17-16,290.6370109,5.87,108.668869,,11.00148543,78.49439212,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49439212123944 11.00148543351973, 78.49375012212121 10.998780434631248)"
15,DB,,24,16-15,307.491068,3.25,108.087608,"6°45'35""LT",10.99878043,78.49375012,GOOD,GOOD,"LT-1,HT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49375012212121 10.998780434631248, 78.49356412221108 10.997118430114496)"
14,DA,,26,15-14,185.0602457,6.45,113.658684,,10.99711843,78.49356412,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49356412221108 10.997118430114496, 78.49345112239183 10.996056435543368)"
13,DD,2W,28,14-13,118.1819723,4.1,109.813766,"31°19'50""RT",10.99605644,78.49345112,GOOD,GOOD,HT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49345112239183 10.996056435543368, 78.49217712295518 10.994472433992097)"
12,DA,,26,13-Dec,223.9176802,4.35,108.167961,,10.99447243,78.49217712,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49217712295518 10.994472433992097, 78.49096412442995 10.992856431251907)"
11,DA,,26,12-Nov,222.6651046,1.95,107.067444,,10.99285643,78.49096412,GOOD,GOOD,"HT-1,LT-2",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49096412442995 10.992856431251907, 78.49005112512992 10.991774432198204)"
10,DA,,26,11-Oct,155.9061277,5.15,109.088264,,10.99177443,78.49005113,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49005112512992 10.991774432198204, 78.4890591259427 10.990433433598648)"
9,DC,,26,10-Sep,183.8287372,2.3,112.011124,"22°54'41""LT",10.99043343,78.48905913,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4890591259427 10.990433433598648, 78.48851912733481 10.988550435522376)"
8,DA,,26,09-Aug,216.6020333,7.25,109.048355,,10.98855044,78.48851913,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48851912733481 10.988550435522376, 78.4879921275762 10.986568439376546)"
