S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 14,T,3W,DC,26,,,2.25,86.495308,,10.76102778,78.65041667,GOOD,,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65041666666667 10.761027777777779, 78.64983333333333 10.760444444444444)"
2, 14/1,T,,DB,25,14- 14/1,90.33600784,0.91,87.423172,"3°22'48""R",10.76044444,78.64983333,GOOD,Available,110 KV ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64983333333333 10.760444444444444, 78.64805555555556 10.758444444444445)"
3, 14/2,S,,DA,26, 14/1- 14/2,295.790437,1.25,90.107346,,10.75844444,78.64805556,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64805555555556 10.758444444444445, 78.64622222222224 10.756333333333334)"
4, 14/3,S,,DA,26, 14/2- 14/3,308.7516328,3.09,91.631836,,10.75633333,78.64622222,GOOD,NO E/W,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64622222222224 10.756333333333334, 78.6443888888889 10.754277777777778)"
5, 14/4,S,,DA,26, 14/3- 14/4,301.7271988,4.01,92.568726,,10.75427778,78.64438889,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6443888888889 10.754277777777778, 78.64258333333333 10.752194444444445)"
6, 14/5,S,,DA,26, 14/4- 14/5,304.6640102,1.06,90.455521,,10.75219444,78.64258333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64258333333333 10.752194444444445, 78.64069444444445 10.75)"
7, 14/6,T,2W,DB,25, 14/5- 14/6,318.0652755,2.09,93.510406,"17°22'12""L",10.75,78.64069444,GOOD,NO E/W,,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64069444444445 10.75, 78.63863888888889 10.748722222222222)"
8, 14/7,T,,DB,25, 14/6- 14/7,266.2031464,1.56,94.039589,"24°45'36""R",10.74872222,78.63863889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63863888888889 10.748722222222222, 78.63716666666667 10.746527777777777)"
9, 14/8,S,,DA,26, 14/7- 14/8,290.8928812,1.16,93.338219,,10.74652778,78.63716667,GOOD,Available,,COLLEGE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63716666666667 10.746527777777777, 78.63541666666667 10.743972222222222)"
10, 14/9,S,,DA,26, 14/8- 14/9,342.6786048,2.47,91.49662,,10.74397222,78.63541667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63541666666667 10.743972222222222, 78.63388888888889 10.741666666666665)"
