S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Alangudi SS),Gantry,H-POLE,12,,,,85.984215,,10.379888888888889,78.99794444444444,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99794444444444 10.379888888888889, 78.99802777777778 10.380194444444445)"
2,105/14,T,DC,26,Gantry-105/14,35.54774998908618,0.63,89.957779,"59°41'16"" R",10.380194444444445,78.99802777777778,GOOD,NO E/W,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99802777777778 10.380194444444445, 78.99752777777778 10.38075)"
3,105/13,T,DC,26,105/14-105/13,81.94562324968051,7.26,90.1626969999999,"21°16'13"" L",10.38075,78.99752777777778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99752777777778 10.38075, 78.997 10.381027777777778)"
4,105/12,T,DC,26,105/13-105/12,65.15188896125635,4.93,92.765404,"35°58'31"" L",10.381027777777778,78.997,GOOD,Available,66 KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.997 10.381027777777778, 78.99402777777777 10.380611111111111)"
5,LILO :105/11,T,DC,26,105/12-105/11,328.7941179949147,2.19,93.8139039999999,"25°35'47"" L",10.380611111111111,78.99402777777777,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99402777777777 10.380611111111111, 78.99169444444445 10.379055555555556)"
6,105/10,T,SC,22,105/11-105/10,308.20504008186896,2.08,94.0006029999999,"37°57'15"" R",10.379055555555556,78.99169444444445,GOOD,NO E/W,"LT-4NO,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99169444444445 10.379055555555556, 78.98927777777777 10.379222222222223)"
7,105/9,S,SA,22,105/10-105/9,266.479953163124,5.07,92.21759,,10.379222222222223,78.98927777777777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98927777777777 10.379222222222223, 78.98686111111111 10.379472222222223)"
8,105/8,S,SA,22,105/9-105/8,267.30806514959926,4.32,92.713463,,10.379472222222223,78.98686111111111,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98686111111111 10.379472222222223, 78.98488888888889 10.379611111111112)"
9,105/7,S,SA,22,105/8-105/7,216.34026448030815,1.94,96.71666,,10.379611111111112,78.98488888888889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98488888888889 10.379611111111112, 78.98280555555556 10.379833333333334)"
10,105/6,T,SC,22,105/7-105/6,228.9705664779479,3.19,99.8767169999999,"33°2'28"" L",10.379833333333334,78.98280555555556,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98280555555556 10.379833333333334, 78.98072222222223 10.37875)"
11,105/5,S,SA,22,105/6-105/5,255.9005752435029,4.52,98.2096329999999,,10.37875,78.98072222222223,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98072222222223 10.37875, 78.97930555555556 10.378)"
12,105/4,S,SA,22,105/5-105/4,176.63509052214565,3.06,100.037659,,10.378,78.97930555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97930555555556 10.378, 78.97747222222222 10.377055555555556)"
13,105/3,S,SA,22,105/4-105/3,225.91084811297526,1.86,94.1368789999999,,10.377055555555556,78.97747222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97747222222222 10.377055555555556, 78.97575 10.376166666666666)"
14,105/2,T,SC,22,105/3-105/2,214.09465284392644,4.77,96.979218,"25°5'32"" L",10.376166666666666,78.97575,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97575 10.376166666666666, 78.97455555555555 10.374638888888889)"
15,105/01,S,SA,22,105/2-105/01,212.31209031836022,2.06,93.9296339999999,,10.374638888888889,78.97455555555555,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97455555555555 10.374638888888889, 78.97333333333333 10.373111111111111)"
16,LILO : 105,T,DB,26,105/01-105,217.0067338506145,1.46,94.7829969999999,"0°20'13"" L",10.373111111111111,78.97333333333333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97333333333333 10.373111111111111, 78.97200000000001 10.371416666666667)"
17,106,S,SC,22, 105-106,235.92370629944375,1.12,90.2364879999999,,10.371416666666667,78.97200000000001,GOOD,Available,HT-2NO,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97200000000001 10.371416666666667, 78.97086111111112 10.369944444444444)"
18,107,T,SB,22,106-107,206.23191714951577,6.14,84.887718,"13°15'33"" R",10.369944444444444,78.97086111111112,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97086111111112 10.369944444444444, 78.96938888888889 10.368777777777778)"
19,108,S,SA,22,107-108,206.33408656279673,3.52,83.5933689999999,,10.368777777777778,78.96938888888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96938888888889 10.368777777777778, 78.96794444444444 10.367583333333334)"
20,109,S,SA,22,108-109,206.24953074454135,3.11,73.054657,,10.367583333333334,78.96794444444444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96794444444444 10.367583333333334, 78.9658888888889 10.365888888888888)"
21,110,S,SA,22,109-110,292.09944939943915,2.47,76.914055,,10.365888888888888,78.9658888888889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9658888888889 10.365888888888888, 78.96427777777778 10.364583333333332)"
22,111,S,SA,22,110-111,228.78736252480113,5.38,71.514801,,10.364583333333332,78.96427777777778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96427777777778 10.364583333333332, 78.96244444444444 10.363111111111111)"
23,112,S,SA,22,111-112,259.88609956561777,7.29,68.474052,,10.363111111111111,78.96244444444444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96244444444444 10.363111111111111, 78.96097222222222 10.361888888888888)"
24,113,S,SA,22,112-113,209.1168162743973,0.24,73.5144499999999,,10.361888888888888,78.96097222222222,GOOD,Available,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96097222222222 10.361888888888888, 78.95905555555557 10.360333333333333)"
