S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1.0,Gantry (Karambayam SS ),Gantry,H-POLE,12.0,,,2.06,51.283371,,10.551166666666667,79.26263888888889,GOOD,,,,PLAIN,N.T. KUDI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26263888888889 10.551166666666667, 79.26263888888889 10.551527777777778)"
2.0,1.0,T,DC,26.0,Gantry-1,38.828624233651226,0.17,50.165554,"13°54'58"" L",10.551527777777778,79.26263888888889,GOOD,NO E/W,,SS Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26263888888889 10.551527777777778, 79.26233333333333 10.552666666666667)"
3.0,2.0,T,DC,26.0,1-2,129.7803340012338,1.23,47.934254,"43°10'35"" L",10.552666666666667,79.26233333333333,GOOD,Available,LT -2NO,NT KUDI SS ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26233333333333 10.552666666666667, 79.26041666666667 10.553833333333333)"
4.0,3.0,T,DC,26.0,2-3,244.35552793411853,1.78,45.7649499999999,"6°59'40"" L",10.553833333333333,79.26041666666667,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26041666666667 10.553833333333333, 79.25822222222222 10.554833333333335)"
5.0,4.0,S,DA,26.0,3-4,265.81422957120265,2.17,44.287193,,10.554833333333335,79.25822222222222,GOOD,Available,LT -3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25822222222222 10.554833333333335, 79.25583333333333 10.555972222222223)"
6.0,5.0,S,DA,26.0,4-5,288.7730076333975,1.96,41.368431,,10.555972222222223,79.25583333333333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25583333333333 10.555972222222223, 79.2538888888889 10.556916666666668)"
7.0,6.0,T,DC,26.0,5-6,236.6936421233405,3.02,39.960625,"12°38'50"" L",10.556916666666668,79.2538888888889,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2538888888889 10.556916666666668, 79.25266666666667 10.557194444444445)"
8.0,7.0,T,DC,26.0,6-7,137.76009870071175,1.19,38.91288,"19°22'8"" R",10.557194444444445,79.25266666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25266666666667 10.557194444444445, 79.2508888888889 10.558305555555556)"
9.0,8.0,T,DC,26.0,7-8,232.31926060587782,2.65,37.924751,"13°11'4"" L",10.558305555555556,79.2508888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2508888888889 10.558305555555556, 79.24822222222222 10.55925)"
10.0,9.0,S,DA,26.0,8-9,309.696130570146,1.69,38.092407,,10.55925,79.24822222222222,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24822222222222 10.55925, 79.24597222222222 10.56)"
