,Tower No, Supspension / Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KOILVENNI 110KV SS,GANTRY,GANTRY,GANTRY,20,,YES,,,,,79.35908333333333,10.785277777777777,GOOD,,,,,SS,Common section (Gty to 114) of Kovilveni - Thiruvarur and Kovilveni - Vaduvur.this section considered in kovilveni - vaduvoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35908333333333 10.785277777777777, 79.35927777777778 10.785527777777778)"
2,T.NO-116,T,DD,DC,28,GANTRY-116,YES,35,1.8,38,"54°27'16.65""",79.35927777777778,10.785527777777778,GOOD,NO EARTH WIRE,YES,11KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35927777777778 10.785527777777778, 79.3608611111111 10.7855)"
3,T.NO-115,T,DD,DC,28,116-115,YES,173.04623659588788,1.01,32,"44°48'18.39""",79.3608611111111,10.7855,GOOD,GOOD,NO,"11KV, LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3608611111111 10.7855, 79.36247222222222 10.783861111111111)"
4,T.NO-114 LILO TO VADUVOOR 110KV,T,DD,DC,28,115-114,NO,251.07170290576354,1.41,34,"35°42'3.96""",79.36247222222222,10.783861111111111,GOOD,GOOD,NO,"2nos 11KV, 2nos LT",,CULTIVATION,(NEED JUCTION BOX) 2 EARTH WIRE. 1 E/W CONNECT TO VADUVOOR 110KV T.NO-4 OUR E/W CONTINUE TO T.NO-113 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36247222222222 10.783861111111111, 79.36397222222222 10.78361111111111)"
5,T.NO-113,T,SB,SC,24,114-113,NO,165.73774464496614,1.69,32,"3°11'29.78""",79.36397222222222,10.78361111111111,GOOD,GOOD,NO,"2nos 11KV, LT",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36397222222222 10.78361111111111, 79.36627777777777 10.783333333333333)"
6,T.NO-112,S,SA,SC,26,113-112,NO,254.02362094891885,1.91,28,,79.36627777777777,10.783333333333333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36627777777777 10.783333333333333, 79.36902777777777 10.783027777777779)"
7,T.NO-111,S,SA,SC,26,112-111,NO,303.7976300105055,1.21,31,,79.36902777777777,10.783027777777779,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36902777777777 10.783027777777779, 79.37172222222222 10.782722222222223)"
8,T.NO-110,S,SA,SC,26,111-110,YES,295.0830391601659,1.61,29,,79.37172222222222,10.782722222222223,GOOD,GOOD,NO,,"TAAR ROAD, 2nos NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37172222222222 10.782722222222223, 79.37441666666666 10.782444444444446)"
9,T.NO-109,S,SA,SC,26,110-109,NO,298.93979326948096,1.61,31,,79.37441666666666,10.782444444444446,GOOD,GOOD,NO,,,CULTIVATION,1 LEG CONCRETE BROKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37441666666666 10.782444444444446, 79.37722222222222 10.782083333333334)"
10,T.NO-108,S,SA,SC,26,109-108,NO,308.60330523181375,1.39,31,,79.37722222222222,10.782083333333334,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37722222222222 10.782083333333334, 79.37966666666667 10.781833333333335)"
