,Tower No,CIRCUIT, Supspension/Tenion,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(?),GPS Co Ordinates,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks
S. No ,,,,Joint box,,,,,,,,Long.,Lat.,,,,Power Line,"Rail,Road,River",,
1,GANTRY  KOVILVENI,GANTRY,T,2 way,20,,,,,,,"79°21'33.2"" E","10°47'06.9"" N",,,,,,,
2,T.NO 116,DC,T,,28,GANTRY-116,YES,27,1.83,38,"77°20'39.87""","79°21'33.4"" E","10°47'07.8"" N",GOOD,GOOD,YES,,,PLAIN LAND,NO EARTH WIRE
3,T.NO-115,DC,T,,28,116-115,YES,169,1.01,32,"45°38'15.05""","79°21'39.0"" E","10°47'07.8"" N",GOOD,GOOD,NO,"11 KV,LT",TAAR ROAD,CULTIVATION LAND,INSIDE FENCH
4,T.NO 114,DC,T,3 way,24,115-114,NO,249,1.41,28,"00°00'00.00""","79°21'44.7"" E","10°47'02.0"" N",GOOD,GOOD,NO,"11KV-2NOS,LT-2NOS",TAAR ROAD,CULTIVATION LAND,"2 EARTH WIRE (NEED JUCTION BOX) 1 EARTH WIRE CONTINUE TO OUR T.NO-1, AND OTHER EARTH WIRE CONNECT TO THIRUVARUR 110KV T.NO-113"
5,T.NO 1,SC,T,,26,114-1,YES,247,2.01,29,"18°38'37.23""","79°21'50.5"" E","10°46'56.3"" N",GOOD,GOOD,NO,"11KV-2NOS ,LT-1",MUD ROAD,CULTIVATION LAND,
6,T.NO 2,SC,S,,26,1--2,NO,246,0.47,30,,"79°21'57.7"" E","10°46'52.8"" N",GOOD,GOOD,NO,"11 KV,LT",,CULTIVATION LAND,
7,T.NO 3,SC,S,,26,02-Mar,NO,279,1.17,30,,"79°22'06.0"" E","10°46'48.8"" N",GOOD,GOOD,NO,"11 KV,LT",,CULTIVATION LAND,
8,T.NO 4,SC,T,,24,03-Apr,NO,236,1.09,27,"11°44'41.30""","79°22'12.9"" E","10°46'45.4"" N",GOOD,GOOD,NO,11KV-2NOS,MUD ROAD,CULTIVATION LAND,
9,T.NO 5,SC,S,,26,04-May,YES,217,0.89,27,,"79°22'19.8"" E","10°46'43.6"" N",GOOD,GOOD,NO,"11 KV,LT",,CULTIVATION LAND,
10,T.NO 6,SC,T,,24,05-Jun,YES,230,,27,"3°16'8.75""","79°22'27.2"" E","10°46'41.7"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,
11,T.NO 7,SC,S,,26,06-Jul,YES,229,1.09,30,,"79°22'34.6"" E","10°46'40.3"" N",GOOD,GOOD,NO,"11KV-1NOS,LT-2NOS",TAAR ROAD,CULTIVATION LAND,
12,T.NO 8,SC,T,,28,07-Aug,YES,186,2.99,28,"62°3'8.10""","79°22'40.6"" E","10°46'39.3"" N",GOOD,GOOD,YES,,,CULTIVATION LAND,
13,T.NO 9 DC,DC,T,,38,08-Sep,YES,178,1.72,28,"27°15'25.81""","79°22'42.5"" E","10°46'33.8"" N",GOOD,GOOD,YES,,,CULTIVATION LAND,
14,T.NO 10 DC,DC,T,,36,09-Oct,YES,122,0.39,30,"5°52'21.99""","79°22'41.9"" E","10°46'29.9"" N",GOOD,GOOD,YES,,TAAR ROAD(SH),PLAIN LAND,ELECTRICAL RAILWAY CROSSING
15,T.NO 11 ,SC,T,,24,10-Nov,YES,110,1.81,27,"5°52'21.99""","79°22'41.0"" E","10°46'26.4"" N",GOOD,GOOD,NO,LT,,PLAIN LAND,
16,T.NO 12,SC,T,,28,11-Dec,YES,227,1.69,31,"55°6'18.41""","79°22'34.9"" E","10°46'22.1"" N",GOOD,GOOD,NO,LT- 2 NOS,,CULTIVATION LAND,
17,T.NO 13,SC,S,,26,Dec-13,YES,179,,28,,"79°22'29.4"" E","10°46'24.0"" N",GOOD,GOOD,NO,"LT,11KV",MUD ROAD,CULTIVATION LAND,WATER SURROUNDED
18,T.NO 14,SC,S,,26,13-14,NO,284,,29,,"79°22'20.4"" E","10°46'26.5"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,
19,T.NO 15,SC,T,2 way,26,14-15,NO,289,1.69,34,"15°12'54.87""","79°22'11.5"" E","10°46'29.8"" N",GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,
20,T.NO 16,SC,S,,26,15-16,NO,244,1.1,37,,"79°22'03.5"" E","10°46'30.6"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
21,T.NO 17,SC,T,,28,16-17,NO,249,,34,"31°10'51.07""","79°21'55.4"" E","10°46'31.5"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED
22,T.NO 18,SC,S,,26,17-18,NO,234,,35,,"79°21'48.4"" E","10°46'28.3"" N",GOOD,GOOD,YES,LT-2NOS,,CULTIVATION LAND,WATER SURROUNDED
23,T.NO 19,SC,T,,28,18-19,YES,219,,35,"29°25'24.94""","79°21'41.9"" E","10°46'25.2"" N",GOOD,GOOD,NO,,,PLAIN LAND,WATER SURROUNDED
24,T.NO 20,SC,S,,26,19-20,YES,292,2.07,31,,"79°21'36.4"" E","10°46'17.4"" N",GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,CULTIVATION LAND,
25,T.NO 21,SC,S,,26,20-21,NO,202,1.89,30,,"79°21'32.7"" E","10°46'12.0"" N",GOOD,GOOD,NO,"11KV,LT",,CULTIVATION LAND,
26,T.NO 22,SC,S,,26,21-22,NO,301,1.06,27,,"79°21'27.1"" E","10°46'03.8"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
27,T.NO 23,SC,T,,28,22-23,NO,314,1.96,31,"29°35'14.24""","79°21'24.8"" E","10°45'53.9"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
28,T.NO 24,SC,S,,26,23-24,NO,249,0.96,29,,"79°21'19.2"" E","10°45'48.0"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,
29,T.NO 25,SC,S,,26,24-25,NO,212,1.36,30,,"79°21'14.5"" E","10°45'42.9"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,
30,T.NO 26,SC,T,,26,25-26,NO,232,1.89,35,"24°55'5.20""","79°21'09.4"" E","10°45'37.2"" N",GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,
31,T.NO 27,SC,T,,26,26-27,YES,158,,27,"27°7'21.30""","79°21'07.9"" E","10°45'32.3"" N",GOOD,GOOD,NO,,,CULTIVATION LAND,WATER SURROUNDED
32,T.NO 28,SC,S,,26,27-28,YES,344,,29,,"79°21'00.0"" E","10°45'24.3"" N",GOOD,GOOD,NO,LT,,CULTIVATION LAND,WATER SURROUNDED
33,T.NO 29,SC,S,,26,28-29,NO,274,1.91,30,,"79°20'55.2"" E","10°45'16.7"" N",GOOD,GOOD,NO,"11KV,LT",,CULTIVATION LAND,
