S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,Availability of road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,MAYILADUDURAI 110KV GANTRY,GANTRY,2W,,,20,,YES,,,21,,79.64544444,11.08011111,GOOD,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64544444444445 11.08011111111111, 79.64527777777778 11.08011111111111)"
2,T.NO-48,T,,SB,SC,24,GANTRY-48,YES,18,2.11,20,"3°39'55""",79.64527778,11.08011111,GOOD,GOOD,YES,,,PLAIN LAND,"BUSHES, NO EARTH WIRE ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64527777777778 11.08011111111111, 79.64269444444444 11.079944444444445)"
3,T.NO-47,S,,SA,SC,26,48-47,YES,281.5759223,2.62,16,,79.64269444,11.07994444,GOOD,GOOD,NO,"LT, 2nos 11KV",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64269444444444 11.079944444444445, 79.64030555555556 11.079805555555556)"
4,T.NO-46,S,,SA,SC,26,47-46,NO,261.4899616,2.19,16,,79.64030556,11.07980556,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64030555555556 11.079805555555556, 79.63772222222222 11.079611111111111)"
5,T.NO-45,S,,SA,SC,26,46-45,NO,281.7108447,2.01,18,,79.63772222,11.07961111,4LEG CONCRETE DAMAGE,GOOD,NO,,CANAL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63772222222222 11.079611111111111, 79.63533333333334 11.079444444444444)"
6,T.NO-44,T,,SB,SC,24,45-44,NO,263.548857,2.27,18,"8°26'26""",79.63533333,11.07944444,4LEG CONCRETE DAMAGE,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63533333333334 11.079444444444444, 79.63291666666666 11.078916666666666)"
7,T.NO-43,S,,SA,SC,26,44-43,NO,271.0608788,2.31,18,,79.63291667,11.07891667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63291666666666 11.078916666666666, 79.63080555555555 11.078444444444445)"
8,T.NO-42,T,,SB,SC,30,43-42,NO,236.562888,2.52,18,"9°38'39""",79.63080556,11.07844444,GOOD,GOOD,YES,LT,CANAL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63080555555555 11.078444444444445, 79.62986111111111 11.078055555555554)"
9,T.NO-41,T,,SC,SC,32,42-41,NO,109.0045871,2.72,18,"18°16'49""",79.62986111,11.07805556,GOOD,GOOD,YES,,ELECTRICAL RAILWAY CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62986111111111 11.078055555555554, 79.62877777777777 11.078)"
10,T.NO-40,T,,SB,SC,24,41-40,NO,120.266371,2.29,17,"9°4'38""",79.62877778,11.078,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62877777777777 11.078, 79.62616666666666 11.077388888888889)"
