S. No ,Tower No, Supspension/Tenion,JOINT BOX,Tower Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTHING AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO T.NO-1,T,3W,LILO,DC,29,,NO,,1.39,14,,11.02738889,79.66775,GOOD,GOOD,NO,,,CULTIVATION,"NEED JUCTION BOX, lilo to Peralam to Perambur line",,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66775 11.02738888888889, 79.66797222222223 11.02827777777778)"
2,T.NO-121,T,,SC,SC,26,T.NO-1LILO - T.NO-121,NO,100.1698557,1.6,24,"15°41'28""",11.02827778,79.66797222,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66797222222223 11.02827777777778, 79.66794444444444 11.029944444444446)"
3,T.NO-122,S,,SA,SC,26,121-122,NO,185.0432382,1.39,22,,11.02994444,79.66794444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66794444444444 11.029944444444446, 79.66780555555556 11.03163888888889)"
4,T.NO-123,S,,SA,SC,32,122-123,YES,188.5205559,1.46,16,,11.03163889,79.66780556,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66780555555556 11.03163888888889, 79.66777777777779 11.033472222222223)"
5,T.NO-124,S,,SA,SC,32,123-124,NO,203.009852,1.59,17,,11.03347222,79.66777778,GOOD,GOOD,NO,"11KV, LT","TAAR ROAD, RIVER",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66777777777779 11.033472222222223, 79.66761111111111 11.035055555555555)"
6,T.NO-125,S,,SA,SC,26,124-125,NO,175.7299064,1.93,19,,11.03505556,79.66761111,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66761111111111 11.035055555555555, 79.66769444444445 11.037166666666666)"
7,T.NO-126,T,,SB,SC,24,125-126,YES,232.1745033,,7,"2°2'4""",11.03716667,79.66769444,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66769444444445 11.037166666666666, 79.66783333333333 11.039111111111112)"
8,T.NO-127,S,,SA,SC,26,126-127,YES,215.5945268,2.04,13,,11.03911111,79.66783333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66783333333333 11.039111111111112, 79.66819444444445 11.041194444444445)"
9,T.NO-128,S,,SA,SC,26,127-128,NO,233.2830898,1.89,20,,11.04119444,79.66819444,GOOD,GOOD,NO,33KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66819444444445 11.041194444444445, 79.66852777777778 11.042722222222222)"
10,T.NO-129,T,,SD,SC,28,128-129,NO,173.6692258,1.99,12,"44°19'43""",11.04272222,79.66852778,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66852777777778 11.042722222222222, 79.66758333333334 11.044277777777777)"
11,T.NO-130,S,,SA,SC,26,129-130,NO,201.8539076,2.29,12,,11.04427778,79.66758333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66758333333334 11.044277777777777, 79.66666666666667 11.046138888888889)"
12,T.NO-131,S,,SA,SC,26,130-131,NO,230.3584164,2.16,14,,11.04613889,79.66666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66666666666667 11.046138888888889, 79.66569444444445 11.047888888888888)"
13,T.NO-132,T,,SB,SC,24,131-132,NO,220.1181501,1.69,13,"5°13'11""",11.04788889,79.66569444,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66569444444445 11.047888888888888, 79.66486111111112 11.049861111111111)"
14,T.NO-133,S,,SA,SC,26,132-133,NO,235.6968392,1.65,13,,11.04986111,79.66486111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66486111111112 11.049861111111111, 79.66405555555556 11.051777777777778)"
15,T.NO-134,S,,SA,SC,26,133-134,NO,228.7793697,1.01,12,,11.05177778,79.66405556,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66405555555556 11.051777777777778, 79.66322222222223 11.053722222222223)"
16,T.NO-135,S,,SA,SC,26,134-135,NO,233.8567938,1.89,15,,11.05372222,79.66322222,GOOD,GOOD,NO,"11KV, 3nos LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66322222222223 11.053722222222223, 79.66241666666667 11.055527777777778)"
17,T.NO-136,S,,SA,SC,26,135-136,NO,219.1551962,1.39,15,,11.05552778,79.66241667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66241666666667 11.055527777777778, 79.66163888888889 11.057444444444446)"
18,T.NO-137,S,,SA,SC,26,136-137,NO,228.7793697,2.1,13,,11.05744444,79.66163889,GOOD,GOOD,NO,"LT, 11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66163888888889 11.057444444444446, 79.66083333333334 11.059305555555556)"
19,T.NO-138,T,2W,SB,SC,27,137-138,YES,223.6179778,2.17,15,"13°58'27""",11.05930556,79.66083333,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66083333333334 11.059305555555556, 79.65947222222223 11.061083333333334)"
