Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Gantry Vilupuram 110KV  SS,Gantry,T,20,,,,,50.4,,11.940035210678069,79.48452551698767,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48452551698767 11.940035210678069, 79.48472451670301 11.9405592135951)"
502,SC,T,26,Gantry- 502,,=SQRT((K8-K7)^2+(L8-L7)^2),,48.95,"14d37'24""RT",11.9405592135951,79.48472451670301,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48472451670301 11.9405592135951, 79.4848385167537 11.941649209874265)"
501,SD,T,28,502-501,,=SQRT((K9-K8)^2+(L9-L8)^2),5.38,50.12," 30d42'9""RT",11.941649209874265,79.4848385167537,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4848385167537 11.941649209874265, 79.48385251691941 11.943748208557013)"
500,SA,S,26,501-500,,=SQRT((K10-K9)^2+(L10-L9)^2),4.72,49.56,,11.943748208557013,79.48385251691941,GOOD,GOOD,"H t-1,Lt-2",Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48385251691941 11.943748208557013, 79.48322151745347 11.945251205899359)"
499,SA,S,26,500-499,,=SQRT((K11-K10)^2+(L11-L10)^2),5.05,51.04,,11.945251205899359,79.48322151745347,GOOD,GOOD,"Lt-4,Ht-1",Railway track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48322151745347 11.945251205899359, 79.48246451715615 11.946784203978277)"
498,SC,T,26,499-498,,=SQRT((K12-K11)^2+(L12-L11)^2),7.14,51.74," 26d7'46""LT",11.946784203978277,79.48246451715615,GOOD,GOOD,"Lt-3,Ht-1",Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48246451715615 11.946784203978277, 79.48247439154827 11.949583138462723)"
497,SA,S,26,498-497,,=SQRT((K13-K12)^2+(L13-L12)^2),7.5,50.02,,11.949583138462723,79.48247439154827,GOOD,GOOD,"Lt-3,",Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48247439154827 11.949583138462723, 79.48248905287477 11.952367685950305)"
496,SA,S,26,497-496,,=SQRT((K14-K13)^2+(L14-L13)^2),,48.98,,11.952367685950305,79.48248905287477,GOOD,GOOD,Lt-2,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48248905287477 11.952367685950305, 79.48249322130327 11.954923156073157)"
495,SA,S,26,496-495,,=SQRT((K15-K14)^2+(L15-L14)^2),4.353,47.95,,11.954923156073157,79.48249322130327,GOOD,GOOD,"Lt-1,Ht-1",Car Track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48249322130327 11.954923156073157, 79.48250122578285 11.957194153868192)"
494,SA,S,26,495-494,,=SQRT((K16-K15)^2+(L16-L15)^2),2.54,46.55,,11.957194153868192,79.48250122578285,GOOD,GOOD,"Ht-2,Lt-1",Road Highway,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48250122578285 11.957194153868192, 79.48251251709786 11.959528202140328)"
