S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,198 ( LILO:1),3W,T,DC,26,,,,,311.294464,,10.00136111,77.46136111,GOOD,Available,,,Plain,LILO AT BODI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46136111111112 10.00136111111111, 77.46047222222222 10.001055555555556)"
2,3,,T,DB,25,LILO-3,112,0.38,FALSE,310.403442,"7°17'60""L",10.00105556,77.46047222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46047222222222 10.001055555555556, 77.45980555555556 10.000916666666667)"
3,4,,T,H-POLE,12,03-Apr,78,NIL,FALSE,311.16629,,10.00091667,77.45980556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45980555555556 10.000916666666667, 77.45958333333334 10.001083333333334)"
4,5,,T,H-POLE,12,04-May,33,NIL,FALSE,309.459137,,10.00108333,77.45958333,GOOD,Available,230 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45958333333334 10.001083333333334, 77.45941666666667 10.00125)"
5,6,,T,DC+3,29,05-Jun,26.89103019,1.4,FALSE,310.587524,"56°37'48""R",10.00125,77.45941667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45941666666667 10.00125, 77.45705555555556 10.000722222222223)"
6,7,,S,DA,26,06-Jul,266,7.32,FALSE,309.190369,,10.00072222,77.45705556,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45705555555556 10.000722222222223, 77.45497222222222 10.000277777777777)"
7,8,,T,DB,25,07-Aug,234.8015057,0.35,FALSE,308.174957,"10°30'36""R",10.00027778,77.45497222,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45497222222222 10.000277777777777, 77.45269444444445 9.999333333333333)"
8,9,,S,DA,26,08-Sep,271.123,0.22,FALSE,304.334625,,9.999333333,77.45269444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45269444444445 9.999333333333333, 77.45033333333333 9.99836111111111)"
9,10,,T,DB,25,09-Oct,279.8188009,1.5,FALSE,308.706879,"15°45'36""L",9.998361111,77.45033333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45033333333333 9.99836111111111, 77.44827777777778 9.998111111111111)"
10,11,,S,DA,26,10-Nov,226.8823796,4.18,FALSE,308.238312,,9.998111111,77.44827778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44827777777778 9.998111111111111, 77.44586111111111 9.99786111111111)"
11,12,,T,DB,25,11-Dec,266.0746299,0.95,FALSE,309.921875,"18°46'12""R",9.997861111,77.44586111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44586111111111 9.99786111111111, 77.44380555555556 9.996916666666666)"
12,13,,S,DA,26,Dec-13,249.5681737,0.58,FALSE,310.714172,,9.996916667,77.44380556,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44380555555556 9.996916666666666, 77.44233333333334 9.99622222222222)"
13,14,,T,DB,25,13-14,177.8194691,1.31,FALSE,310.144531,"17°26'24""L",9.996222222,77.44233333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44233333333334 9.99622222222222, 77.44016666666667 9.995944444444444)"
14,15,,S,DA,26,14-15,240.1952844,4.2,FALSE,313.410004,,9.995944444,77.44016667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44016666666667 9.995944444444444, 77.43827777777778 9.995694444444444)"
15,16,,T,DC,26,15-16,208.3393853,1.2,FALSE,319.589752,"42°52'48""L",9.995694444,77.43827778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43827777777778 9.995694444444444, 77.43680555555557 9.996722222222221)"
16,17,,S,DA,26,16-17,195.4353418,0.6,FALSE,316.456024,,9.996722222,77.43680556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43680555555557 9.996722222222221, 77.43516666666667 9.997888888888887)"
17,18,,T,DB,25,17-18,226,1.89,FALSE,315.710205,"19°46'12""L",9.997888889,77.43516667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43516666666667 9.997888888888887, 77.4341388888889 9.99936111111111)"
18,19,,S,DA,26,18-19,200,1.25,FALSE,315.386414,,9.999361111,77.43413889,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4341388888889 9.99936111111111, 77.43311111111112 10.000861111111112)"
19,20,,S,DA,26,19-20,205,0.95,FALSE,318.035126,,10.00086111,77.43311111,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43311111111112 10.000861111111112, 77.4321388888889 10.002194444444445)"
20,21,,T,DC,26,20-21,183,0.38,FALSE,317.724304,"30°40'48""R",10.00219444,77.43213889,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4321388888889 10.002194444444445, 77.43102777777779 10.002666666666666)"
21,22,,T,DC,26,21-22,130.6909976,2.82,FALSE,316.697388,"36°46'48""L",10.00266667,77.43102778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43102777777779 10.002666666666666, 77.42997222222223 10.0045)"
